trial_order,trial_id,calibration_id,attempt_id,calibration_scope,expected_class,true_category,test_type,source_pilot2_trial_id,review_id,variant,source_pilot2_gain_db,extra_gain_db,target_parent_gain_db,limiter_ceiling_dbfs,limited_source_samples,limited_source_fraction_pct,source_sha256,stimulus_file,stimulus_path,sha256,sample_rate_hz,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,repetitions,gap_seconds,distance_cm,volume_percent,capture_duration_s,required_active_frames,status
1,TD-001,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,ood_middle_level,out_of_distribution,door_wood_knock,ood,P2-022,P2S-010,not_recorded,-20.0,5.0,-15.0,-1.0,0,0.0,c9329383c104ac849b59c3b4b128a8833ae3e73fc1173998703ef3f079882cd6,TD-001.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-001.wav,3819f1d39d1e192d6681aa69a18e253cf91199a91b8772ee45968e2b2035996f,44100,10.5,-20.9954,-47.9885,-34.6668,2,0.5,30,75,20,3,pending_non_scored_delivery_calibration
2,TD-002,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,positive,P2-025,P2R-044,single_shot,5.0,3.0,8.0,-1.0,0,0.0,475f93dd5d6311fad4eec49e3b36463c2c255d006737d6383e843c50c8ddd232,TD-002.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-002.wav,80420e9a81da6403faa784c4e32bd8be069d417b4d29eb6462423fe14226608b,44100,10.12127,-3.3087,-12.3635,-3.8719,4,1.0,30,75,20,3,pending_non_scored_delivery_calibration
3,TD-003,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,positive,P2-004,P2R-052,multiple_shots,5.0,3.0,8.0,-1.0,2704,2.194182,2894976b494ab9777ad0c940cbf2017751167ffc1b98ee3a8761ccf35272c363,TD-003.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-003.wav,602e143cadd503a671e4f3ea2a5c99b7e1bf175122b8190c1870cfdcc17bc957,44100,10.383333,-0.9999,-12.1438,-6.9131,3,1.0,30,75,20,3,pending_non_scored_delivery_calibration
4,TD-004,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,ood_middle_level,out_of_distribution,clapping,ood,P2-017,P2S-006,not_recorded,-20.0,5.0,-15.0,-1.0,0,0.0,36548910b7767a8af08afa4d157bbef6e5495c220086cf7f3195ee4217f4940a,TD-004.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-004.wav,9f275e4f0bb526dfb7070b1062687e66af6dd25c35f0d59f36ae7895ed60dd3b,44100,10.5,-20.9954,-40.2968,-37.2463,2,0.5,30,75,20,3,pending_non_scored_delivery_calibration
5,TD-005,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,ood_middle_level,out_of_distribution,clock_tick,ood,P2-013,P2S-013,not_recorded,-20.0,5.0,-15.0,-1.0,0,0.0,957c6dbbf90bc5e68668c8117da15db621b3f67ab30f9ad809600c8c8c6a3b26,TD-005.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-005.wav,855199c910ad77166a4d32d004f959bfda042fa1baa52273402f0a10326a7e00,44100,10.5,-24.4241,-54.5328,-47.609,2,0.5,30,75,20,3,pending_non_scored_delivery_calibration
6,TD-006,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,glass_low_activity_repeated,glass_breaking,glass_breaking,positive,P2-024,P2R-004,clean_shatter,0.0,3.0,3.0,-1.0,14,0.015494,6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68,TD-006.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-006.wav,ac2d4da3ebbe438b821252f29f82013a0b8b98c98d36d242b95454d2dc72d069,44100,10.637528,-0.9999,-21.8603,-11.2935,5,1.0,30,75,20,3,pending_non_scored_delivery_calibration
7,TD-007,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,ood_middle_level,out_of_distribution,crying_baby,ood,P2-009,P2R-033,not_recorded,-20.0,5.0,-15.0,-1.0,0,0.0,dbc751ebc1efdcbf15f624ba5543a8ba88023b94d6eca2129d336fd38443b2c1,TD-007.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-007.wav,8e96e97dca2791353deae8f650318502d7f005d01264c7f360064a5d40ab77f9,44100,10.5,-16.0023,-36.9878,-29.0783,2,0.5,30,75,20,3,pending_non_scored_delivery_calibration
8,TD-008,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,positive,P2-018,P2R-003,multiple_shots,5.0,3.0,8.0,-1.0,2761,1.915658,cd28c87fd40ac764ee4d47a3cfdd850b4841459bedfa2a896fc78581943385fc,TD-008.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-008.wav,6833312615164a722019e17da4d0c2f75ed313e8ad788efb6dd2b54dcb4820f1,44100,10.739728,-0.9999,-15.9989,-4.5747,3,1.0,30,75,20,3,pending_non_scored_delivery_calibration
9,TD-009,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,ood_middle_level,out_of_distribution,rain,ood,P2-015,P2A-001,not_recorded,-20.0,5.0,-15.0,-1.0,0,0.0,4503a5a657d675dc10eea0baec62c7c60e232f52e2f3e1f4325eb67c8a156073,TD-009.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-009.wav,52b2c241a39f5c2bcbe5dab64a80891be8eb6e2ae6c44676cd74f9e1ee59b924,44100,10.5,-26.5699,-42.2517,-33.9921,2,0.5,30,75,20,3,pending_non_scored_delivery_calibration
10,TD-010,STM32N6-TRANSIENT-DELIVERY-CAL-001,TD-A01,glass_low_activity_repeated,glass_breaking,glass_breaking,positive,P2-008,P2S-019,clean_shatter,0.0,3.0,3.0,-1.0,0,0.0,26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a,TD-010.wav,../ml-workspace/datasets/hazard6_transient_delivery_calibration/audio/TD-010.wav,20efb726ea95f33cf3ff7157cbbfba96d093412f7e8e8a001f91be803ffbda79,44100,10.27483,-4.0106,-30.729,-17.8225,3,1.0,30,75,20,3,pending_non_scored_delivery_calibration
