response_id,recorded_at,calibration_id,attempt_id,trial_id,run_id,audibility_rating,operator_note,stimulus_sha256,manifest_sha256
"TD-R-001","2026-08-07T19:34:00.8415707+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-001","RUN-20260807-193323","too_quiet","just a little bit louder should do (10%)","3819f1d39d1e192d6681aa69a18e253cf91199a91b8772ee45968e2b2035996f","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-002","2026-08-07T19:34:47.1374524+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-002","RUN-20260807-193400","comfortable","It just doesnt sound like a gunshot enough, loudness is ok","80420e9a81da6403faa784c4e32bd8be069d417b4d29eb6462423fe14226608b","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-003","2026-08-07T19:35:19.4460133+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-003","RUN-20260807-193447","comfortable","Too quick rafal, sounds too high too","602e143cadd503a671e4f3ea2a5c99b7e1bf175122b8190c1870cfdcc17bc957","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-004","2026-08-07T19:35:45.3359066+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-004","RUN-20260807-193519","too_loud_or_distorted","","9f275e4f0bb526dfb7070b1062687e66af6dd25c35f0d59f36ae7895ed60dd3b","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-005","2026-08-07T19:36:17.5074851+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-005","RUN-20260807-193545","too_quiet","a little bit quiet","855199c910ad77166a4d32d004f959bfda042fa1baa52273402f0a10326a7e00","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-006","2026-08-07T19:36:58.1044132+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-006","RUN-20260807-193617","comfortable","great here","ac2d4da3ebbe438b821252f29f82013a0b8b98c98d36d242b95454d2dc72d069","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-007","2026-08-07T19:37:23.3173517+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-007","RUN-20260807-193658","comfortable","ok","8e96e97dca2791353deae8f650318502d7f005d01264c7f360064a5d40ab77f9","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-008","2026-08-07T19:37:56.4078743+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-008","RUN-20260807-193723","comfortable","idk why it doesnt recognize","6833312615164a722019e17da4d0c2f75ed313e8ad788efb6dd2b54dcb4820f1","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-009","2026-08-07T19:38:21.9274902+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-009","RUN-20260807-193756","comfortable","","52b2c241a39f5c2bcbe5dab64a80891be8eb6e2ae6c44676cd74f9e1ee59b924","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-010","2026-08-07T19:38:45.2949459+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-010","RUN-20260807-193821","comfortable","great","20efb726ea95f33cf3ff7157cbbfba96d093412f7e8e8a001f91be803ffbda79","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
"TD-R-011","2026-08-07T19:39:19.4967176+02:00","STM32N6-TRANSIENT-DELIVERY-CAL-001","TD-A01","TD-011","RUN-20260807-193845","too_quiet","some were recognized but not detected","a1bb45e13b52de6f4ec979d407162a862a2f58a5bdf5cdc2be923aa6176aee33","662ed04015ea90689a8184bb946d32169dcea3336f2b0fb0d5a42174d91e24b6"
