trial_order,trial_id,evaluation_id,attempt_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,target_sample_rate_hz,normalization_target_max_100ms_rms_dbfs,normalization_gain_db,class_delivery_gain_reference_db,target_output_max_100ms_rms_dbfs,class_delivery_gain_requested_db,class_delivery_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,limiter_ceiling_dbfs,limited_unit_samples,limited_unit_fraction_pct,stimulus_file,stimulus_path,sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,firmware_commit,model_name,model_sha256,status
1,FE-001,STM32N6-HAZARD6-FINAL-001,FE-A01,speech,speech,positive,FSD50K,eval,277005,"Child_speech_and_kid_speaking,Speech,Human_voice",02 Pere i el llop.wav,barcelonetasonora,http://creativecommons.org/licenses/by-nc/3.0/,normal_speech_Child_speech_and_kid_speaking,277005.wav,10a950a677b6fbdaa5997d5dd17546374dd00091c83e9cf333665e2faf7785bb,44100,13.234331,44100,-12.0,-1.4072,0.0,-12.0,0.0,0.0,2.95,5.0,False,2,0.5,-1.0,0,0.0,FE-001.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-001.wav,be515d9d325174175a22b7a6abd98d49fef28c562b3369be38997df13085cab9,10.5,-2.7077,-23.7747,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
2,FE-002,STM32N6-HAZARD6-FINAL-001,FE-A01,thunderstorm,thunderstorm,positive,FSD50K,eval,399656,"Thunder,Thunderstorm",sfx_thunder blast.wav,bajko,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,399656.wav,216bd4d5369f750dde42a41ea12a3f020c06b607460c30c7218cf9d9eaf27b55,44100,17.321156,44100,-12.0,-2.4187,0.0,-12.0,0.0,0.0,0.0,5.0,False,2,0.5,-1.0,0,0.0,FE-002.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-002.wav,a54b0078ddc6b4fed268874a770f79afd1062dc22928724296637022f4508a38,10.5,-4.3376,-21.3142,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
3,FE-003,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,76093,"Gunshot_and_gunfire,Explosion",45 pistol load 2 shots.wav,Tito Lahaye,http://creativecommons.org/licenses/by-nc/3.0/,metadata_pure_reserved_evaluation,76093.wav,a8b4d2e508f255e59b78aa2b0098a2ab086732b6b4739efeb0a797c8beef7ca0,44100,5.222472,44100,-12.0,-0.9995,10.0,-2.0,11.4334,11.4334,3.222472,2.0,True,4,0.75,-1.0,1272,1.442177,FE-003.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-003.wav,aa8f9bc159ef21942e453f8a18fd5481a005af8367fe62be0924ce278b7b169e,10.25,-0.9999,-18.142,-7.2662,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
4,FE-004,STM32N6-HAZARD6-FINAL-001,FE-A01,speech,speech,positive,FSD50K,eval,184490,"Female_speech_and_woman_speaking,Speech,Human_voice",Female Blurb,AudioRichter,http://creativecommons.org/publicdomain/zero/1.0/,normal_speech_Female_speech_and_woman_speaking,184490.wav,bff357b28ae432396f7eb38a542f0d1f6582960fa62405c8c9af2ae4dac06169,44100,4.678821,44100,-12.0,-2.0527,0.0,-12.0,0.0,0.0,0.0,4.678821,False,3,0.5,-1.0,0,0.0,FE-004.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-004.wav,7f559dd9100dd7707698f940cb3559936c73e984a848a69e7b3b2cc784b9a8f4,15.036463,-2.9444,-22.2418,-11.6291,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
5,FE-005,STM32N6-HAZARD6-FINAL-001,FE-A01,out_of_distribution,crying_baby,ood,ESC-50,fold_5,198411,crying_baby,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,one_per_hard_negative_category,5-198411-C-20.wav,23cf024e102435298b16a8138129f411326a239a2486fc49ca61b4cc15f24875,44100,5.0,44100,-12.0,0.6896,-15.0,-29.08,-17.08,-17.08,0.0,5.0,False,2,0.5,-1.0,0,0.0,FE-005.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-005.wav,36844d89a70ecd4b1a53db2df2fe33b8c3883d294e301a819d265669b434209c,10.5,-24.7202,-37.891,-29.08,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
6,FE-006,STM32N6-HAZARD6-FINAL-001,FE-A01,dog_bark,dog_bark,positive,FSD50K,eval,396221,"Bark,Dog,Domestic_animals_and_pets,Animal",Chihuahuas Barking in The Mountains,XeonsStargazer,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,396221.wav,3564e574355aa84a5a973ac242c12102400a34871a8b423ab652620202a771d4,44100,11.650612,44100,-12.0,-0.6922,0.0,-12.0,0.4556,0.4556,5.65,5.0,False,2,0.5,-1.0,16,0.007256,FE-006.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-006.wav,60cf226051a04aa9d3f3ba9ab6925673a9a911358686afcacf89ce7f9cf5cbfc,10.5,-0.9999,-22.3359,-12.0089,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
7,FE-007,STM32N6-HAZARD6-FINAL-001,FE-A01,speech,speech,positive,FSD50K,eval,257204,"Child_speech_and_kid_speaking,Speech,Human_voice",Niñas chinas - María José (idRhh036),xavierbonfill,http://creativecommons.org/licenses/by-nc/3.0/,normal_speech_Child_speech_and_kid_speaking,257204.wav,0c1e89e4d17f64de5ffd4e517d91415a7c83b64013ac9cd944d0f84967b18c47,44100,5.33898,44100,-12.0,9.5589,0.0,-12.0,0.0,0.0,0.2,5.0,False,2,0.5,-1.0,0,0.0,FE-007.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-007.wav,1bd6f62e6d146eefc5a1239101236002f49f39f28ed8a657bee277a1bb73a4f4,10.5,-1.3627,-21.9725,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
8,FE-008,STM32N6-HAZARD6-FINAL-001,FE-A01,thunderstorm,thunderstorm,positive,FSD50K,eval,234736,"Thunder,Thunderstorm",thunder rumble 1.wav,FenrirFangs,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,234736.wav,91fb55cd6496ab5aff7f4fb7c4b64f891fdc3e13a9ab00859dbda92441abe7ca,44100,10.0,44100,-12.0,20.9257,0.0,-12.0,0.0,0.0,1.35,5.0,False,2,0.5,-1.0,0,0.0,FE-008.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-008.wav,66b69d69dcc1fffed9f3f11503fecbbf836e9f996e48a5cc4aa334f3324cf906,10.5,-1.9506,-18.4099,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
9,FE-009,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,345813,"Siren,Alarm",Alarm No. 1,Vendarro,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,345813.wav,64be35800bda829e8da84c2b64b19b1ac99c4d0198614a7a4a9733842701ef18,44100,3.916553,44100,-12.0,-9.7433,0.0,-12.0,0.0,0.0,0.0,3.916553,False,3,0.5,-1.0,0,0.0,FE-009.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-009.wav,f8f082701b6d32f6387acf80edae2d3b3dd93cac826e423b92917ac89a6e38cd,12.74966,-9.753,-12.9335,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
10,FE-010,STM32N6-HAZARD6-FINAL-001,FE-A01,dog_bark,dog_bark,positive,FSD50K,eval,261020,"Bark,Dog,Domestic_animals_and_pets,Animal",Small dog barking,VlatkoBlazek,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,261020.wav,badb78244325d52bc0993c83b3b42b20945e9c1253e76a04d00128e66f63beed,44100,12.678685,44100,-12.0,-2.5322,0.0,-12.0,-0.0,-0.0,4.5,5.0,False,2,0.5,-1.0,0,0.0,FE-010.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-010.wav,398414beff6cebce692a1de0c50557d9e41eb851d628637b7ee9cfb4293bb4f3,10.5,-3.4811,-25.6311,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
