candidate_id,expected_class,true_category,source_dataset,source_partition,source_id,selected,selection_reason,selection_seed
FE2C-001,other,Clapping,FSD50K,eval,349695,True,seeded_balanced_final_selection,2701
FE2C-003,other,Crack,FSD50K,eval,173329,True,seeded_balanced_final_selection,2701
FE2C-005,other,Alarm,FSD50K,eval,323238,True,seeded_balanced_final_selection,2701
FE2C-008,glass_breaking,glass_breaking,FSD50K,eval,366595,True,seeded_balanced_final_selection,2701
FE2C-011,other,Applause,FSD50K,eval,25295,True,seeded_balanced_final_selection,2701
FE2C-012,dog_bark,dog_bark,FSD50K,eval,29596,True,seeded_balanced_final_selection,2701
FE2C-013,other,Clapping,FSD50K,eval,251931,False,eligible_surplus_not_selected,2701
FE2C-015,other,Wind,FSD50K,eval,29530,False,eligible_surplus_not_selected,2701
FE2C-016,glass_breaking,glass_breaking,FSD50K,eval,267889,True,seeded_balanced_final_selection,2701
FE2C-017,speech,speech,FSD50K,eval,211528,True,seeded_balanced_final_selection,2701
FE2C-018,dog_bark,dog_bark,FSD50K,eval,253754,True,seeded_balanced_final_selection,2701
FE2C-021,dog_bark,dog_bark,FSD50K,eval,89210,True,seeded_balanced_final_selection,2701
FE2C-023,speech,speech,FSD50K,eval,196382,True,seeded_balanced_final_selection,2701
FE2C-024,siren,siren,FSD50K,eval,405590,True,seeded_balanced_final_selection,2701
FE2C-026,other,Wind,FSD50K,eval,113175,True,seeded_balanced_final_selection,2701
FE2C-027,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,344142,True,seeded_balanced_final_selection,2701
FE2C-029,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,415508,True,seeded_balanced_final_selection,2701
FE2C-030,glass_breaking,glass_breaking,FSD50K,eval,407589,False,eligible_surplus_not_selected,2701
FE2C-032,speech,speech,FSD50K,eval,153108,True,seeded_balanced_final_selection,2701
FE2C-033,other,Knock,FSD50K,eval,114254,False,eligible_surplus_not_selected,2701
FE2C-034,dog_bark,dog_bark,FSD50K,eval,15792,True,seeded_balanced_final_selection,2701
FE2C-036,speech,speech,FSD50K,eval,120952,True,seeded_balanced_final_selection,2701
FE2C-037,other,Fireworks,FSD50K,eval,161678,True,seeded_balanced_final_selection,2701
FE2C-039,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,171236,True,seeded_balanced_final_selection,2701
FE2C-042,glass_breaking,glass_breaking,FSD50K,eval,33629,True,seeded_balanced_final_selection,2701
