review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status,validity,completeness,audibility,artifact,note,source_group,supplement_reason
1,FE2C-001,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Clapping,positive,FSD50K,eval,349695,"Clapping,Hands",fast clapping.mp3,DrMaysta,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Clapping,349695.wav,9698abf3df5658ee0d15673882ea0de35abe3afcba1e728355c6ded745dfdb0f,44100,2.086553,-23.3561,0.086553,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-001.wav,12a3fc3890bc919f7c80baecc28bcf03b75df94d443f4facf951b1076764480b,10.25,-23.3546,-47.2454,-41.998,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
3,FE2C-003,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Crack,positive,FSD50K,eval,173329,Crack,nxSample-149.wav,neix,http://creativecommons.org/licenses/by/3.0/,review_other_Crack,173329.wav,57b35adb0065451be13af2a060dfb73d23a3a8e7842e46a973da46a698a331d7,44100,1.348503,-15.4382,0.0,1.348503,True,6,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-003.wav,151049c2829bea4e4d46dfaf8af413057ecb7bbfae9cb32cec41b3cf8f787445,11.84102,-15.4404,-54.2166,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,ok if it was meant as glass breaking,,
5,FE2C-005,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Alarm,positive,FSD50K,eval,323238,Alarm,Bell better mic  off axis2.wav,jameswrowles,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Alarm,323238.wav,a9fb5f5680595afa52c5ccfe8f7f8473981c5421f76084c441b7ac322762b30a,44100,11.300703,-29.2423,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-005.wav,4eb77ee98aba787d4dba23a4222e8356a3bcd49cea634ba25bcc378ad0e528ac,10.5,-30.5736,-44.286,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
8,FE2C-008,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,366595,"Shatter,Glass",Glass Breaking.wav,jittels,http://creativecommons.org/licenses/by-nc/3.0/,label_metadata_only_candidate,366595.wav,54cd2343847fb58aa7a1cf7e6d87e16b460c2fd1ed323b7c853065c374698e31,44100,2.611814,-28.037,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-008.wav,37b1e2194978c4c4d508b01153b6654e63f3c1ddf7a982a1617c991b1768e726,10.25,-28.7254,-55.4857,-42.0025,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
11,FE2C-011,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Applause,positive,FSD50K,eval,25295,"Applause,Human_group_actions",Claping_ses1.wav,freesound,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Applause,25295.wav,319a0f3db9d88bba1904d9a59487b536cce3c04d9ae8e04167e7c6779adc32e7,44100,3.848662,-25.7161,0.35,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-011.wav,ffb7cccd2b5ab5ff931f6fef03d936f8452ffd4337447cf44c92f23e982d83de,10.25,-26.9449,-44.307,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
12,FE2C-012,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,29596,"Bark,Dog,Domestic_animals_and_pets,Animal",bark.wav,synthania,http://creativecommons.org/licenses/sampling+/1.0/,label_metadata_only_candidate,29596.wav,0d35b06c257e1887fc6cdb75683f6ad9d075d3708421696871c3dc3b8c57c312,44100,0.553379,-21.9274,0.0,0.553379,False,10,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-012.wav,6f3f70f6e664ba9f9e8f0b46d59f926c7385caa6dc62070f723b9539ef375c8f,10.033787,-27.9437,-51.9847,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
13,FE2C-013,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Clapping,positive,FSD50K,eval,251931,"Clapping,Hands",Room Clap.wav,pan14,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Clapping,251931.wav,d1b1f94b5a18e74cdf04caf30279ed8aeb450b526992e6b9ea5f27defc61280c,44100,0.335374,-18.5391,0.0,0.335374,True,10,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-013.wav,5d3e7d01f4cce130fbc877d3a1009f527544b09ede22d13c64469414e65f0c68,10.103741,-23.3624,-52.0355,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
15,FE2C-015,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Wind,positive,FSD50K,eval,29530,Wind,wind1.wav,eliasheuninck,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Wind,29530.wav,e612a3b4d5c5d96e78f529f6f18745b38b1f2a2b5780755bde9d45316e7c870f,44100,13.232993,-20.9393,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-015.wav,db155007ad9a6312020f86fbe9aa78f8dbf9cc3ef44fc6643dc91ca008996f3e,10.5,-30.6095,-48.3591,-41.9997,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
16,FE2C-016,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,267889,"Shatter,Chink_and_clink,Glass",Breaking-Glass.wav,wjl,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,267889.wav,8dfb2b485d798d9f406ace0e651baf88831e4c36e7660716eb80ca6bbb080a08,44100,0.864059,-31.0537,0.0,0.864059,True,7,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-016.wav,ad2b0820936d865d6da3e1de1d0337ea7d22805aa7a4cf77da18459c54ce6f13,10.548413,-31.1186,-50.7887,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
17,FE2C-017,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,211528,"Female_speech_and_woman_speaking,Crying_and_sobbing,Speech,Human_voice",Crying newborn baby child 2.WAV,the_yura,http://creativecommons.org/publicdomain/zero/1.0/,review_Female_speech_and_woman_speaking,211528.wav,e0fd573bd023f600ed4d0e673623ff18a745d292216bb5c81d02ba3dc876d280,44100,23.093832,-35.2246,6.05,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-017.wav,12fa51e632110c17b3fa80417be88cf89dc7dc5aca715fdb71593ee82f976c10,10.5,-35.222,-53.9951,-42.0004,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
