review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status
1,FE2C-001,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Clapping,positive,FSD50K,eval,349695,"Clapping,Hands",fast clapping.mp3,DrMaysta,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Clapping,349695.wav,9698abf3df5658ee0d15673882ea0de35abe3afcba1e728355c6ded745dfdb0f,44100,2.086553,-23.3561,0.086553,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-001.wav,12a3fc3890bc919f7c80baecc28bcf03b75df94d443f4facf951b1076764480b,10.25,-23.3546,-47.2454,-41.998,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
2,FE2C-002,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,383796,"Gunshot_and_gunfire,Explosion",Machine Gun Shooting,deleted_user_7146007,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,383796.wav,150656170088e9bbb8b96ae38973acaef8e00a926d8b675ba459387dcb89fa14,44100,6.791678,-31.5467,1.2,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-002.wav,b571253bd2731aa07a27512e9f58e8a2d8f5cddf78686b9fd180f9e772adedbc,10.25,-31.5386,-45.709,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
3,FE2C-003,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Crack,positive,FSD50K,eval,173329,Crack,nxSample-149.wav,neix,http://creativecommons.org/licenses/by/3.0/,review_other_Crack,173329.wav,57b35adb0065451be13af2a060dfb73d23a3a8e7842e46a973da46a698a331d7,44100,1.348503,-15.4382,0.0,1.348503,True,6,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-003.wav,151049c2829bea4e4d46dfaf8af413057ecb7bbfae9cb32cec41b3cf8f787445,11.84102,-15.4404,-54.2166,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
4,FE2C-004,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,90422,"Male_speech_and_man_speaking,Conversation,Speech,Human_voice",train problem solved.wav,uair01,http://creativecommons.org/licenses/by/3.0/,review_Male_speech_and_man_speaking,90422.wav,84d090246d8a3ec9c85e99d24f41d1b412d82ffdf91faeec60c8ca3157b27e3e,44100,23.022585,-32.0522,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-004.wav,bcbd9f5fa1db7d09fc8af5e6c400799295edd07b8b27add08ec125e515ea8534,10.5,-32.5454,-50.7334,-41.9998,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
5,FE2C-005,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Alarm,positive,FSD50K,eval,323238,Alarm,Bell better mic  off axis2.wav,jameswrowles,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Alarm,323238.wav,a9fb5f5680595afa52c5ccfe8f7f8473981c5421f76084c441b7ac322762b30a,44100,11.300703,-29.2423,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-005.wav,4eb77ee98aba787d4dba23a4222e8356a3bcd49cea634ba25bcc378ad0e528ac,10.5,-30.5736,-44.286,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
6,FE2C-006,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,siren,siren,positive,FSD50K,eval,389518,"Whispering,Siren,Splash_and_splatter,Alarm,Human_voice,Liquid",Splash.wav,APallot,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,389518.wav,61bec50ff3526c7a5738f8e306b6d8c7fe3dbc4a6f9c7cac075e9d9adf9e6435,44100,16.334671,-11.2273,8.5,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-006.wav,52e9e317c2ad729b654177dab11221f65dff74aafa69b4a7d66058d422fa09e8,10.5,-26.1133,-58.9863,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
7,FE2C-007,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Computer_keyboard,positive,FSD50K,eval,318923,"Computer_keyboard,Typing,Domestic_sounds_and_home_sounds",Keyboard typing.wav,AbuNijmeh,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Computer_keyboard,318923.wav,1a9343e96cd9613bce091e8474d0d08b6dfc8f4d37f5e47025680e636fc49d6f,44100,29.903855,2.9366,11.6,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-007.wav,9b6fc5ba01bd86fb5d5b6acca97822d286e1fb254450c87b5bdaf8dbe7fc80de,10.5,-22.2089,-52.6357,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
8,FE2C-008,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,366595,"Shatter,Glass",Glass Breaking.wav,jittels,http://creativecommons.org/licenses/by-nc/3.0/,label_metadata_only_candidate,366595.wav,54cd2343847fb58aa7a1cf7e6d87e16b460c2fd1ed323b7c853065c374698e31,44100,2.611814,-28.037,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-008.wav,37b1e2194978c4c4d508b01153b6654e63f3c1ddf7a982a1617c991b1768e726,10.25,-28.7254,-55.4857,-42.0025,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
9,FE2C-009,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Bell,positive,FSD50K,eval,123654,Bell,md4trk10.AIF,alienistcog,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Bell,123654.wav,002616f4b8fd4bee131869a9466d3ab7e57657b30dcf7793bc22441eaf560e15,44100,29.758866,-23.8315,1.65,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-009.wav,b647a87a9a0b0fe841ef082f3b6a3aaf7367788c87588972f515933882eef24b,10.5,-23.9812,-54.4395,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
10,FE2C-010,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,thunderstorm,thunderstorm,positive,FSD50K,eval,239489,"Thunder,Rain,Water,Thunderstorm",Sharp Clap of Thunder,lonemonk,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,239489.wav,53b4cd4e0905f411194f4143fa14f67814f604b2e297af64ff6dbe4f7c092008,44100,10.772336,-25.354,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-010.wav,13f41e052739d6b7da1c9dc0ba81f9c2e2d514a127ff5b4513cffe44d04a9cd2,10.5,-28.2056,-54.1659,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
11,FE2C-011,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Applause,positive,FSD50K,eval,25295,"Applause,Human_group_actions",Claping_ses1.wav,freesound,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Applause,25295.wav,319a0f3db9d88bba1904d9a59487b536cce3c04d9ae8e04167e7c6779adc32e7,44100,3.848662,-25.7161,0.35,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-011.wav,ffb7cccd2b5ab5ff931f6fef03d936f8452ffd4337447cf44c92f23e982d83de,10.25,-26.9449,-44.307,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
12,FE2C-012,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,29596,"Bark,Dog,Domestic_animals_and_pets,Animal",bark.wav,synthania,http://creativecommons.org/licenses/sampling+/1.0/,label_metadata_only_candidate,29596.wav,0d35b06c257e1887fc6cdb75683f6ad9d075d3708421696871c3dc3b8c57c312,44100,0.553379,-21.9274,0.0,0.553379,False,10,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-012.wav,6f3f70f6e664ba9f9e8f0b46d59f926c7385caa6dc62070f723b9539ef375c8f,10.033787,-27.9437,-51.9847,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
13,FE2C-013,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Clapping,positive,FSD50K,eval,251931,"Clapping,Hands",Room Clap.wav,pan14,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Clapping,251931.wav,d1b1f94b5a18e74cdf04caf30279ed8aeb450b526992e6b9ea5f27defc61280c,44100,0.335374,-18.5391,0.0,0.335374,True,10,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-013.wav,5d3e7d01f4cce130fbc877d3a1009f527544b09ede22d13c64469414e65f0c68,10.103741,-23.3624,-52.0355,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
