review_order,review_id,expected_class,stimulus_file,stimulus_path,stimulus_sha256,source_dataset,source_group,score_stratum,peak_prominence,status
1,PAR-001,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__216315__0103__r0__aug3.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__216315__0103__r0__aug3.wav,88203bb53aff1e33ab4c87434d2e094f1e969a02c0b214f0fe36d406fd990135,FSD50K,freesound:216315,position_filter_background,not_applicable,pending_blinded_listening_review
2,PAR-002,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__184275__0086__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__184275__0086__r0__aug5.wav,b222f763ab04c65b02ee0b9f2321a472f6a542311c303231471ea951609a8dd7,FSD50K,freesound:184275,position_compression_background,not_applicable,pending_blinded_listening_review
3,PAR-003,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__164937__0070__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__164937__0070__r0__aug0.wav,e2f44c7e363d016ec3576bf97d49730e0acfe92e946299d7dd96326a670f2fc4,FSD50K,freesound:164937,position_only,not_applicable,pending_blinded_listening_review
4,PAR-004,glass_breaking,glass_breaking__fsd50k__dev__194684__0144__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/glass_breaking__fsd50k__dev__194684__0144__r0__aug1.wav,f4bf10652424d11da567426d2496c18e64c8b5581bd285800a13243c8b64b6e3,FSD50K,freesound:194684,position_gain,not_applicable,pending_blinded_listening_review
5,PAR-005,glass_breaking,glass_breaking__fsd50k__dev__194682__0086__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/glass_breaking__fsd50k__dev__194682__0086__r0__aug0.wav,7cc79bfda26c101ac13e949db5ce87e9738ac49b7fbfb8a4257d041c03d68f21,FSD50K,freesound:194682,position_only,not_applicable,pending_blinded_listening_review
6,PAR-006,glass_breaking,glass_breaking__fsd50k__dev__92644__0127__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/glass_breaking__fsd50k__dev__92644__0127__r0__aug5.wav,c6abe2e8a8cbe4e9d59435017c7797edc727775d427884007fd684d327f95bbc,FSD50K,freesound:92644,position_compression_background,not_applicable,pending_blinded_listening_review
7,PAR-007,glass_breaking,glass_breaking__fsd50k__dev__85168__0166__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/glass_breaking__fsd50k__dev__85168__0166__r0__aug2.wav,390417bd4e38d5f263c43a247b5c9db2534f9592f58b93a62f3bd39e8591d9fb,FSD50K,freesound:85168,position_gain_background,not_applicable,pending_blinded_listening_review
8,PAR-008,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__182051__0080__r0__aug4.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__182051__0080__r0__aug4.wav,b60ec2b14f6bfbe2a040eefa466c9702dc6ceceb0935e0b96ea69278a21c3dd0,FSD50K,freesound:182051,position_speed_gain,not_applicable,pending_blinded_listening_review
9,PAR-009,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__234618__0126__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__234618__0126__r0__aug2.wav,0ab2c0d2fb79e29b21eb3e2b323ef2fa2037bf26fb221e33626de4d98e69e4f5,FSD50K,freesound:234618,position_gain_background,not_applicable,pending_blinded_listening_review
10,PAR-010,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__319008__0161__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced/audio/gunshot_gunfire__fsd50k__dev__319008__0161__r0__aug1.wav,357fcd5763607b5fbdfa1cdab3f62934ebb54d6a80582351f0485fb20ea25495,FSD50K,freesound:319008,position_gain,not_applicable,pending_blinded_listening_review
