review_order,review_id,expected_class,stimulus_file,stimulus_path,stimulus_sha256,source_dataset,source_group,score_stratum,peak_prominence,status
1,PAR-001,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__348664__0177__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__348664__0177__r0__aug2.wav,3548467eff8d14f9a62c617d1a7ade0f34c6edef34c5b64ec1517f2ed2f52266,FSD50K,freesound:348664,position_gain_background,not_applicable,pending_blinded_listening_review
2,PAR-002,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__187767__0089__r0__aug4.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__187767__0089__r0__aug4.wav,aaeca8c57b7f1241176f429d6181c24bb766709699ae30f47c7be682a8e6ab3f,FSD50K,freesound:187767,position_speed_gain,not_applicable,pending_blinded_listening_review
3,PAR-003,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__162263__0057__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__162263__0057__r0__aug0.wav,920e21b60baef9b93c3149412197e065194cd4645ab4ca06532d162405e271ae,FSD50K,freesound:162263,position_only,not_applicable,pending_blinded_listening_review
4,PAR-004,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__160772__0050__r0__aug3.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__160772__0050__r0__aug3.wav,802b7a7a171409e0d416058aa99831c62eb9ae0fbb847dc66c80a170eca5c922,FSD50K,freesound:160772,position_filter_background,not_applicable,pending_blinded_listening_review
5,PAR-005,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__231247__0116__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__231247__0116__r0__aug5.wav,10c4a31a730a3ae6f354894e0b82c4c29a3bdcec95926666f1bc64335d414112,FSD50K,freesound:231247,position_compression_background,not_applicable,pending_blinded_listening_review
6,PAR-006,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__162403__0060__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__162403__0060__r0__aug1.wav,0ed50efab9dfc141453f98028824b5e704a34c57593119d42ccbf4f923f40715,FSD50K,freesound:162403,position_gain,not_applicable,pending_blinded_listening_review
7,PAR-007,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__255272__0148__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__255272__0148__r0__aug1.wav,6928e52454140dfd186e1841a8fb9acc68e91019274c56f78ee077aadf4815dc,FSD50K,freesound:255272,position_gain,not_applicable,pending_blinded_listening_review
8,PAR-008,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__162398__0059__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__162398__0059__r0__aug0.wav,13cd2acf4703e34a6f84a69d20132f70f9d0977ffc868729926a1b1cd29cb112,FSD50K,freesound:162398,position_only,not_applicable,pending_blinded_listening_review
9,PAR-009,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__267341__0157__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__267341__0157__r0__aug0.wav,5be25db78fd26adfe1098c5e93745a0f884102e2eb32799f0dcd6003793a8307,FSD50K,freesound:267341,position_only,not_applicable,pending_blinded_listening_review
10,PAR-010,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__191449__0090__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__191449__0090__r0__aug2.wav,b3a8a3a40e3a6e6ee5dc32d67f72c6069a531b1a01d974c5529c419643a3f020,FSD50K,freesound:191449,position_gain_background,not_applicable,pending_blinded_listening_review
11,PAR-011,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__364976__0187__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__364976__0187__r0__aug5.wav,6fbf7e8bf8c72066ae9ec755212b15cd3b6d8973d7a8530af3dc6d79e9422801,FSD50K,freesound:364976,position_compression_background,not_applicable,pending_blinded_listening_review
12,PAR-012,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__162397__0058__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v2/audio/gunshot_gunfire__fsd50k__dev__162397__0058__r0__aug0.wav,df3bd44ad46946423c03081745644e20e3b3e02a8516117b1b610b08741dbb27,FSD50K,freesound:162397,position_only,not_applicable,pending_blinded_listening_review
