trial_order,trial_id,expected_class,true_category,test_type,review_phase,review_id,semantic_label,variant,loudness_stratum,derived_gain_db,parent_stimulus_sha256,stimulus_file,stimulus_path,source_dataset,source_partition,source_id,sha256,distance_cm,volume_percent,capture_duration_s,status,notes
1,P2-001,thunderstorm,thunderstorm,positive,initial,P2R-024,canonical,not_recorded,reviewed_nominal,0.0,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,P2-001.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-001.wav,FSD50K,dev,259316,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,30,75,25,pending,Targeted development verification; not unbiased final accuracy.
2,P2-002,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-052,canonical,multiple_shots,reduced_6db,-6.0,179623a197e0802428ee3171db234a8c0d1de8763a1af49da211789c411dabd7,P2-002.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-002.wav,FSD50K,dev,201667,9763bc73e4f1a5a8990a851bd202108f8fe8c91b29c8b7ce8a4a9f3b1ed9d849,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
3,P2-003,glass_breaking,glass_breaking,positive,initial,P2R-038,canonical,clean_shatter,reviewed_nominal,0.0,4d126b43542f42068986c79bfbb6f47e952016e948b345ba7c0a751c9d1b7dfb,P2-003.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-003.wav,FSD50K,dev,147867,4d126b43542f42068986c79bfbb6f47e952016e948b345ba7c0a751c9d1b7dfb,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
4,P2-004,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-052,canonical,multiple_shots,nominal,0.0,179623a197e0802428ee3171db234a8c0d1de8763a1af49da211789c411dabd7,P2-004.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-004.wav,FSD50K,dev,201667,179623a197e0802428ee3171db234a8c0d1de8763a1af49da211789c411dabd7,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
5,P2-005,dog_bark,dog_bark,positive,initial,P2R-013,canonical,not_recorded,reviewed_nominal,0.0,1cb1309637529815698b9da530d55c931b5013f23d170ef7bdc6db18a830e5c3,P2-005.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-005.wav,FSD50K,dev,147672,1cb1309637529815698b9da530d55c931b5013f23d170ef7bdc6db18a830e5c3,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
6,P2-006,thunderstorm,thunderstorm,positive,initial,P2R-006,canonical,not_recorded,reviewed_nominal,0.0,d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce,P2-006.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-006.wav,ESC-50,fold_4,125072,d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
7,P2-007,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-003,canonical,multiple_shots,reduced_6db,-6.0,aef34fa61a553320658ae477b3c8f3b2b0f39a12dcd943820778d9085c29d60a,P2-007.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-007.wav,FSD50K,dev,368805,52f9625ceb679ffa80b6a7bba0c27e7b1f12cc32b6a9c45c556fa8faa555faac,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
8,P2-008,glass_breaking,glass_breaking,positive,supplement,P2S-019,canonical,clean_shatter,reviewed_nominal,0.0,26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a,P2-008.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-008.wav,FSD50K,dev,245410,26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
9,P2-009,out_of_distribution,crying_baby,ood,initial,P2R-033,canonical,not_recorded,ood_attenuated_20db,-20.0,06fc290156d561b2693c9e69eae065afa11afb4c4f859ad06aa4c1b67f7ecf59,P2-009.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-009.wav,ESC-50,fold_4,4-167077-C-20,dbc751ebc1efdcbf15f624ba5543a8ba88023b94d6eca2129d336fd38443b2c1,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
10,P2-010,dog_bark,dog_bark,positive,initial,P2R-057,canonical,not_recorded,reviewed_nominal,0.0,21bccbcb581cb97f3b2c7e79a106edadfcd48600e9ececc797cf2f4812b1d36a,P2-010.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-010.wav,FSD50K,dev,364662,21bccbcb581cb97f3b2c7e79a106edadfcd48600e9ececc797cf2f4812b1d36a,30,75,35,pending,Targeted development verification; not unbiased final accuracy.
11,P2-011,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-018,canonical,single_shot,reduced_6db,-6.0,354bf1a72fe85db397501fd479a58215db645fbed52254fc9d20e01ea7bcf60f,P2-011.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-011.wav,FSD50K,dev,368736,4f6efae0f8888ef8e94c73922a6b16cac76f70de084a3a5323cdfa70bba124da,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
