candidate_order,review_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,original_file,original_sha256,stimulus_file,stimulus_path,stimulus_sha256,sample_rate_hz,duration_s,normalization_gain_db,original_peak_dbfs,original_max_frame_rms_dbfs,normalized_peak_dbfs,normalized_max_frame_rms_dbfs,status
1,P2R-001,dog_bark,dog_bark,positive,FSD50K,dev,180052,dog_bark,dog_bark__fsd50k__dev__180052__0027__r0.wav,47afde26d17cd3793e76c5ca6b47259d42d94c3ee8dd43f51c4080038a350c46,P2R-001.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-001.wav,6e2fe81134dcabfdeb2cd560f48aa20c861243a4e219830e08303840dbc3fa7b,44100,20.508005,4.2297,-6.1332,-16.2297,-1.9033,-12.0,pending_blinded_semantic_review
2,P2R-002,glass_breaking,glass_breaking,positive,FSD50K,dev,159197,glass_breaking,glass_breaking__fsd50k__dev__159197__0023__r0.wav,eaf5d0ceb0ad3eebb7b5374ba2abad29b66ce6d19675b18371325dac7a98b8ed,P2R-002.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-002.wav,e5af2a20bdaea498de4890e132f2c4dd27aaa8448f8e41f296b0f8b06df4e2fe,44100,10.057143,1.2504,-2.2504,-14.6617,-1.0002,-13.4114,pending_blinded_semantic_review
3,P2R-003,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,dev,368805,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__368805__0047__r0.wav,56f0530a9da15841adc2d38fd392a5301bde36de0906dd5ab42c2a9e60b9322e,P2R-003.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-003.wav,aef34fa61a553320658ae477b3c8f3b2b0f39a12dcd943820778d9085c29d60a,44100,3.268209,-8.0276,0.0,-3.9724,-8.0275,-12.0001,pending_blinded_semantic_review
4,P2R-004,glass_breaking,glass_breaking,positive,FSD50K,dev,199906,glass_breaking,glass_breaking__fsd50k__dev__199906__0030__r0.wav,db272cec6c6dd1a6a18f35e2cd8c4a76b844b10732a4bb78f4470422b822da29,P2R-004.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-004.wav,6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68,44100,2.048889,1.3565,-2.3565,-15.8602,-1.0002,-14.5038,pending_blinded_semantic_review
5,P2R-005,thunderstorm,thunderstorm,positive,FSD50K,dev,253763,thunderstorm,thunderstorm__fsd50k__dev__253763__0040__r0.wav,56f7883d5c2c5c878f30becbfc44e29c101039fc9d52840c707b1acb57fa4390,P2R-005.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-005.wav,2dce5baf90e283758c74824da6900145d23f4804a6b3afbf599d602325bfc487,44100,25.08,0.316,-1.5813,-12.316,-1.2653,-12.0,pending_blinded_semantic_review
6,P2R-006,thunderstorm,thunderstorm,positive,ESC-50,fold_4,125072,thunderstorm,thunderstorm__esc50__fold_4__125072__0002__r0.wav,5dabae26cf309348043fd04d95c829ea0944397d04b8db66108df28d8b27676e,P2R-006.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-006.wav,d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce,44100,5.0,0.5394,-1.5394,-15.176,-0.9999,-14.6366,pending_blinded_semantic_review
7,P2R-007,dog_bark,dog_bark,positive,FSD50K,dev,381434,dog_bark,dog_bark__fsd50k__dev__381434__0053__r0.wav,5967df580e36f90ed32e88382e440bb7e4725b3f6aec7e896aa0d7bccf934d5b,P2R-007.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-007.wav,b2417f18d822bbbea0c159ab5a85fb23aa577a0bd2954454df0cb7d438a5e2cd,44100,5.031633,-6.9377,0.0,-5.0623,-6.9373,-12.0,pending_blinded_semantic_review
8,P2R-008,speech,speech,positive,FSD50K,val,258371,"Male_speech_and_man_speaking,Female_speech_and_woman_speaking,Conversation,Speech,Human_voice",speech__fsd50k__val__speech__258371__0007.wav,cdc69c2cef9741afc452e189c764f2f5b3bfd4eab44baf2c65406682f8177f2f,P2R-008.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-008.wav,765a2e4ee738fc7293db0263d2ab4eda6635476cfc7097fa624654e52d12b459,44100,2.422358,8.3358,-12.0869,-20.3358,-3.7512,-12.0,pending_blinded_semantic_review
9,P2R-009,siren,siren,positive,FSD50K,dev,34733,siren,siren__fsd50k__dev__34733__0012__r0.wav,48c46d9b7a5a7c032065b527a53e645f7dcf292b9e145ba697c7f4c140c2497e,P2R-009.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-009.wav,cae6fd9436b691b86d3a0db42e64b57d7d1230a5b4aed3aeb04c01fe6e9f034c,44100,11.528866,1.5712,-8.4196,-13.5712,-6.8488,-12.0,pending_blinded_semantic_review
10,P2R-010,glass_breaking,glass_breaking,positive,ESC-50,fold_4,204115,glass_breaking,glass_breaking__esc50__fold_4__204115__0000__r0.wav,3d4a520122727b384d55738c254f33103e1eee73152f4c45893736089915eff9,P2R-010.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-010.wav,bd861f1246ad7402af3693bb94ff95ba113a90564ed06d5702df84c34134baaa,44100,5.0,13.7445,-14.7445,-28.4497,-0.9999,-14.7052,pending_blinded_semantic_review
11,P2R-011,out_of_distribution,door_wood_knock,ood,ESC-50,fold_4,4-182039-A-30,door_wood_knock,4-182039-A-30.wav,64ba4dcfb42f253c93cf7b52d52584be213bcd058a9a8aa35055d76f10cc7920,P2R-011.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-011.wav,4160f037175c9a3292688701816b6818c56a7a5b0f97e0f2d1d6bba4d0d44702,44100,5.0,-1.5385,-0.0003,-10.4615,-1.5391,-12.0,pending_blinded_semantic_review
12,P2R-012,speech,speech,positive,FSD50K,val,60689,"Crowd,Speech,Human_voice,Human_group_actions",speech__fsd50k__val__speech__60689__0001.wav,03268cbb39450fa0bdee7c89c67c831a1633befac2da6bc8daf19c00028ad319,P2R-012.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-012.wav,b58ea68c551944ad2e2fa13faf084e0c74dd212fc9552f656b0f1ef953973d09,44100,9.800612,17.8244,-19.9995,-29.8244,-2.1748,-12.0,pending_blinded_semantic_review
13,P2R-013,dog_bark,dog_bark,positive,FSD50K,dev,147672,dog_bark,dog_bark__fsd50k__dev__147672__0021__r0.wav,b2681aa50b616bc6718d7264eb21819eb4e0df22447b95578154e28f4196eb11,P2R-013.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-013.wav,1cb1309637529815698b9da530d55c931b5013f23d170ef7bdc6db18a830e5c3,44100,4.406667,-7.1458,-0.1527,-4.8542,-7.2982,-12.0,pending_blinded_semantic_review
14,P2R-014,siren,siren,positive,ESC-50,fold_4,67358,siren,siren__esc50__fold_4__67358__0004__r0.wav,3192ab47aff92ef5dcec1ce178e342e24ecadf826dc6c9dd3f0515a4c53c58d2,P2R-014.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-014.wav,31b43a19717058b2baa354a9b94029fc2a53c0059407f77a556bb83733cd5014,44100,5.0,-2.7378,-0.0526,-9.2622,-2.7906,-12.0,pending_blinded_semantic_review
15,P2R-015,speech,speech,positive,FSD50K,val,87703,"Male_speech_and_man_speaking,Speech,Human_voice",speech__fsd50k__val__speech__87703__0003.wav,0146c3ec4435ab8b8014ac57a98b324f676bd3330263502ff413382395997ff9,P2R-015.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-015.wav,87c11c57a0b508f2c1efd2af148ada3c4d0cfa3bbc0e8e05a30b5dc18bac0ddd,44100,1.24322,19.706,-20.706,-32.0494,-1.0002,-12.3434,pending_blinded_semantic_review
16,P2R-016,siren,siren,positive,FSD50K,dev,268221,siren,siren__fsd50k__dev__268221__0009__r0.wav,e638ae9757afc6f31756940c3d9ce3716d9559095c2fb98cd826ae0441386eed,P2R-016.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-016.wav,2cb317e0a9edf0aee1cb75d07e178f90d8bfda19726d2aeb483e2fe38f7ce778,44100,0.711156,-1.0582,-4.8782,-10.9418,-5.9362,-12.0,pending_blinded_semantic_review
17,P2R-017,speech,speech,positive,FSD50K,val,259674,"Male_speech_and_man_speaking,Tick,Speech,Human_voice",speech__fsd50k__val__speech__259674__0010.wav,3870a1bc277ab54b15b0d8d6eb5b712ccfb91dc971c978d4cab0d4593dfe913b,P2R-017.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-017.wav,c042513b9d1a81fa8077c40e30a51e4d6d23203e4275971056d4a0cf47b8ee75,44100,2.647075,18.0608,-19.0608,-30.9718,-1.0002,-12.9113,pending_blinded_semantic_review
18,P2R-018,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,dev,368736,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__368736__0046__r0.wav,75d9f9edeb5dbd6cb7852e23d0466f22c829fe3aee131cc7073de8d18bebaae0,P2R-018.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-018.wav,354bf1a72fe85db397501fd479a58215db645fbed52254fc9d20e01ea7bcf60f,44100,0.768594,-2.604,-3.6191,-9.396,-6.2228,-12.0,pending_blinded_semantic_review
19,P2R-019,out_of_distribution,clock_tick,ood,ESC-50,fold_4,4-181865-A-38,clock_tick,4-181865-A-38.wav,0321714c36d8186de7b7089f372b853d76ffdd68f84c42872adb8ea3ba6c8f61,P2R-019.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-019.wav,be3a814b2ff3c962901c22fae8be3665a9c1e8a495edc7bad20066573498ff7c,44100,5.0,10.3329,-12.8136,-22.3329,-2.4808,-12.0005,pending_blinded_semantic_review
20,P2R-020,speech,speech,positive,FSD50K,val,174948,"Speech,Human_voice",speech__fsd50k__val__speech__174948__0018.wav,d22100b59a034c15d8cb84336988a977fe26bb585465c612538ede46c80e5276,P2R-020.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-020.wav,7e564d0a5d419a312882d3e2444962be95f8d3a81c104b07f9320d43d642afd9,44100,2.145351,-1.5519,-0.1424,-10.4481,-1.6943,-12.0,pending_blinded_semantic_review
21,P2R-021,glass_breaking,glass_breaking,positive,FSD50K,dev,131879,glass_breaking,glass_breaking__fsd50k__dev__131879__0016__r0.wav,a1650956d24f7d6f53b855824ca3b4fb8ea7063b9e3d41488ec6639fbbcca845,P2R-021.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-021.wav,effc298c5d2a6d49258261a0c2e07a613918d83b36dc0eb067a4764fb889d6d2,44100,3.401723,-1.0,0.0,-15.1474,-0.9999,-16.1475,pending_blinded_semantic_review
22,P2R-022,siren,siren,positive,FSD50K,dev,353265,siren,siren__fsd50k__dev__353265__0014__r0.wav,17dec161eff6a88c0b6a2ab4ddb87a20f8f4ad25ceb68002709a628a3eb66888,P2R-022.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-022.wav,3cb963e1447bee31ea80cb169cf82b475e4d2c4caa959636d91c4a371f763e4d,44100,27.237007,6.9219,-7.9219,-19.4163,-1.0002,-12.4945,pending_blinded_semantic_review
23,P2R-023,dog_bark,dog_bark,positive,FSD50K,dev,400576,dog_bark,dog_bark__fsd50k__dev__400576__0058__r0.wav,92d6f1fe923a66667bb4544ef7f2719467e4d978597ace32dcc1382e3ed55cef,P2R-023.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-023.wav,f250921c6c0e8394618c482c498000a96c8ed18354ba9901cad6b72b62aa7516,44100,10.744535,3.3277,-6.0063,-15.3277,-2.6788,-12.0,pending_blinded_semantic_review
24,P2R-024,thunderstorm,thunderstorm,positive,FSD50K,dev,259316,thunderstorm,thunderstorm__fsd50k__dev__259316__0041__r0.wav,7651d58eaefaccb1bd605d2d35d4a0ac7001cefeb77814da2d9c59e1660b9be5,P2R-024.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-024.wav,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,44100,17.76,-8.53,-0.7845,-3.47,-9.3138,-12.0,pending_blinded_semantic_review
25,P2R-025,thunderstorm,thunderstorm,positive,FSD50K,dev,163287,thunderstorm,thunderstorm__fsd50k__dev__163287__0013__r0.wav,1a21b108bd86c4f59008818b51ba4a3cb30b3270581237820726fa710381c3e6,P2R-025.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-025.wav,c8b0f338173d565e841cdf7efdd7c27098a32fec3399fd495d8d2b86d89552e5,44100,29.0,-0.5409,-1.759,-11.4591,-2.2996,-12.0,pending_blinded_semantic_review
26,P2R-026,speech,speech,positive,FSD50K,val,219772,"Female_speech_and_woman_speaking,Speech,Human_voice",speech__fsd50k__val__speech__219772__0011.wav,ba9483c23cd4263a882a4c42f3eb1be4a509fcacfb60ce809b4b452171bdedd0,P2R-026.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-026.wav,ec46d15d87911c803f154147e294e0414c71549c98d955070fefafe5d02190de,44100,4.462494,4.9126,-5.9126,-18.7185,-0.9999,-13.8059,pending_blinded_semantic_review
27,P2R-027,out_of_distribution,rain,ood,ESC-50,fold_4,4-166661-A-10,rain,4-166661-A-10.wav,a958fd56bfff6c34c896c8ca4e5f69705b47a446edcb57060c492f65007d277d,P2R-027.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-027.wav,56ca25c395ecc1a33b0a0a0a107f9246c3e45174994a6c08ecb0576404b3ab6d,44100,5.0,-0.3841,-0.6159,-14.2756,-0.9999,-14.6597,pending_blinded_semantic_review
28,P2R-028,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,dev,128979,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__128979__0002__r0.wav,07494ea68e33eeb25f485ebcba2d8eb23e0712de750756d8da94f307f3053e13,P2R-028.wav,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-028.wav,73c66ae36e5c035fcd04b865ecd5e4bfd903c66af0dff17d1f12d8889719ae7c,44100,2.301769,-5.742,0.0,-6.258,-5.742,-12.0,pending_blinded_semantic_review
