candidate_order,review_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,original_file,original_sha256,stimulus_file,stimulus_path,stimulus_sha256,sample_rate_hz,duration_s,normalization_gain_db,original_peak_dbfs,original_max_frame_rms_dbfs,normalized_peak_dbfs,normalized_max_frame_rms_dbfs,status
1,P2S-001,glass_breaking,glass_breaking,positive,FSD50K,dev,321143,glass_breaking,glass_breaking__fsd50k__dev__321143__0057__r0.wav,de6bb0612a984cbf74ba2e1f53ffd416582a39c0ce813ce87f8dc8dfe914bd90,P2S-001.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-001.wav,17b67527503e5773425fe82376c8686f263ae7762e5ba79dd7b1b11b36cf23df,44100,4.875329,-4.854,-2.6384,-13.146,-7.4919,-18.0,pending_semantic_review_board_screen_hidden
2,P2S-002,out_of_distribution,door_wood_knock,ood,ESC-50,fold_4,4-211502-A-30,door_wood_knock,4-211502-A-30.wav,8c6e71d485494707a94ce0563deaa5c4599a219e0a512151e8e77ed907775ad8,P2S-002.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-002.wav,66d6997b0bc4d6b11538d16b81768b93ac8881682387271bcf048695031aec69,44100,5.0,-7.3969,0.0,-10.6031,-7.3964,-18.0,pending_semantic_review_board_screen_hidden
3,P2S-003,out_of_distribution,rain,ood,ESC-50,fold_4,4-164206-A-10,rain,4-164206-A-10.wav,75f81596617c19cb01f4e0a0422798f100d1bedd796cd13aa59687b2bac13d16,P2S-003.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-003.wav,8331ef232ca561336d1f80924b75804bb2ce5386fcc955eb45270e97f387b309,44100,5.0,-1.9066,-4.0934,-20.4702,-5.9999,-22.3768,pending_semantic_review_board_screen_hidden
4,P2S-004,thunderstorm,thunderstorm,positive,FSD50K,dev,243968,thunderstorm,thunderstorm__fsd50k__dev__243968__0037__r0.wav,c8826afac6f3877196b0a2ea117c0b8eb361855f03eda9652e5097bcbf0e4c47,P2S-004.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-004.wav,1ca40ba43ee8776d665dfb5ecc4e4801c9b33f48a49d568dd5720df887bfef7f,44100,3.482993,-6.9349,-0.8588,-11.0651,-7.7935,-18.0,pending_semantic_review_board_screen_hidden
5,P2S-005,out_of_distribution,clock_tick,ood,ESC-50,fold_4,4-179984-A-38,clock_tick,4-179984-A-38.wav,c39eef951ebd527500e4c8bae4e7d5c6638017dc093125f0d46d462573a8fea5,P2S-005.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-005.wav,1c2178f18c5000c74bdddde704249e880f3ec6dd011b49bf1450b0db1c24d1ba,44100,5.0,2.0059,-15.018,-20.0059,-13.0128,-18.0006,pending_semantic_review_board_screen_hidden
6,P2S-006,out_of_distribution,clapping,ood,ESC-50,fold_4,4-189828-A-22,clapping,4-189828-A-22.wav,13a9c47cba0d2dab78358fa78a6ffe10d7fd209b94b4f062b260dd7ea1b67243,P2S-006.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-006.wav,be0e6278f2aca40b61a6376593da756883ddc2f92be5e7a100837792a7702bb3,44100,5.0,-6.0,0.0,-16.0786,-5.9999,-22.0786,pending_semantic_review_board_screen_hidden
7,P2S-007,out_of_distribution,door_wood_knock,ood,ESC-50,fold_4,4-261068-A-30,door_wood_knock,4-261068-A-30.wav,5f9bef85798486a2a5cdf712ef24f5ef12e84858dc7708fd5478d713cb243548,P2S-007.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-007.wav,551c6ff3846d1c29b0247fdc8fe46fdc0a65218adb6584e4f7cec64f004f069c,44100,5.0,-8.1921,-0.2482,-9.8079,-8.4399,-18.0001,pending_semantic_review_board_screen_hidden
8,P2S-008,thunderstorm,thunderstorm,positive,FSD50K,dev,128343,thunderstorm,thunderstorm__fsd50k__dev__128343__0010__r0.wav,81667d09fe662fb2afc865cbaaf28ea0bd404443fb9a2ac63bb085fdb2903c38,P2S-008.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-008.wav,979d3ce6fae1263dce489e8cd55b4f163d92a13a0d5e945e109b1e91c9bfda2d,44100,24.596893,-15.5471,0.0,-2.4529,-15.5461,-17.9998,pending_semantic_review_board_screen_hidden
9,P2S-009,glass_breaking,glass_breaking,positive,FSD50K,dev,233381,glass_breaking,glass_breaking__fsd50k__dev__233381__0039__r0.wav,e12aceff5c8c5417fa7bbfec76218c149f864f6787a694d3cfa105637cb9d28a,P2S-009.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-009.wav,57f3d86163200863ac626ad9b5a875b6d5b823ddc94a9b02d9887832829f5cee,44100,1.364172,-5.9551,-0.0449,-12.4734,-5.9999,-18.4285,pending_semantic_review_board_screen_hidden
10,P2S-010,out_of_distribution,door_wood_knock,ood,ESC-50,fold_4,4-188878-A-30,door_wood_knock,4-188878-A-30.wav,072852ce3b23b40d58774570a5758fae5b114be54a3d8242cf26a722ff735a07,P2S-010.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-010.wav,2474d23539de83f4053517e774747d5c5aed53a9bf82cd8a501cfb0f07afd7b5,44100,5.0,-5.2404,-0.7596,-14.4269,-5.9999,-19.6673,pending_semantic_review_board_screen_hidden
