"candidate_order","review_id","expected_class","true_category","stimulus_sha256","representativeness","audibility","variant","note"
"1","P2S-001","glass_breaking","glass_breaking","17b67527503e5773425fe82376c8686f263ae7762e5ba79dd7b1b11b36cf23df","ambiguous_wrong","loud_distorted","shatter_plus_impact","blurred"
"2","P2S-002","out_of_distribution","door_wood_knock","66d6997b0bc4d6b11538d16b81768b93ac8881682387271bcf048695031aec69","canonical","loud_distorted","not_recorded","too loud"
"3","P2S-003","out_of_distribution","rain","8331ef232ca561336d1f80924b75804bb2ce5386fcc955eb45270e97f387b309","ambiguous_wrong","loud_distorted","not_recorded","high pitch background"
"4","P2S-004","thunderstorm","thunderstorm","1ca40ba43ee8776d665dfb5ecc4e4801c9b33f48a49d568dd5720df887bfef7f","ambiguous_wrong","quiet","not_recorded","just blurry deep sound"
"5","P2S-005","out_of_distribution","clock_tick","1c2178f18c5000c74bdddde704249e880f3ec6dd011b49bf1450b0db1c24d1ba","canonical","loud_distorted","not_recorded","too loud"
"6","P2S-006","out_of_distribution","clapping","be0e6278f2aca40b61a6376593da756883ddc2f92be5e7a100837792a7702bb3","canonical","loud_distorted","not_recorded","a bit loud but fine"
"7","P2S-007","out_of_distribution","door_wood_knock","551c6ff3846d1c29b0247fdc8fe46fdc0a65218adb6584e4f7cec64f004f069c","canonical","loud_distorted","not_recorded","too loud"
"8","P2S-008","thunderstorm","thunderstorm","979d3ce6fae1263dce489e8cd55b4f163d92a13a0d5e945e109b1e91c9bfda2d","canonical","loud_distorted","not_recorded","good"
"9","P2S-009","glass_breaking","glass_breaking","57f3d86163200863ac626ad9b5a875b6d5b823ddc94a9b02d9887832829f5cee","ambiguous_wrong","normal","shatter_plus_impact","not it at all"
"10","P2S-010","out_of_distribution","door_wood_knock","2474d23539de83f4053517e774747d5c5aed53a9bf82cd8a501cfb0f07afd7b5","canonical","normal","not_recorded","ok"
"11","P2S-011","out_of_distribution","clapping","3cbf32bde3d768df0d788f4adc33c6dbb202769013ff6aaf458bf39575745324","ambiguous_wrong","loud_distorted","not_recorded","weird noises"
"12","P2S-012","thunderstorm","thunderstorm","bae90cc79e36dbaf5a444914be00c76edab3c998c7a2ad009a8cab48749b895e","canonical","normal","not_recorded","quite ok, has high pitched background"
"13","P2S-013","out_of_distribution","clock_tick","3133fe152b456d386fe72e1519f0f68c78093168333a1f56cf87afa509dc8ac2","canonical","loud_distorted","not_recorded","too loud"
"14","P2S-014","out_of_distribution","rain","89c53f006ecd99d914c8b036e19d9fc0888a056824a217644904ba814ee63efe","ambiguous_wrong","loud_distorted","not_recorded","too loud (VERY)"
"15","P2S-015","glass_breaking","glass_breaking","f2094ae9775ec9a71f19428a57af943204a4f3a4a997b9aec9c24830da332884","canonical","loud_distorted","shatter_plus_impact","very loud"
"16","P2S-016","glass_breaking","glass_breaking","f5daebc23feaa556d514089ddc21b0a5b694f281f78a0ae60f666c746a63b35e","ambiguous_wrong","normal","handling_or_clink","its not correct"
"17","P2S-017","out_of_distribution","rain","7c4574b878da13b9b03853b2de223671156478638b22100d859f3355a7115b72","ambiguous_wrong","normal","not_recorded","weird"
"18","P2S-018","glass_breaking","glass_breaking","2250ebfafcb52f01dc59c3e11c9a11f42814d57ce94e8f36573e2b0b533e33c8","canonical","normal","shatter_plus_impact","multiple breakings"
"19","P2S-019","glass_breaking","glass_breaking","26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a","canonical","normal","clean_shatter","amazing"
"20","P2S-020","out_of_distribution","clapping","486c1fb74eb3c597ddbb9425d3db62e6bec3c63a233d0ca3a718e533d6b220df","canonical","loud_distorted","not_recorded","too loud"
"21","P2S-021","thunderstorm","thunderstorm","05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a","canonical","normal","not_recorded","great"
"22","P2S-022","thunderstorm","thunderstorm","5e22d55d757c17b1e3b3721584fd0c2e565a68a143d11d5f42ff1a5ac1d89039","atypical_valid","normal","not_recorded","too high pitched background"
"23","P2S-023","out_of_distribution","clock_tick","763805dc61087479a884cbe183f9875ce0069f0185a85cd7ca4ba79e6d475779","canonical","loud_distorted","not_recorded","too loud"
"24","P2S-024","thunderstorm","thunderstorm","08b7dad3a16c77c9a530003d4feef7d010a04bb48d5ac7ff88c388b818076af9","canonical","normal","not_recorded","not bad"
