trial_order,trial_id,round,expected_class,true_category,test_type,stimulus_file,stimulus_path,source_dataset,source_partition,source_id,sha256,distance_cm,volume_percent,capture_duration_s,status,notes
1,PILOT-001,1,speech,speech,positive,speech__fsd50k__val__speech__149825__0000.wav,../ml-workspace/datasets/hazard5v3s/audio/speech__fsd50k__val__speech__149825__0000.wav,FSD50K,val,149825,a6d371c3b9eaad6d4ee68d6e9b2c74470641727582780da6c80839d62f7fe477,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
2,PILOT-002,1,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__404233__0059__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/dog_bark__fsd50k__dev__404233__0059__r0.wav,FSD50K,dev,404233,6f8e76d173cfedd3737514f3276f29621e1ab19a7858f8ac413a15404f857820,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
3,PILOT-003,1,out_of_distribution,clapping,ood,4-189833-A-22.wav,../ml-workspace/datasets/ESC-50/audio/4-189833-A-22.wav,ESC-50,fold_4,4-189833-A-22,6e1e23f2d71d057489dc0e630e25271af4c1a9b73888b666eebdae268d7ad0ac,30,50,20,pending,OOD hard negative: clapping.
4,PILOT-004,1,siren,siren,positive,siren__esc50__fold_4__111671__0002__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/siren__esc50__fold_4__111671__0002__r0.wav,ESC-50,fold_4,111671,7b862bec0a634cc342e53fe54fbac85c28801588903e2a35e9eff705b5593b05,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
5,PILOT-005,1,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav,FSD50K,dev,160590,b8b005f0e7555d28157f8b0368115ed094c36c41488538950e7bf27a2c86fe9e,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
6,PILOT-006,1,thunderstorm,thunderstorm,positive,thunderstorm__esc50__fold_4__156993__0004__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/thunderstorm__esc50__fold_4__156993__0004__r0.wav,ESC-50,fold_4,156993,542138c59d58acaab06659a09902e49fe7acffb07594680210f38a6ba21898e5,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
7,PILOT-007,1,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__156031__0022__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/glass_breaking__fsd50k__dev__156031__0022__r0.wav,FSD50K,dev,156031,00669ef2d3d4d9c035201de813299d12df7187f5ee9aa16aa1289b47bf8613c0,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
8,PILOT-008,2,speech,speech,positive,speech__fsd50k__val__speech__132738__0023.wav,../ml-workspace/datasets/hazard5v3s/audio/speech__fsd50k__val__speech__132738__0023.wav,FSD50K,val,132738,360d7a68135c10fe309b00b6454f1a384e3861db7c7f49ed02d7ff7a4f2a14a0,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
9,PILOT-009,2,glass_breaking,glass_breaking,positive,glass_breaking__esc50__fold_4__212698__0007__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/glass_breaking__esc50__fold_4__212698__0007__r0.wav,ESC-50,fold_4,212698,4491d08becad3c0074b46fbe25eeb7536a458036ecd5eed77f5709ed77313ef8,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
10,PILOT-010,2,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__370714__0051__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/dog_bark__fsd50k__dev__370714__0051__r0.wav,FSD50K,dev,370714,7fa756a12029d4a1b195241fe1f37f9f6e887219391a624018f9641925ed6824,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
11,PILOT-011,2,siren,siren,positive,siren__fsd50k__dev__34952__0013__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/siren__fsd50k__dev__34952__0013__r0.wav,FSD50K,dev,34952,39ce340fb4b3bfae94322a64e6e11fc5dcaf502d5e27450d1ca219ad778f63e5,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
