threshold,speech_recall,hazard_macro_recall,hazard_macro_recall_loss,hazard_accuracy,hazard_false_speech_rate,speech_correct,speech_total,hazard_correct,hazard_total,hazards_suppressed_as_speech,passes_speech_gate,passes_hazard_gate,passes_loss_gate,passes_all_gates
0.01,1.0,0.4333333333333333,0.4548148147666667,0.41732283464566927,0.5708661417322834,24,24,106,254,145,True,False,False,False
0.02,1.0,0.5588888888888889,0.3292592592111111,0.5393700787401575,0.4251968503937008,24,24,137,254,108,True,False,False,False
0.03,1.0,0.63,0.2581481481,0.6141732283464567,0.3464566929133858,24,24,156,254,88,True,False,False,False
0.04,1.0,0.6703703703703703,0.2177777777296297,0.6614173228346457,0.2992125984251969,24,24,168,254,76,True,False,False,False
0.05,1.0,0.7007407407407407,0.18740740735925931,0.6889763779527559,0.2677165354330709,24,24,175,254,68,True,False,False,False
0.06,1.0,0.7307407407407408,0.15740740735925918,0.7165354330708661,0.23622047244094488,24,24,182,254,60,True,False,False,False
0.07,1.0,0.7440740740740741,0.14407407402592587,0.7322834645669292,0.2125984251968504,24,24,186,254,54,True,False,False,False
0.08,1.0,0.7644444444444444,0.12370370365555561,0.7480314960629921,0.1889763779527559,24,24,190,254,48,True,False,False,False
0.09,1.0,0.7744444444444445,0.11370370365555549,0.7598425196850394,0.16535433070866143,24,24,193,254,42,True,False,False,False
0.1,1.0,0.7744444444444445,0.11370370365555549,0.7598425196850394,0.16535433070866143,24,24,193,254,42,True,False,False,False
0.11,1.0,0.798148148148148,0.08999999995185193,0.7874015748031497,0.1377952755905512,24,24,200,254,35,True,False,False,False
0.12,1.0,0.8085185185185185,0.07962962958148145,0.7992125984251969,0.1141732283464567,24,24,203,254,29,True,False,False,False
0.13,1.0,0.8151851851851852,0.07296296291481474,0.8070866141732284,0.10236220472440945,24,24,205,254,26,True,False,False,False
0.14,1.0,0.8285185185185184,0.05962962958148155,0.8149606299212598,0.09448818897637795,24,24,207,254,24,True,False,False,False
0.15,1.0,0.8285185185185184,0.05962962958148155,0.8149606299212598,0.09448818897637795,24,24,207,254,24,True,False,False,False
0.16,1.0,0.8351851851851851,0.05296296291481484,0.8228346456692913,0.08267716535433071,24,24,209,254,21,True,False,False,False
0.17,1.0,0.8385185185185187,0.049629629581481316,0.8267716535433071,0.07480314960629922,24,24,210,254,19,True,False,False,False
0.18,1.0,0.8418518518518517,0.04629629624814824,0.8307086614173228,0.07086614173228346,24,24,211,254,18,True,False,False,False
0.19,1.0,0.8418518518518517,0.04629629624814824,0.8307086614173228,0.07086614173228346,24,24,211,254,18,True,False,False,False
0.2,1.0,0.8551851851851853,0.03296296291481471,0.8385826771653543,0.06299212598425197,24,24,213,254,16,True,True,True,True
