threshold,confirmation_frames,positive_detected,positive_total,positive_recall,negative_false_positives,negative_total,negative_false_positive_rate
0.2,1,7,7,1.0,0,8,0.0
0.21,1,7,7,1.0,0,8,0.0
0.22,1,7,7,1.0,0,8,0.0
0.23,1,7,7,1.0,0,8,0.0
0.24,1,7,7,1.0,0,8,0.0
0.25,1,7,7,1.0,0,8,0.0
0.26,1,7,7,1.0,0,8,0.0
0.27,1,7,7,1.0,0,8,0.0
0.28,1,7,7,1.0,0,8,0.0
0.29,1,7,7,1.0,0,8,0.0
0.3,1,7,7,1.0,0,8,0.0
0.31,1,7,7,1.0,0,8,0.0
0.32,1,7,7,1.0,0,8,0.0
0.33,1,7,7,1.0,0,8,0.0
0.34,1,7,7,1.0,0,8,0.0
0.35,1,7,7,1.0,0,8,0.0
0.36,1,7,7,1.0,0,8,0.0
0.37,1,7,7,1.0,0,8,0.0
0.38,1,7,7,1.0,0,8,0.0
0.39,1,7,7,1.0,0,8,0.0
0.4,1,7,7,1.0,0,8,0.0
0.41,1,6,7,0.857143,0,8,0.0
0.42,1,5,7,0.714286,0,8,0.0
0.43,1,5,7,0.714286,0,8,0.0
0.44,1,4,7,0.571429,0,8,0.0
0.45,1,4,7,0.571429,0,8,0.0
0.46,1,4,7,0.571429,0,8,0.0
0.47,1,4,7,0.571429,0,8,0.0
0.48,1,4,7,0.571429,0,8,0.0
0.49,1,4,7,0.571429,0,8,0.0
0.5,1,4,7,0.571429,0,8,0.0
0.51,1,4,7,0.571429,0,8,0.0
0.52,1,4,7,0.571429,0,8,0.0
0.53,1,4,7,0.571429,0,8,0.0
0.54,1,4,7,0.571429,0,8,0.0
0.55,1,4,7,0.571429,0,8,0.0
0.56,1,4,7,0.571429,0,8,0.0
0.57,1,4,7,0.571429,0,8,0.0
0.58,1,4,7,0.571429,0,8,0.0
0.59,1,4,7,0.571429,0,8,0.0
0.6,1,3,7,0.428571,0,8,0.0
0.61,1,3,7,0.428571,0,8,0.0
0.62,1,3,7,0.428571,0,8,0.0
0.63,1,3,7,0.428571,0,8,0.0
0.64,1,3,7,0.428571,0,8,0.0
0.65,1,3,7,0.428571,0,8,0.0
0.2,2,7,7,1.0,0,8,0.0
0.21,2,7,7,1.0,0,8,0.0
0.22,2,7,7,1.0,0,8,0.0
0.23,2,7,7,1.0,0,8,0.0
0.24,2,7,7,1.0,0,8,0.0
0.25,2,7,7,1.0,0,8,0.0
0.26,2,7,7,1.0,0,8,0.0
0.27,2,7,7,1.0,0,8,0.0
0.28,2,7,7,1.0,0,8,0.0
0.29,2,7,7,1.0,0,8,0.0
0.3,2,7,7,1.0,0,8,0.0
0.31,2,7,7,1.0,0,8,0.0
0.32,2,7,7,1.0,0,8,0.0
0.33,2,6,7,0.857143,0,8,0.0
0.34,2,6,7,0.857143,0,8,0.0
0.35,2,6,7,0.857143,0,8,0.0
0.36,2,5,7,0.714286,0,8,0.0
0.37,2,5,7,0.714286,0,8,0.0
0.38,2,4,7,0.571429,0,8,0.0
0.39,2,4,7,0.571429,0,8,0.0
0.4,2,4,7,0.571429,0,8,0.0
0.41,2,4,7,0.571429,0,8,0.0
0.42,2,4,7,0.571429,0,8,0.0
0.43,2,4,7,0.571429,0,8,0.0
0.44,2,4,7,0.571429,0,8,0.0
0.45,2,4,7,0.571429,0,8,0.0
0.46,2,4,7,0.571429,0,8,0.0
0.47,2,4,7,0.571429,0,8,0.0
0.48,2,4,7,0.571429,0,8,0.0
0.49,2,3,7,0.428571,0,8,0.0
0.5,2,3,7,0.428571,0,8,0.0
0.51,2,3,7,0.428571,0,8,0.0
0.52,2,3,7,0.428571,0,8,0.0
0.53,2,3,7,0.428571,0,8,0.0
0.54,2,3,7,0.428571,0,8,0.0
0.55,2,3,7,0.428571,0,8,0.0
0.56,2,3,7,0.428571,0,8,0.0
0.57,2,1,7,0.142857,0,8,0.0
0.58,2,1,7,0.142857,0,8,0.0
0.59,2,1,7,0.142857,0,8,0.0
0.6,2,1,7,0.142857,0,8,0.0
0.61,2,1,7,0.142857,0,8,0.0
0.62,2,1,7,0.142857,0,8,0.0
0.63,2,0,7,0.0,0,8,0.0
0.64,2,0,7,0.0,0,8,0.0
0.65,2,0,7,0.0,0,8,0.0
0.2,3,7,7,1.0,0,8,0.0
0.21,3,6,7,0.857143,0,8,0.0
0.22,3,6,7,0.857143,0,8,0.0
0.23,3,6,7,0.857143,0,8,0.0
0.24,3,6,7,0.857143,0,8,0.0
0.25,3,5,7,0.714286,0,8,0.0
0.26,3,5,7,0.714286,0,8,0.0
0.27,3,5,7,0.714286,0,8,0.0
0.28,3,5,7,0.714286,0,8,0.0
0.29,3,4,7,0.571429,0,8,0.0
0.3,3,4,7,0.571429,0,8,0.0
0.31,3,4,7,0.571429,0,8,0.0
0.32,3,4,7,0.571429,0,8,0.0
0.33,3,4,7,0.571429,0,8,0.0
0.34,3,4,7,0.571429,0,8,0.0
0.35,3,4,7,0.571429,0,8,0.0
0.36,3,2,7,0.285714,0,8,0.0
0.37,3,2,7,0.285714,0,8,0.0
0.38,3,2,7,0.285714,0,8,0.0
0.39,3,2,7,0.285714,0,8,0.0
0.4,3,2,7,0.285714,0,8,0.0
0.41,3,2,7,0.285714,0,8,0.0
0.42,3,2,7,0.285714,0,8,0.0
0.43,3,2,7,0.285714,0,8,0.0
0.44,3,2,7,0.285714,0,8,0.0
0.45,3,2,7,0.285714,0,8,0.0
0.46,3,2,7,0.285714,0,8,0.0
0.47,3,2,7,0.285714,0,8,0.0
0.48,3,2,7,0.285714,0,8,0.0
0.49,3,2,7,0.285714,0,8,0.0
0.5,3,1,7,0.142857,0,8,0.0
0.51,3,1,7,0.142857,0,8,0.0
0.52,3,1,7,0.142857,0,8,0.0
0.53,3,1,7,0.142857,0,8,0.0
0.54,3,0,7,0.0,0,8,0.0
0.55,3,0,7,0.0,0,8,0.0
0.56,3,0,7,0.0,0,8,0.0
0.57,3,0,7,0.0,0,8,0.0
0.58,3,0,7,0.0,0,8,0.0
0.59,3,0,7,0.0,0,8,0.0
0.6,3,0,7,0.0,0,8,0.0
0.61,3,0,7,0.0,0,8,0.0
0.62,3,0,7,0.0,0,8,0.0
0.63,3,0,7,0.0,0,8,0.0
0.64,3,0,7,0.0,0,8,0.0
0.65,3,0,7,0.0,0,8,0.0
