dataset_role,other_group,source_dataset,source_partition,source_id,source_filename,source_labels,filename,stimulus_sha256,patch_count,hardness_score,hardest_predicted_class,hardest_patch_within_clip,mean_top_class,mean_top_score,mean_score_dog_bark,mean_score_glass_breaking,mean_score_gunshot_gunfire,mean_score_siren,mean_score_speech,mean_score_thunderstorm
train,tonal_alarm,FSD50K,train,204426,204426.wav,Alarm,other_candidate__fsd50k__train__204426__0000.wav,ff3438d4c75a631e81e24d5094d2562006e822896214fbb2006c785585c66584,4,0.9187596440315247,siren,0,siren,0.4113498032093048,0.015072323381900787,0.10245048254728317,0.1753425896167755,0.4113498032093048,0.20873874425888062,0.08704609423875809
train,tonal_alarm,FSD50K,train,111347,111347.wav,Bell,other_candidate__fsd50k__train__111347__0001.wav,5a5e48cb3c9a5f9da11a70a712454910494b828b5791644a3755c0c7b2eb05f7,1,0.44078487157821655,glass_breaking,0,glass_breaking,0.44078487157821655,0.0712771937251091,0.44078487157821655,0.19065126776695251,0.21267490088939667,0.0712771937251091,0.013334499672055244
train,tonal_alarm,FSD50K,train,347234,347234.wav,"Telephone,Alarm",other_candidate__fsd50k__train__347234__0002.wav,3679bc6b22970ffd5a86c48a9b76e13099dd6811d0889f6789fdf7af134362da,13,0.9811943173408508,siren,8,siren,0.8052234053611755,0.0028806196060031652,0.029679369181394577,0.01673058047890663,0.8052234053611755,0.1384357362985611,0.007050308398902416
train,tonal_alarm,FSD50K,train,77069,77069.wav,"Church_bell,Bell",other_candidate__fsd50k__train__77069__0003.wav,bb655b85d2d92d7c948a6b6172fd145d3b7de36037c93d1122861206f23ff703,8,0.5651357173919678,thunderstorm,4,siren,0.29018300771713257,0.037493996322155,0.18017320334911346,0.1115964874625206,0.29018300771713257,0.1250360906124115,0.2555171847343445
train,tonal_alarm,FSD50K,train,90971,90971.wav,"Cowbell,Bell",other_candidate__fsd50k__train__90971__0004.wav,fe68b1d158becb4415fac5731688ac74c6fdd6b6997fb6a5260144c8a14e95a1,1,0.37163078784942627,siren,0,siren,0.37163078784942627,0.02899513766169548,0.14944231510162354,0.22312815487384796,0.37163078784942627,0.2151438146829605,0.011659693904221058
train,tonal_alarm,FSD50K,train,274085,274085.wav,Squeak,other_candidate__fsd50k__train__274085__0005.wav,875d10a59fc0a56b716d66ef634f064e200e3460932826f61f0296dbc6019184,2,0.5960153341293335,siren,0,siren,0.44928765296936035,0.08826729655265808,0.22841262817382812,0.014713382348418236,0.44928765296936035,0.2135225236415863,0.005796518642455339
train,tonal_alarm,FSD50K,train,13840,13840.wav,Squeak,other_candidate__fsd50k__train__13840__0006.wav,d722305791f7d94820fb8ae76968dfee93817d45b3f1d5c23f61ced2de479746,10,0.8743720054626465,gunshot_gunfire,8,speech,0.317243367433548,0.09045485407114029,0.158875972032547,0.17394296824932098,0.023905497044324875,0.317243367433548,0.2355773001909256
train,tonal_alarm,FSD50K,train,245311,245311.wav,"Telephone,Alarm",other_candidate__fsd50k__train__245311__0007.wav,f8c1c3d75d86fdb67e211f94086147ad9022a5ba43bb4e6e35ec84f2dba70cdd,1,0.7595099210739136,siren,0,siren,0.7595099210739136,0.002150921616703272,0.005753256380558014,0.003996303770691156,0.7595099210739136,0.2281871736049652,0.00040239328518509865
train,tonal_alarm,FSD50K,train,327970,327970.wav,Alarm,other_candidate__fsd50k__train__327970__0008.wav,48b31c211336f86f14fdfe4e1c3c4f63652c6b2c65fe9189ee8631dc3684c147,13,0.9171713590621948,siren,1,siren,0.6850769519805908,0.0006576846935786307,0.007884841412305832,0.2327995002269745,0.6850769519805908,0.07224259525537491,0.0013384220656007528
train,tonal_alarm,FSD50K,train,55031,55031.wav,Alarm,other_candidate__fsd50k__train__55031__0009.wav,4ab75b0454dce6d85d120e84627988918b695db0cb66b83ab9a1dc4ce926f820,13,0.9885750412940979,siren,6,siren,0.8229070901870728,0.005647771060466766,0.10000826418399811,0.025056889280676842,0.8229070901870728,0.019382845610380173,0.026997048407793045
train,tonal_alarm,FSD50K,train,91150,91150.wav,"Cowbell,Bell",other_candidate__fsd50k__train__91150__0010.wav,fb61e22e0a0b1174ce9d39ddeb0603aa65d77bd4c6378d8ce41ade12861d53f7,1,0.41129767894744873,gunshot_gunfire,0,gunshot_gunfire,0.41129767894744873,0.007203167304396629,0.35551193356513977,0.41129767894744873,0.1482660323381424,0.02229022979736328,0.05543098226189613
train,tonal_alarm,FSD50K,train,275567,275567.wav,"Doorbell,Door,Domestic_sounds_and_home_sounds,Alarm",other_candidate__fsd50k__train__275567__0011.wav,e30f4b710a963fe8017da96f2d8387a5341b35055b26c3c132b0e64d7ed08565,2,0.5449479818344116,gunshot_gunfire,0,gunshot_gunfire,0.5194826722145081,0.009462559595704079,0.3004615902900696,0.5194826722145081,0.055597126483917236,0.05414632707834244,0.06084970012307167
train,tonal_alarm,FSD50K,train,10712,10712.wav,Bell,other_candidate__fsd50k__train__10712__0012.wav,2bba6d1283557c8706b48450a8f1c56692c1c0e02d33217faf0186bf442b0e23,1,0.9299899339675903,glass_breaking,0,glass_breaking,0.9299899339675903,0.0033989744260907173,0.9299899339675903,0.03375638276338577,0.014600533060729504,0.017518481239676476,0.0007356583373621106
train,tonal_alarm,FSD50K,train,390136,390136.wav,"Telephone,Alarm",other_candidate__fsd50k__train__390136__0013.wav,2ba55d4b89de87cd1ce1f8cd3ee94ff9f513686db7a709d76a5748302047cd61,4,0.9837305545806885,siren,0,speech,0.3825676441192627,0.19411277770996094,0.038436051458120346,0.021154457703232765,0.3371717929840088,0.3825676441192627,0.026557300239801407
train,tonal_alarm,FSD50K,train,22876,22876.wav,Alarm,other_candidate__fsd50k__train__22876__0014.wav,d3c245a7180ade140d6146fb50197fd2fb5c9b2edc81eef148936c097e287c59,9,0.8239781260490417,thunderstorm,8,thunderstorm,0.45102331042289734,0.006469529587775469,0.030055969953536987,0.18857473134994507,0.3020576238632202,0.021818803623318672,0.45102331042289734
train,tonal_alarm,FSD50K,train,185887,185887.wav,"Telephone,Alarm",other_candidate__fsd50k__train__185887__0015.wav,41c0384bd635b7a9ba840ba02ae57753ddf2bdae70873f5953029e7b2d5068a2,1,0.3625008761882782,speech,0,speech,0.3625008761882782,0.09763158112764359,0.15118077397346497,0.242788627743721,0.015222594141960144,0.3625008761882782,0.13067559897899628
train,tonal_alarm,FSD50K,train,328826,328826.wav,"Bicycle_bell,Alarm,Bicycle,Vehicle,Bell",other_candidate__fsd50k__train__328826__0016.wav,a6f5ac7a41e2cf32bef9554f25040d8bf16d0a6d7420f4c7b4361e65aeeb92ff,6,0.9824066162109375,glass_breaking,0,gunshot_gunfire,0.3762439787387848,0.012720524333417416,0.20061123371124268,0.3762439787387848,0.16248925030231476,0.039927054196596146,0.20800799131393433
train,tonal_alarm,FSD50K,train,250048,250048.wav,"Telephone,Alarm",other_candidate__fsd50k__train__250048__0017.wav,439d3edbd56c52d540f5bb4311ecb206825da0b4b5a3beb001d697b1a4fb6852,1,0.8532772660255432,siren,0,siren,0.8532772660255432,0.00048624875489622355,0.0009717248030938208,0.0016785176703706384,0.8532772660255432,0.14310000836849213,0.00048624875489622355
train,tonal_alarm,FSD50K,train,29966,29966.wav,"Chime,Bell",other_candidate__fsd50k__train__29966__0018.wav,e8a1c1c6ad0602f0cfa1d599838e24e006adf1eb77720d0f57fb150f0e57356b,13,0.9937384128570557,glass_breaking,1,glass_breaking,0.7416603565216064,0.006646889727562666,0.7416603565216064,0.08889876306056976,0.10674844682216644,0.01799040287733078,0.0380551815032959
train,tonal_alarm,FSD50K,train,188695,188695.wav,"Telephone,Alarm",other_candidate__fsd50k__train__188695__0019.wav,e7d06a7b29435a391d3e9b0cedfa57c9a80b823a4682df2c5caa84271bac8260,11,0.9814726114273071,siren,6,siren,0.837400496006012,0.004125351086258888,0.011353765614330769,0.018569834530353546,0.837400496006012,0.08317698538303375,0.045373573899269104
train,tonal_alarm,FSD50K,train,2937,2937.wav,"Vehicle_horn_and_car_horn_and_honking,Car,Motor_vehicle_(road),Vehicle,Alarm",other_candidate__fsd50k__train__2937__0020.wav,1d99c803c259593bcc7c191010d8b93720f796247b244412ae50f53749b6632c,1,0.9521059989929199,siren,0,siren,0.9521059989929199,0.0008401555824093521,0.019290992990136147,0.008974672295153141,0.9521059989929199,0.013399829156696796,0.005388420075178146
train,tonal_alarm,FSD50K,train,57471,57471.wav,Squeak,other_candidate__fsd50k__train__57471__0021.wav,ed4aa0f6fe16927e4f660d79058d4e56b5eac6b542063c04eed357dd7304e13d,6,0.9539657235145569,siren,1,siren,0.906278669834137,0.011850007809698582,0.020745359361171722,0.016100948676466942,0.906278669834137,0.03393347188830376,0.011091495864093304
train,tonal_alarm,FSD50K,train,422059,422059.wav,"Chime,Bell",other_candidate__fsd50k__train__422059__0022.wav,b15a3ddc4bd269df57105f280bff88d4b431112478c294b1ea6eda727dfd8e39,4,0.9449777603149414,glass_breaking,0,glass_breaking,0.5938636660575867,0.03540904074907303,0.5938636660575867,0.24134600162506104,0.04967343807220459,0.029902968555688858,0.049804918467998505
train,tonal_alarm,FSD50K,train,128321,128321.wav,Squeak,other_candidate__fsd50k__train__128321__0023.wav,68e52c81f86190242f0452c460eb4473d32cf3b8f507db9c659435c94d00132e,1,0.3792991042137146,thunderstorm,0,thunderstorm,0.3792991042137146,0.03301200270652771,0.2833855152130127,0.15818645060062408,0.014278574846684933,0.13183832168579102,0.3792991042137146
train,tonal_alarm,FSD50K,train,90987,90987.wav,"Cowbell,Bell",other_candidate__fsd50k__train__90987__0024.wav,b0176617adcb4e8cfe8940e93c4ad6cc41e7b9608927305c1296bcaeb8e8dc6d,1,0.85499507188797,glass_breaking,0,glass_breaking,0.85499507188797,0.0018761868122965097,0.85499507188797,0.02004171721637249,0.05559676140546799,0.06670787185430527,0.0007824624190106988
train,tonal_alarm,FSD50K,train,379756,379756.wav,"Raindrop,Trickle_and_dribble,Vehicle_horn_and_car_horn_and_honking,Rain,Car,Motor_vehicle_(road),Vehicle,Alarm,Water,Pour,Liquid",other_candidate__fsd50k__train__379756__0025.wav,1ac9f9af5067b3746641ce12269a0a5aff684ab0e3a4d13950942dc8f6ca4027,13,0.7238547205924988,glass_breaking,6,thunderstorm,0.5003608465194702,0.03947806730866432,0.27089154720306396,0.07953418791294098,0.04311239346861839,0.06662295758724213,0.5003608465194702
train,tonal_alarm,FSD50K,train,185708,185708.wav,Alarm,other_candidate__fsd50k__train__185708__0026.wav,02538cbbd67410e3549b03c7863aa68a6e1cb6caa7a76234db1af9ec8ec43724,11,0.986241340637207,siren,2,siren,0.955876350402832,0.0001008018443826586,0.0026570106856524944,0.00010397662117611617,0.955876350402832,0.041161034256219864,0.0001008018443826586
train,tonal_alarm,FSD50K,train,30154,30154.wav,Bell,other_candidate__fsd50k__train__30154__0027.wav,ff4b3d7f32e941d8897bd13785c72688c753f1cfd97b63a8b6729a3b488f291c,1,0.6212202310562134,glass_breaking,0,glass_breaking,0.6212202310562134,0.017472077161073685,0.6212202310562134,0.024253495037555695,0.28900787234306335,0.03755609318614006,0.01049028243869543
train,tonal_alarm,FSD50K,train,130044,130044.wav,"Squeak,Door,Domestic_sounds_and_home_sounds",other_candidate__fsd50k__train__130044__0028.wav,4b60ae124d87dffb28980b5b2510ef947498dc0265777955e95877017adfad8e,3,0.7681818008422852,siren,0,siren,0.7387421131134033,0.012942864559590816,0.06667937338352203,0.04093093052506447,0.7387421131134033,0.12948843836784363,0.011216304264962673
train,tonal_alarm,FSD50K,train,419698,419698.wav,"Vehicle_horn_and_car_horn_and_honking,Car,Motor_vehicle_(road),Vehicle,Alarm",other_candidate__fsd50k__train__419698__0029.wav,9d48e5b2b69dad4a05bd1ecdb959b8409335b37d2f7a6fa74ae2abeb948e1631,1,0.9972865581512451,siren,0,siren,0.9972865581512451,9.18993100640364e-05,9.18993100640364e-05,0.0007071985164657235,0.9972865581512451,0.0015765315620228648,0.0002458110102452338
