filename,other_group,old_mean_top_class,old_mean_top_score,new_calibrated_top_class,new_calibrated_top_score,new_other_accepted_at_0_40
other_candidate__fsd50k__val__45643__2195.wav,high_tonal_non_siren,speech,0.3024921417236328,other,0.4087943136692047,1
other_candidate__fsd50k__val__231275__2296.wav,high_tonal_non_siren,glass_breaking,0.9742701649665833,other,0.9164513945579529,1
other_candidate__fsd50k__val__204465__2278.wav,high_tonal_non_siren,gunshot_gunfire,0.5490255951881409,other,0.7856659293174744,1
other_candidate__esc50__fold_4__147657__2316.wav,high_tonal_non_siren,siren,0.8028586506843567,other,0.6128003001213074,1
other_candidate__fsd50k__val__36161__2217.wav,high_tonal_non_siren,speech,0.49761950969696045,other,0.6771104335784912,1
other_candidate__fsd50k__val__14643__2225.wav,high_tonal_non_siren,thunderstorm,0.8653274178504944,other,0.9408480525016785,1
other_candidate__fsd50k__val__425195__2247.wav,high_tonal_non_siren,siren,0.3949073553085327,other,0.6847000122070312,1
other_candidate__fsd50k__val__14640__2192.wav,high_tonal_non_siren,thunderstorm,0.7950668334960938,other,0.9224310517311096,1
other_candidate__fsd50k__val__250506__2359.wav,high_tonal_non_siren,thunderstorm,0.4209372401237488,thunderstorm,0.261687308549881,0
other_candidate__esc50__fold_4__209698__2287.wav,high_tonal_non_siren,siren,0.915451169013977,siren,0.8323839902877808,0
other_candidate__fsd50k__val__366728__2171.wav,high_tonal_non_siren,glass_breaking,0.36090418696403503,other,0.5804818272590637,1
other_candidate__esc50__fold_4__125825__2368.wav,high_tonal_non_siren,glass_breaking,0.35602307319641113,other,0.9886232018470764,1
other_candidate__fsd50k__val__394657__2310.wav,high_tonal_non_siren,glass_breaking,0.6233044266700745,other,0.8410035371780396,1
other_candidate__fsd50k__val__218537__2365.wav,high_tonal_non_siren,glass_breaking,0.33985579013824463,other,0.6847215890884399,1
other_candidate__fsd50k__val__70056__2232.wav,high_tonal_non_siren,glass_breaking,0.9883737564086914,other,0.9818969964981079,1
other_candidate__fsd50k__val__2780__2435.wav,clapping_applause,glass_breaking,0.8508743047714233,other,0.5938124656677246,1
other_candidate__fsd50k__val__175536__2466.wav,clapping_applause,gunshot_gunfire,0.9729974269866943,other,0.539954423904419,1
other_candidate__fsd50k__val__391869__2442.wav,clapping_applause,speech,0.43376821279525757,other,0.3731488585472107,0
other_candidate__fsd50k__val__18665__2429.wav,clapping_applause,speech,0.7791220545768738,other,0.9092481136322021,1
other_candidate__fsd50k__val__51743__2496.wav,clapping_applause,thunderstorm,0.7127430438995361,thunderstorm,0.4176117181777954,0
other_candidate__fsd50k__val__36162__2480.wav,clapping_applause,glass_breaking,0.4378444254398346,other,0.6083212494850159,1
other_candidate__fsd50k__val__411042__2452.wav,clapping_applause,gunshot_gunfire,0.8756470680236816,gunshot_gunfire,0.7083845734596252,0
other_candidate__fsd50k__val__102101__2489.wav,clapping_applause,speech,0.4494917094707489,other,0.8712128400802612,1
other_candidate__fsd50k__val__61288__2390.wav,clapping_applause,speech,0.4397144019603729,other,0.9353664517402649,1
other_candidate__fsd50k__val__171128__2464.wav,clapping_applause,speech,0.659815788269043,other,0.8551857471466064,1
other_candidate__fsd50k__val__221567__2460.wav,clapping_applause,speech,0.5284225940704346,other,0.624268651008606,1
other_candidate__fsd50k__val__139334__2412.wav,clapping_applause,gunshot_gunfire,0.32543864846229553,other,0.8467025756835938,1
other_candidate__fsd50k__val__81202__2446.wav,clapping_applause,gunshot_gunfire,0.45441368222236633,other,0.9100203514099121,1
other_candidate__fsd50k__val__178610__2482.wav,clapping_applause,thunderstorm,0.2516418993473053,other,0.9350975751876831,1
other_candidate__fsd50k__val__262660__2465.wav,clapping_applause,gunshot_gunfire,0.8402319550514221,other,0.9944354295730591,1
other_candidate__fsd50k__val__395863__2529.wav,impulsive,glass_breaking,0.6660693883895874,other,0.48178955912590027,1
other_candidate__fsd50k__val__256512__2616.wav,impulsive,gunshot_gunfire,0.7812484502792358,other,0.9653447270393372,1
other_candidate__fsd50k__val__160679__2517.wav,impulsive,siren,0.4353932738304138,siren,0.3814709782600403,0
other_candidate__fsd50k__val__187865__2642.wav,impulsive,glass_breaking,0.2931511104106903,other,0.32759803533554077,0
other_candidate__fsd50k__val__262632__2596.wav,impulsive,thunderstorm,0.6194058656692505,other,0.5273686051368713,1
other_candidate__fsd50k__val__389692__2665.wav,impulsive,glass_breaking,0.9019029140472412,other,0.6861191391944885,1
other_candidate__fsd50k__val__151088__2585.wav,impulsive,gunshot_gunfire,0.9850532412528992,other,0.9452423453330994,1
other_candidate__fsd50k__val__250539__2608.wav,impulsive,gunshot_gunfire,0.6640052795410156,gunshot_gunfire,0.5867254734039307,0
other_candidate__fsd50k__val__236798__2604.wav,impulsive,glass_breaking,0.517270028591156,other,0.8465185165405273,1
other_candidate__fsd50k__val__22740__2605.wav,impulsive,gunshot_gunfire,0.8116178512573242,other,0.5342006087303162,1
other_candidate__fsd50k__val__387981__2559.wav,impulsive,gunshot_gunfire,0.4340353012084961,other,0.4201294481754303,1
other_candidate__fsd50k__val__251007__2580.wav,impulsive,gunshot_gunfire,0.4126467704772949,other,0.3893144428730011,0
other_candidate__fsd50k__val__318614__2602.wav,impulsive,gunshot_gunfire,0.6396862864494324,other,0.8144423365592957,1
other_candidate__fsd50k__val__319812__2582.wav,impulsive,gunshot_gunfire,0.40464022755622864,other,0.9334585070610046,1
other_candidate__fsd50k__val__434339__2542.wav,impulsive,glass_breaking,0.7768010497093201,other,0.5031484365463257,1
other_candidate__fsd50k__val__395745__2742.wav,metallic_fragile,glass_breaking,0.7723575234413147,glass_breaking,0.8770150348544121,0
other_candidate__fsd50k__val__419469__2739.wav,metallic_fragile,glass_breaking,0.44722291827201843,other,0.5526402592658997,1
other_candidate__fsd50k__val__131935__2745.wav,metallic_fragile,siren,0.43488386273384094,other,0.6672218441963196,1
other_candidate__fsd50k__val__432422__2690.wav,metallic_fragile,glass_breaking,0.4242381453514099,other,0.4051626920700073,1
other_candidate__fsd50k__val__94206__2811.wav,metallic_fragile,thunderstorm,0.5374143123626709,other,0.8462423086166382,1
other_candidate__fsd50k__val__323809__2670.wav,metallic_fragile,glass_breaking,0.9943291544914246,glass_breaking,1.0,0
other_candidate__fsd50k__val__365538__2796.wav,metallic_fragile,gunshot_gunfire,0.8766232132911682,gunshot_gunfire,0.6347532868385315,0
other_candidate__fsd50k__val__174080__2825.wav,metallic_fragile,thunderstorm,0.3480914831161499,other,0.70488041639328,1
other_candidate__fsd50k__val__387957__2666.wav,metallic_fragile,glass_breaking,0.4886361360549927,other,0.5987482070922852,1
other_candidate__fsd50k__val__134885__2801.wav,metallic_fragile,glass_breaking,0.7378462553024292,glass_breaking,0.5356511324644089,0
other_candidate__fsd50k__val__16428__2675.wav,metallic_fragile,speech,0.38666805624961853,other,0.5036709308624268,1
other_candidate__fsd50k__val__185145__2738.wav,metallic_fragile,glass_breaking,0.5431210994720459,other,0.5509584546089172,1
other_candidate__fsd50k__val__94267__2732.wav,metallic_fragile,glass_breaking,0.46867501735687256,glass_breaking,0.41882759854197504,0
other_candidate__fsd50k__val__94269__2817.wav,metallic_fragile,glass_breaking,0.4028140902519226,other,0.5802960395812988,1
other_candidate__fsd50k__val__167564__2795.wav,metallic_fragile,glass_breaking,0.8294544816017151,other,0.6802024841308594,1
other_candidate__esc50__fold_4__172500__2959.wav,human_non_speech,dog_bark,0.34958234429359436,other,0.42930707335472107,1
other_candidate__fsd50k__val__392340__3002.wav,human_non_speech,glass_breaking,0.5635319948196411,other,0.42474889755249023,1
other_candidate__fsd50k__val__173596__3009.wav,human_non_speech,glass_breaking,0.4616568088531494,other,0.5958461165428162,1
other_candidate__fsd50k__val__241721__2968.wav,human_non_speech,siren,0.4867996871471405,siren,0.3299369812011719,0
other_candidate__fsd50k__val__325569__2832.wav,human_non_speech,speech,0.9702932238578796,other,0.7933502197265625,1
other_candidate__esc50__fold_4__194979__2992.wav,human_non_speech,thunderstorm,0.7949716448783875,thunderstorm,0.4585682451725006,0
other_candidate__fsd50k__val__265483__2879.wav,human_non_speech,speech,0.38752901554107666,speech,0.3820909559726715,0
other_candidate__fsd50k__val__19212__2893.wav,human_non_speech,speech,0.9628130793571472,speech,0.48675358295440674,0
other_candidate__esc50__fold_4__207116__2835.wav,human_non_speech,gunshot_gunfire,0.2834506928920746,other,0.412534236907959,1
other_candidate__fsd50k__val__199567__2979.wav,human_non_speech,glass_breaking,0.2968362867832184,other,0.46505969762802124,1
other_candidate__fsd50k__val__413645__2878.wav,human_non_speech,speech,0.3226766288280487,other,0.5767622590065002,1
other_candidate__fsd50k__val__342201__3042.wav,human_non_speech,speech,0.8955885171890259,other,0.9738699197769165,1
other_candidate__fsd50k__val__379297__2991.wav,human_non_speech,thunderstorm,0.4507357180118561,other,0.35068342089653015,0
other_candidate__fsd50k__val__254884__2957.wav,human_non_speech,speech,0.4407885670661926,other,0.39363741874694824,0
other_candidate__esc50__fold_4__185619__2894.wav,human_non_speech,speech,0.7968997955322266,other,0.6541805863380432,1
other_candidate__fsd50k__val__17909__3138.wav,animal_non_target,dog_bark,0.8055925965309143,dog_bark,0.7013324499130249,0
other_candidate__fsd50k__val__157398__3195.wav,animal_non_target,glass_breaking,0.9060662984848022,other,0.7244570851325989,1
