run_id,recorded_at,quality_level,test_type,board,board_revision,firmware_commit,configuration,model_name,model_classes,stimulus,expected_class,source,distance_cm,volume_percent,duration_s,frame_start,frame_end,frames_observed,detection_events,correct_events,unknown_events,cpu_load_percent_mean,preprocess_ms_mean,inference_ms_mean,postprocess_ms_mean,result,raw_log_path,notes,stimulus_hash,trial_id
RUN-20260816-215305,2026-08-16T21:53:05.4964336+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-001 | frozen reviewed six-class stimulus | FE4-001.wav,gunshot_gunfire,FSD50K eval independent playback,30.0,100.0,15.462,143,173,31.0,3,1,13,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215305.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 1; candidate FE2C-099; true category gunshot_gunfire; source FSD50K eval 52357; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,9d03e3c15fa3b15c864eb53f648ca378eb04422613d01b720fc8519bc6b9515a,FE4-001
RUN-20260816-215321,2026-08-16T21:53:21.0373409+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-002 | frozen reviewed six-class stimulus | FE4-002.wav,dog_bark,FSD50K eval independent playback,30.0,100.0,15.413,175,205,31.0,19,19,0,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215321.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 2; candidate FE2C-048; true category dog_bark; source FSD50K eval 396220; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,01d95ebdcf8d6adcdd4569da011b15f85eda193f725d348ad70ff4cef3ac412c,FE4-002
RUN-20260816-215336,2026-08-16T21:53:36.4688072+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-003 | frozen reviewed six-class stimulus | FE4-003.wav,speech,FSD50K eval independent playback,30.0,100.0,15.408,206,236,31.0,15,5,8,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215336.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 3; candidate FE2C-023; true category speech; source FSD50K eval 196382; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2,FE4-003
RUN-20260816-215351,2026-08-16T21:53:51.8934055+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-004 | frozen reviewed six-class stimulus | FE4-004.wav,other,FSD50K eval independent playback,30.0,100.0,15.399,238,268,31.0,21,21,2,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215351.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 4; candidate FE2C-037; true category Fireworks; source FSD50K eval 161678; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,b9d2aa39dbf705539e01a3f8330183ccb317d11e2f5d7a68160ee670fea1568f,FE4-004
RUN-20260816-215407,2026-08-16T21:54:07.3087239+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-005 | frozen reviewed six-class stimulus | FE4-005.wav,siren,FSD50K eval independent playback,30.0,100.0,15.414,270,300,31.0,19,16,5,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215407.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 5; candidate FE2C-091; true category siren; source FSD50K eval 58014; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,a243e373cdd94ed9de3b01908f1457f247e77ff8a2461eeb630c547626065f30,FE4-005
RUN-20260816-215422,2026-08-16T21:54:22.7403724+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-006 | frozen reviewed six-class stimulus | FE4-006.wav,glass_breaking,FSD50K eval independent playback,30.0,100.0,15.393,302,331,30.0,10,6,6,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215422.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 6; candidate FE2C-042; true category glass_breaking; source FSD50K eval 33629; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,4b1d8142c9e5fcf78ab37c5e4e1fc520c1a0167237705e8a9db7a198d3a185d2,FE4-006
RUN-20260816-215438,2026-08-16T21:54:38.1516582+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-007 | frozen reviewed six-class stimulus | FE4-007.wav,dog_bark,FSD50K eval independent playback,30.0,100.0,15.37,334,363,30.0,20,20,0,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215438.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 7; candidate FE2C-072; true category dog_bark; source FSD50K eval 344955; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,3dd1d1b70d126d87fc88090dc82a8c9cb110fe9660203e5f6fa564112decb128,FE4-007
RUN-20260816-215453,2026-08-16T21:54:53.5387949+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-008 | frozen reviewed six-class stimulus | FE4-008.wav,glass_breaking,FSD50K eval independent playback,30.0,100.0,15.384,365,395,31.0,2,2,4,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215453.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 8; candidate FE2S-006; true category glass_breaking; source FSD50K eval 231297; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,6b14816be149a4484f80e94a87967555607fa0e4357ffb0cc83aa57f5fe13ff0,FE4-008
RUN-20260816-215508,2026-08-16T21:55:08.9386580+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-009 | frozen reviewed six-class stimulus | FE4-009.wav,siren,FSD50K eval independent playback,30.0,100.0,15.384,397,427,31.0,15,14,9,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215508.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 9; candidate FE2C-049; true category siren; source FSD50K eval 392881; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,b1ffb588a28b5904f5cb07ec345ed717bba2d0be693e32c0ade2aeb0f6878065,FE4-009
RUN-20260816-215524,2026-08-16T21:55:24.3393127+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-010 | frozen reviewed six-class stimulus | FE4-010.wav,speech,FSD50K eval independent playback,30.0,100.0,15.377,429,458,30.0,21,0,2,10.81,1.43,9.38,0.0,fail_no_target_detection,experiments/raw/RUN-20260816-215524.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 10; candidate FE2C-032; true category speech; source FSD50K eval 153108; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,fbcb920bc23b370d979b817e941292b9a3e0dcf519d678229a14bdae22b7a031,FE4-010
RUN-20260816-215539,2026-08-16T21:55:39.7310144+02:00,controlled,positive,STM32N6570-DK,Rev B,bin-e7e5e0d,BM EMA-0.65 per-class thresholds; activity-2800; glass-factor-1.225; gunshot dual confirmation,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,FE4-011 | frozen reviewed six-class stimulus | FE4-011.wav,gunshot_gunfire,FSD50K eval independent playback,30.0,100.0,15.374,460,490,31.0,15,15,6,10.81,1.43,9.38,0.0,pass_with_detection,experiments/raw/RUN-20260816-215539.txt,Independent six-class final evaluation STM32N6-HAZARD6-FINAL-003 attempt FE4-A01; order 11; candidate FE2C-039; true category gunshot_gunfire; source FSD50K eval 171236; target max100ms -42.0 dBFS; manifest 0355fca0f9a3d26be1e41b4fd9896f7fb7c9f567557a7dde23826dbb36c1342b; application e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb; weights 0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e.,528ab55a1452384177b28a425684816d9d6b39d5f83f5d8b29850a4512bd11c5,FE4-011
