trial_order,trial_id,expected_class,true_category,test_type,candidate_class,peak_top1_probability,candidate_frames
1,PILOT-001,speech,speech,positive,dog_bark,0.0,0
1,PILOT-001,speech,speech,positive,glass_breaking,0.0,0
1,PILOT-001,speech,speech,positive,gunshot_gunfire,0.0,0
1,PILOT-001,speech,speech,positive,siren,0.9422,3
1,PILOT-001,speech,speech,positive,thunderstorm,0.0,0
2,PILOT-002,dog_bark,dog_bark,positive,dog_bark,0.0,0
2,PILOT-002,dog_bark,dog_bark,positive,glass_breaking,0.0,0
2,PILOT-002,dog_bark,dog_bark,positive,gunshot_gunfire,0.0,0
2,PILOT-002,dog_bark,dog_bark,positive,siren,0.625,1
2,PILOT-002,dog_bark,dog_bark,positive,thunderstorm,0.0,0
3,PILOT-003,out_of_distribution,clapping,ood,dog_bark,0.0,0
3,PILOT-003,out_of_distribution,clapping,ood,glass_breaking,0.0,0
3,PILOT-003,out_of_distribution,clapping,ood,gunshot_gunfire,0.4207,1
3,PILOT-003,out_of_distribution,clapping,ood,siren,0.5006,5
3,PILOT-003,out_of_distribution,clapping,ood,thunderstorm,0.0,0
4,PILOT-004,siren,siren,positive,dog_bark,0.0,0
4,PILOT-004,siren,siren,positive,glass_breaking,0.0,0
4,PILOT-004,siren,siren,positive,gunshot_gunfire,0.0,0
4,PILOT-004,siren,siren,positive,siren,0.9961,6
4,PILOT-004,siren,siren,positive,thunderstorm,0.0,0
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,dog_bark,0.0,0
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,glass_breaking,0.0,0
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire,0.3596,1
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,siren,0.3281,1
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,thunderstorm,0.0,0
6,PILOT-006,thunderstorm,thunderstorm,positive,dog_bark,0.0,0
6,PILOT-006,thunderstorm,thunderstorm,positive,glass_breaking,0.0,0
6,PILOT-006,thunderstorm,thunderstorm,positive,gunshot_gunfire,0.0,0
6,PILOT-006,thunderstorm,thunderstorm,positive,siren,0.5984,2
6,PILOT-006,thunderstorm,thunderstorm,positive,thunderstorm,0.5669,3
7,PILOT-007,glass_breaking,glass_breaking,positive,dog_bark,0.0,0
7,PILOT-007,glass_breaking,glass_breaking,positive,glass_breaking,0.0,0
7,PILOT-007,glass_breaking,glass_breaking,positive,gunshot_gunfire,0.0,0
7,PILOT-007,glass_breaking,glass_breaking,positive,siren,0.4556,2
7,PILOT-007,glass_breaking,glass_breaking,positive,thunderstorm,0.6597,4
8,PILOT-008,speech,speech,positive,dog_bark,0.0,0
8,PILOT-008,speech,speech,positive,glass_breaking,0.0,0
8,PILOT-008,speech,speech,positive,gunshot_gunfire,0.0,0
8,PILOT-008,speech,speech,positive,siren,0.8123,3
8,PILOT-008,speech,speech,positive,thunderstorm,0.0,0
9,PILOT-009,glass_breaking,glass_breaking,positive,dog_bark,0.0,0
9,PILOT-009,glass_breaking,glass_breaking,positive,glass_breaking,0.7422,1
9,PILOT-009,glass_breaking,glass_breaking,positive,gunshot_gunfire,0.0,0
9,PILOT-009,glass_breaking,glass_breaking,positive,siren,0.0,0
9,PILOT-009,glass_breaking,glass_breaking,positive,thunderstorm,0.0,0
10,PILOT-010,dog_bark,dog_bark,positive,dog_bark,0.6496,5
10,PILOT-010,dog_bark,dog_bark,positive,glass_breaking,0.0,0
10,PILOT-010,dog_bark,dog_bark,positive,gunshot_gunfire,0.0,0
10,PILOT-010,dog_bark,dog_bark,positive,siren,0.4433,1
10,PILOT-010,dog_bark,dog_bark,positive,thunderstorm,0.0,0
11,PILOT-011,siren,siren,positive,dog_bark,0.791,2
11,PILOT-011,siren,siren,positive,glass_breaking,0.0,0
11,PILOT-011,siren,siren,positive,gunshot_gunfire,0.0,0
11,PILOT-011,siren,siren,positive,siren,0.9681,5
11,PILOT-011,siren,siren,positive,thunderstorm,0.0,0
12,PILOT-012,out_of_distribution,door_wood_knock,ood,dog_bark,0.0,0
12,PILOT-012,out_of_distribution,door_wood_knock,ood,glass_breaking,0.0,0
12,PILOT-012,out_of_distribution,door_wood_knock,ood,gunshot_gunfire,0.4246,1
12,PILOT-012,out_of_distribution,door_wood_knock,ood,siren,0.9253,2
12,PILOT-012,out_of_distribution,door_wood_knock,ood,thunderstorm,0.0,0
13,PILOT-013,thunderstorm,thunderstorm,positive,dog_bark,0.0,0
13,PILOT-013,thunderstorm,thunderstorm,positive,glass_breaking,0.0,0
13,PILOT-013,thunderstorm,thunderstorm,positive,gunshot_gunfire,0.0,0
