expected_class,passed,trials,wav_p95_dbfs_mean,board_active_frames_mean,board_energy_max_median,expected_peak_mean
dog_bark,False,3,-9.848222930454083,6.333333333333333,16384.0,0.28946666666666665
dog_bark,True,2,-14.405876554917873,4.5,18088.0,0.8183499999999999
glass_breaking,False,4,-25.020035349084218,2.0,6784.0,0.26465
glass_breaking,True,1,-35.89297915114266,1.0,5992.0,0.7422
gunshot_gunfire,False,5,-9.515886069926186,2.0,22080.0,0.41353999999999996
out_of_distribution,False,2,-19.48309410364481,4.5,31160.0,0.0
out_of_distribution,True,3,-17.206473677723206,5.666666666666667,34592.0,0.0
siren,True,5,-21.777585910310716,10.2,22176.0,0.9866400000000001
speech,False,2,-14.856593852705833,3.0,37664.0,0.12915
speech,True,3,-13.79550712793017,6.0,34048.0,0.5057666666666667
thunderstorm,False,3,-22.330698962061245,6.666666666666667,15624.0,0.5224333333333333
thunderstorm,True,2,-24.985176809889094,13.0,24168.0,0.7773
