score_threshold,minimum_spectrogram_sum,gunshot_trials_detected,ood_false_alert_trials,speech_false_alert_trials
0.25,4000.0,4,2,0
0.25,5000.0,3,2,0
0.25,6000.0,3,2,0
0.25,7000.0,3,2,0
0.25,8000.0,3,2,0
0.25,9000.0,3,2,0
0.25,10000.0,2,2,0
0.25,11000.0,2,2,0
0.25,12000.0,2,2,0
0.25,13000.0,2,2,0
0.25,14000.0,1,2,0
0.25,15000.0,1,2,0
0.25,16000.0,1,2,0
0.25,17000.0,1,2,0
0.25,18000.0,1,2,0
0.25,19000.0,1,2,0
0.25,20000.0,1,2,0
0.25,21000.0,1,2,0
0.25,22000.0,1,2,0
0.25,23000.0,0,2,0
0.25,24000.0,0,2,0
0.25,25000.0,0,2,0
0.25,26000.0,0,1,0
0.25,27000.0,0,0,0
0.25,28000.0,0,0,0
0.25,29000.0,0,0,0
0.25,30000.0,0,0,0
0.26,4000.0,4,2,0
0.26,5000.0,3,2,0
0.26,6000.0,3,2,0
0.26,7000.0,3,2,0
0.26,8000.0,3,2,0
0.26,9000.0,3,2,0
0.26,10000.0,2,2,0
0.26,11000.0,2,2,0
0.26,12000.0,2,2,0
0.26,13000.0,2,2,0
0.26,14000.0,1,2,0
0.26,15000.0,1,2,0
0.26,16000.0,1,2,0
0.26,17000.0,1,2,0
0.26,18000.0,1,2,0
0.26,19000.0,1,2,0
0.26,20000.0,1,2,0
0.26,21000.0,1,2,0
0.26,22000.0,1,2,0
0.26,23000.0,0,2,0
0.26,24000.0,0,2,0
0.26,25000.0,0,2,0
0.26,26000.0,0,1,0
0.26,27000.0,0,0,0
0.26,28000.0,0,0,0
0.26,29000.0,0,0,0
0.26,30000.0,0,0,0
0.27,4000.0,4,2,0
0.27,5000.0,3,2,0
0.27,6000.0,3,2,0
0.27,7000.0,3,2,0
0.27,8000.0,3,2,0
0.27,9000.0,3,2,0
0.27,10000.0,2,2,0
0.27,11000.0,2,2,0
0.27,12000.0,2,2,0
0.27,13000.0,2,2,0
0.27,14000.0,1,2,0
0.27,15000.0,1,2,0
0.27,16000.0,1,2,0
0.27,17000.0,1,2,0
0.27,18000.0,1,2,0
0.27,19000.0,1,2,0
0.27,20000.0,1,2,0
0.27,21000.0,1,2,0
0.27,22000.0,1,2,0
0.27,23000.0,0,2,0
0.27,24000.0,0,2,0
0.27,25000.0,0,2,0
0.27,26000.0,0,1,0
0.27,27000.0,0,0,0
0.27,28000.0,0,0,0
0.27,29000.0,0,0,0
0.27,30000.0,0,0,0
0.28,4000.0,4,2,0
0.28,5000.0,3,2,0
0.28,6000.0,3,2,0
0.28,7000.0,3,2,0
0.28,8000.0,3,2,0
0.28,9000.0,3,2,0
0.28,10000.0,2,2,0
0.28,11000.0,2,2,0
0.28,12000.0,2,2,0
0.28,13000.0,2,2,0
0.28,14000.0,1,2,0
0.28,15000.0,1,2,0
0.28,16000.0,1,2,0
0.28,17000.0,1,2,0
0.28,18000.0,1,2,0
0.28,19000.0,1,2,0
0.28,20000.0,1,2,0
0.28,21000.0,1,2,0
0.28,22000.0,1,2,0
0.28,23000.0,0,2,0
0.28,24000.0,0,2,0
0.28,25000.0,0,2,0
0.28,26000.0,0,1,0
0.28,27000.0,0,0,0
0.28,28000.0,0,0,0
0.28,29000.0,0,0,0
0.28,30000.0,0,0,0
0.29,4000.0,4,2,0
0.29,5000.0,3,2,0
0.29,6000.0,3,2,0
