class,threshold,target_trials_passed,class_false_alert_ood_trials,class_false_alert_speech_trials,class_confusion_other_hazard_trials,overall_positive_passed,overall_ood_passed
dog_bark,0.2,3,2,1,2,14,1
dog_bark,0.21,3,2,1,2,14,1
dog_bark,0.22,3,2,1,2,14,1
dog_bark,0.23,3,2,1,2,14,1
dog_bark,0.24,3,2,1,2,14,1
dog_bark,0.25,3,2,1,2,14,1
dog_bark,0.26,3,2,1,2,14,1
dog_bark,0.27,3,2,1,2,14,1
dog_bark,0.28,3,2,1,2,14,1
dog_bark,0.29,3,2,1,2,14,1
dog_bark,0.3,3,2,1,1,14,1
dog_bark,0.31,3,1,1,1,14,2
dog_bark,0.32,3,1,1,1,14,2
dog_bark,0.33,3,1,1,1,14,2
dog_bark,0.34,3,1,1,1,14,2
dog_bark,0.35,3,1,1,1,14,2
dog_bark,0.36,3,1,1,1,14,2
dog_bark,0.37,3,1,1,1,14,2
dog_bark,0.38,3,1,1,1,14,2
dog_bark,0.39,3,1,1,1,14,2
dog_bark,0.4,3,1,1,1,14,2
dog_bark,0.41,3,1,1,1,14,2
dog_bark,0.42,3,1,1,1,14,2
dog_bark,0.43,3,1,1,1,14,2
dog_bark,0.44,3,1,1,1,14,2
dog_bark,0.45,3,1,1,1,14,2
dog_bark,0.46,3,1,1,1,14,2
dog_bark,0.47,3,0,1,1,14,3
dog_bark,0.48,3,0,1,1,14,3
dog_bark,0.49,3,0,1,1,14,3
dog_bark,0.5,3,0,1,1,14,3
dog_bark,0.51,3,0,1,1,14,3
dog_bark,0.52,3,0,1,1,14,3
dog_bark,0.53,3,0,1,1,14,3
dog_bark,0.54,3,0,1,1,14,3
dog_bark,0.55,3,0,1,1,14,3
dog_bark,0.56,3,0,1,1,14,3
dog_bark,0.57,3,0,1,1,14,3
dog_bark,0.58,3,0,1,1,14,3
dog_bark,0.59,3,0,1,1,14,3
dog_bark,0.6,3,0,1,1,14,3
dog_bark,0.61,3,0,1,1,14,3
dog_bark,0.62,3,0,1,1,14,3
dog_bark,0.63,3,0,1,1,14,3
dog_bark,0.64,3,0,1,1,14,3
dog_bark,0.65,2,0,1,1,13,3
dog_bark,0.66,2,0,1,1,13,3
dog_bark,0.67,2,0,1,1,13,3
dog_bark,0.68,2,0,1,1,13,3
dog_bark,0.69,2,0,1,1,13,3
dog_bark,0.7,2,0,1,1,13,3
dog_bark,0.71,2,0,1,1,13,3
dog_bark,0.72,1,0,1,1,12,3
dog_bark,0.73,1,0,1,1,12,3
dog_bark,0.74,1,0,1,1,12,3
dog_bark,0.75,1,0,1,1,12,3
dog_bark,0.76,1,0,1,1,12,3
dog_bark,0.77,1,0,1,1,12,3
dog_bark,0.78,1,0,0,1,12,3
dog_bark,0.79,1,0,0,1,12,3
dog_bark,0.8,1,0,0,0,12,3
dog_bark,0.81,1,0,0,0,12,3
dog_bark,0.82,1,0,0,0,12,3
