speech_guard_threshold,speech_recall,hazard_macro_recall,hazard_accuracy,recall_dog_bark,recall_glass_breaking,recall_gunshot_gunfire,recall_siren,recall_speech,recall_thunderstorm,passes_development_gate,physical_ceiling_dog_bark,physical_ceiling_glass_breaking,physical_ceiling_gunshot_gunfire,physical_ceiling_siren,physical_ceiling_thunderstorm,physical_ceiling_speech
0.15,0.9166666666666666,0.79,0.7795275590551181,0.4166666666666667,0.8666666666666667,0.8333333333333334,0.85,0.9166666666666666,0.9833333333333333,False,2,3,4,5,5,3
0.16,0.9166666666666666,0.79,0.7795275590551181,0.4166666666666667,0.8666666666666667,0.8333333333333334,0.85,0.9166666666666666,0.9833333333333333,False,2,3,4,5,5,3
0.17,0.9166666666666666,0.807037037037037,0.7992125984251969,0.48333333333333334,0.8666666666666667,0.8518518518518519,0.85,0.9166666666666666,0.9833333333333333,False,2,3,4,5,5,3
0.18,0.9166666666666666,0.8170370370370369,0.8110236220472441,0.5166666666666667,0.8833333333333333,0.8518518518518519,0.85,0.9166666666666666,0.9833333333333333,False,2,3,4,5,5,3
0.19,0.8333333333333334,0.8303703703703702,0.8188976377952756,0.5333333333333333,0.8833333333333333,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,False,2,3,4,5,5,3
0.2,0.8333333333333334,0.8403703703703703,0.8307086614173228,0.5666666666666667,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,False,2,3,4,5,5,3
0.21,0.8333333333333334,0.8437037037037036,0.8346456692913385,0.5833333333333334,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,False,2,3,4,5,5,3
0.22,0.8333333333333334,0.847037037037037,0.8385826771653543,0.6,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,False,2,3,4,5,5,3
0.23,0.8333333333333334,0.8503703703703703,0.84251968503937,0.6166666666666667,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,True,2,3,4,5,5,3
0.24,0.8333333333333334,0.8537037037037036,0.8464566929133859,0.6333333333333333,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,True,2,3,4,5,5,3
0.25,0.8333333333333334,0.8570370370370369,0.8503937007874016,0.65,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,True,2,3,4,5,5,3
0.26,0.8333333333333334,0.8637037037037036,0.8582677165354331,0.6833333333333333,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,True,3,3,4,5,5,3
0.27,0.8333333333333334,0.8670370370370369,0.8622047244094488,0.7,0.9,0.8518518518518519,0.9,0.8333333333333334,0.9833333333333333,True,3,3,4,5,5,3
0.28,0.7916666666666666,0.8703703703703702,0.8661417322834646,0.7166666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,3
0.29,0.7916666666666666,0.8703703703703702,0.8661417322834646,0.7166666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,3
0.3,0.7916666666666666,0.8737037037037035,0.8700787401574803,0.7333333333333333,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,3
0.31,0.7916666666666666,0.8770370370370368,0.8740157480314961,0.75,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.32,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.33,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.34,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.35,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.36,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.37,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.38,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.39,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.4,0.7916666666666666,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.7916666666666666,0.9833333333333333,False,3,3,4,5,5,2
0.41,0.75,0.8803703703703704,0.8779527559055118,0.7666666666666667,0.9,0.8518518518518519,0.9,0.75,0.9833333333333333,False,3,3,4,5,5,2
0.42,0.75,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.75,1.0,False,3,3,4,5,5,2
0.43,0.75,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.75,1.0,False,3,3,4,5,5,2
0.44,0.7083333333333334,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.7083333333333334,1.0,False,3,3,4,5,5,2
0.45,0.6666666666666666,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.6666666666666666,1.0,False,3,3,4,5,5,2
0.46,0.625,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.625,1.0,False,3,3,4,5,5,2
0.47,0.5833333333333334,0.8870370370370371,0.8858267716535433,0.7833333333333333,0.9,0.8518518518518519,0.9,0.5833333333333334,1.0,False,3,3,4,5,5,2
0.48,0.5833333333333334,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5833333333333334,1.0,False,3,3,4,5,5,2
0.49,0.5833333333333334,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5833333333333334,1.0,False,3,3,4,5,5,2
0.5,0.5416666666666666,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5416666666666666,1.0,False,3,3,4,5,5,2
0.51,0.5416666666666666,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5416666666666666,1.0,False,3,3,4,5,5,2
0.52,0.5416666666666666,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5416666666666666,1.0,False,3,3,4,5,5,1
0.53,0.5,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.5,1.0,False,3,3,4,5,5,1
0.54,0.4583333333333333,0.8903703703703705,0.889763779527559,0.8,0.9,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.55,0.4583333333333333,0.8937037037037037,0.8937007874015748,0.8,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.56,0.4583333333333333,0.8937037037037037,0.8937007874015748,0.8,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.57,0.4583333333333333,0.8937037037037037,0.8937007874015748,0.8,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.58,0.4583333333333333,0.8970370370370372,0.8976377952755905,0.8166666666666667,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.59,0.4583333333333333,0.8970370370370372,0.8976377952755905,0.8166666666666667,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
0.6,0.4583333333333333,0.8970370370370372,0.8976377952755905,0.8166666666666667,0.9166666666666666,0.8518518518518519,0.9,0.4583333333333333,1.0,False,3,3,4,5,5,1
