trial_order,trial_id,expected_class,true_category,test_type,stimulus_file,source_dataset,source_partition,current_result,passed,expected_peak_probability,gun_candidate_frames,gun_candidate_max_score,gun_candidate_energy_at_max_score,sample_rate_hz,channels,duration_s,overall_rms_dbfs,p95_frame_rms_dbfs,peak_dbfs,crest_factor_db,frame_silence_fraction_below_minus50_dbfs,clipped_sample_fraction,board_complete_frames,board_active_frames,board_active_fraction,board_spectrogram_sum_max,board_active_spectrogram_sum_p95,board_active_spectrogram_sum_median,board_inactive_spectrogram_sum_median,board_max_margin_over_activity_threshold_db
1,PILOT-001,speech,speech,positive,speech__fsd50k__val__speech__149825__0000.wav,FSD50K,val,fail_no_target_detection,False,0.145,0,0.0,0.0,44100,1,3.408004535147392,-6.9433126197377915,-3.7241130737532275,0.0,6.9433126197377915,0.1111111111111111,0.012608704330873693,44,3,0.06818181818181818,61504.0,60726.4,53728.0,705.0,11.868433703244701
2,PILOT-002,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__404233__0059__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.0,0,0.0,0.0,44100,1,2.7197732426303856,-27.09764865148829,-21.167409017017256,-3.8555180641658726,23.242130587322414,0.8878504672897196,0.0,20,1,0.05,12344.0,12344.0,12344.0,718.0,4.893959217271294
3,PILOT-003,out_of_distribution,clapping,ood,4-189833-A-22.wav,ESC-50,fold_4,pass_no_false_positive,True,0.0,1,0.4207,26272.0,44100,1,5.0,-18.429039418875835,-16.580039687287577,0.0,18.429039418875835,0.0,8.616780045351474e-05,21,6,0.2857142857142857,45632.0,45248.0,41072.0,728.5,10.572095125077903
4,PILOT-004,siren,siren,positive,siren__esc50__fold_4__111671__0002__r0.wav,ESC-50,fold_4,pass_with_detection,True,0.9961,0,0.0,0.0,44100,1,5.0,-22.411982958123133,-19.460060221236894,-11.474795720361431,10.937187237761702,0.0,0.0,21,6,0.2857142857142857,22176.0,22172.0,21864.0,736.0,7.438232216037503
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.3596,1,0.3596,22080.0,44100,1,0.5005215419501133,-6.063348876881992,-1.912064078538343,0.0,6.063348876881992,0.10526315789473684,0.006025460970416346,21,2,0.09523809523809523,22080.0,21376.8,15048.0,740.5,7.419390777291989
6,PILOT-006,thunderstorm,thunderstorm,positive,thunderstorm__esc50__fold_4__156993__0004__r0.wav,ESC-50,fold_4,fail_no_target_detection,False,0.5669,0,0.0,0.0,44100,1,5.0,-20.005776702405438,-12.85832755180584,-1.9270743516345332,18.078702350770904,0.005025125628140704,0.0,20,5,0.25,34976.0,32620.8,21984.0,777.5,9.417101489416464
7,PILOT-007,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__156031__0022__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.0,0,0.0,0.0,44100,1,7.636122448979592,-15.426774582042803,-7.947642017465125,0.0,15.426774582042803,0.18092105263157895,2.969535534946979e-05,21,6,0.2857142857142857,37696.0,36512.0,23272.0,692.5,9.742352774430264
8,PILOT-008,speech,speech,positive,speech__fsd50k__val__speech__132738__0023.wav,FSD50K,val,fail_no_target_detection,False,0.1133,0,0.0,0.0,44100,1,7.586167800453515,-32.97728530163298,-25.98907463165844,-12.399442773680068,20.577842527952914,0.31788079470198677,0.0,21,3,0.14285714285714285,13824.0,13458.4,10168.0,663.75,5.385737338068557
9,PILOT-009,glass_breaking,glass_breaking,positive,glass_breaking__esc50__fold_4__212698__0007__r0.wav,ESC-50,fold_4,pass_with_detection,True,0.7422,0,0.0,0.0,44100,1,5.0,-29.554808862791173,-35.89297915114266,0.0,29.554808862791173,0.8743718592964824,0.00034467120181405896,20,1,0.05,5992.0,5992.0,5992.0,673.0,1.7551181336344768
10,PILOT-010,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__370714__0051__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.6496,0,0.0,0.0,44100,1,22.39201814058957,-13.95066597727996,-7.081317283001169,-0.00026507636037961915,13.95040090091958,0.0033519553072625698,1.0126705337178781e-05,20,16,0.8,50560.0,47920.0,30592.0,685.5,11.017470739463661
11,PILOT-011,siren,siren,positive,siren__fsd50k__dev__34952__0013__r0.wav,FSD50K,dev,pass_with_detection,True,0.9681,0,0.0,0.0,44100,1,20.610612244897958,-49.61613185826323,-42.556894950219075,-29.664684633234728,19.951447225028502,0.8140947752126367,0.0,21,7,0.3333333333333333,45216.0,42508.799999999996,4832.0,1221.0,10.532321488405023
12,PILOT-012,out_of_distribution,door_wood_knock,ood,4-182041-A-30.wav,ESC-50,fold_4,fail_false_positive,False,0.0,1,0.4246,25264.0,44100,1,5.0,-25.505623482533416,-16.93203885428829,-3.207251097696276,22.29837238483714,0.7437185929648241,0.0,21,3,0.14285714285714285,25264.0,24676.8,19392.0,717.75,8.004421213362566
13,PILOT-013,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__37299__0053__r0.wav,FSD50K,dev,pass_with_detection,True,0.8708,0,0.0,0.0,44100,1,22.625555555555554,-31.07086119189122,-25.12537529144264,-3.028866425080938,28.04199476681028,0.24668141592920353,0.0,20,12,0.6,28048.0,25284.799999999996,7810.0,1717.5,8.458419074217572
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.3451,1,0.3451,13968.0,44100,1,2.730657596371882,-27.182701125390928,-19.116327584411913,-0.25062877859527855,26.93207234679565,0.2037037037037037,0.0,21,2,0.09523809523809523,15200.0,15138.4,14584.0,747.5,5.797835966168101
