trial_order,trial_id,expected_class,true_category,stimulus_file,source_dataset,source_partition,manual_representativeness,manual_audibility,manual_note
1,PILOT-001,speech,speech,speech__fsd50k__val__speech__149825__0000.wav,FSD50K,val,,,
2,PILOT-002,dog_bark,dog_bark,dog_bark__fsd50k__dev__404233__0059__r0.wav,FSD50K,dev,,,
3,PILOT-003,out_of_distribution,clapping,4-189833-A-22.wav,ESC-50,fold_4,,,
4,PILOT-004,siren,siren,siren__esc50__fold_4__111671__0002__r0.wav,ESC-50,fold_4,,,
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav,FSD50K,dev,,,
6,PILOT-006,thunderstorm,thunderstorm,thunderstorm__esc50__fold_4__156993__0004__r0.wav,ESC-50,fold_4,,,
7,PILOT-007,glass_breaking,glass_breaking,glass_breaking__fsd50k__dev__156031__0022__r0.wav,FSD50K,dev,,,
8,PILOT-008,speech,speech,speech__fsd50k__val__speech__132738__0023.wav,FSD50K,val,,,
9,PILOT-009,glass_breaking,glass_breaking,glass_breaking__esc50__fold_4__212698__0007__r0.wav,ESC-50,fold_4,,,
10,PILOT-010,dog_bark,dog_bark,dog_bark__fsd50k__dev__370714__0051__r0.wav,FSD50K,dev,,,
11,PILOT-011,siren,siren,siren__fsd50k__dev__34952__0013__r0.wav,FSD50K,dev,,,
12,PILOT-012,out_of_distribution,door_wood_knock,4-182041-A-30.wav,ESC-50,fold_4,,,
13,PILOT-013,thunderstorm,thunderstorm,thunderstorm__fsd50k__dev__37299__0053__r0.wav,FSD50K,dev,,,
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav,FSD50K,dev,,,
15,PILOT-015,dog_bark,dog_bark,dog_bark__fsd50k__dev__221207__0034__r0.wav,FSD50K,dev,,,
16,PILOT-016,out_of_distribution,rain,4-180380-A-10.wav,ESC-50,fold_4,,,
17,PILOT-017,siren,siren,siren__fsd50k__dev__421017__0018__r0.wav,FSD50K,dev,,,
18,PILOT-018,thunderstorm,thunderstorm,thunderstorm__fsd50k__dev__125634__0009__r0.wav,FSD50K,dev,,,
19,PILOT-019,speech,speech,speech__fsd50k__val__speech__174955__0015.wav,FSD50K,val,,,
20,PILOT-020,glass_breaking,glass_breaking,glass_breaking__fsd50k__dev__178178__0027__r0.wav,FSD50K,dev,,,
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav,FSD50K,dev,,,
22,PILOT-022,dog_bark,dog_bark,dog_bark__fsd50k__dev__379531__0052__r0.wav,FSD50K,dev,,,
23,PILOT-023,out_of_distribution,crying_baby,4-167077-A-20.wav,ESC-50,fold_4,,,
24,PILOT-024,siren,siren,siren__fsd50k__dev__388972__0017__r0.wav,FSD50K,dev,,,
25,PILOT-025,thunderstorm,thunderstorm,thunderstorm__fsd50k__dev__205832__0026__r0.wav,FSD50K,dev,,,
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav,FSD50K,dev,,,
27,PILOT-027,speech,speech,speech__fsd50k__val__speech__239902__0005.wav,FSD50K,val,,,
28,PILOT-028,glass_breaking,glass_breaking,glass_breaking__fsd50k__dev__162169__0025__r0.wav,FSD50K,dev,,,
29,PILOT-029,siren,siren,siren__esc50__fold_4__111671__0001__r0.wav,ESC-50,fold_4,,,
30,PILOT-030,glass_breaking,glass_breaking,glass_breaking__fsd50k__dev__212698__0034__r0.wav,FSD50K,dev,,,
31,PILOT-031,dog_bark,dog_bark,dog_bark__fsd50k__dev__381799__0055__r0.wav,FSD50K,dev,,,
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav,FSD50K,dev,,,
33,PILOT-033,thunderstorm,thunderstorm,thunderstorm__fsd50k__dev__344435__0048__r0.wav,FSD50K,dev,,,
34,PILOT-034,out_of_distribution,clock_tick,4-181035-A-38.wav,ESC-50,fold_4,,,
35,PILOT-035,speech,speech,speech__fsd50k__val__speech__63276__0002.wav,FSD50K,val,,,
