trial_order,trial_id,true_category,expected_class,test_type,passed,dominant_prediction,hazards_seen,wrong_hazards_seen,speech_seen
1,PILOT-001,speech,speech,positive,False,siren,siren,siren,False
2,PILOT-002,dog_bark,dog_bark,positive,False,waiting,,,False
3,PILOT-003,clapping,out_of_distribution,ood,True,waiting,,,False
4,PILOT-004,siren,siren,positive,True,siren,siren,,False
5,PILOT-005,gunshot_gunfire,gunshot_gunfire,positive,False,waiting,,,False
6,PILOT-006,thunderstorm,thunderstorm,positive,False,waiting,,,False
7,PILOT-007,glass_breaking,glass_breaking,positive,False,thunderstorm,thunderstorm,thunderstorm,False
8,PILOT-008,speech,speech,positive,False,siren,siren,siren,False
9,PILOT-009,glass_breaking,glass_breaking,positive,True,glass_breaking,glass_breaking,,False
10,PILOT-010,dog_bark,dog_bark,positive,False,speech,,,True
11,PILOT-011,siren,siren,positive,True,siren,dog_bark|siren,dog_bark,False
12,PILOT-012,door_wood_knock,out_of_distribution,ood,False,siren,siren,siren,False
13,PILOT-013,thunderstorm,thunderstorm,positive,True,thunderstorm,thunderstorm,,True
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,False,waiting,,,False
15,PILOT-015,dog_bark,dog_bark,positive,True,speech,dog_bark,,True
16,PILOT-016,rain,out_of_distribution,ood,False,siren,siren,siren,False
17,PILOT-017,siren,siren,positive,True,siren,siren,,False
18,PILOT-018,thunderstorm,thunderstorm,positive,False,siren,siren,siren,False
19,PILOT-019,speech,speech,positive,True,speech,,,True
20,PILOT-020,glass_breaking,glass_breaking,positive,False,waiting,,,False
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,False,waiting,,,False
22,PILOT-022,dog_bark,dog_bark,positive,True,dog_bark,dog_bark,,False
23,PILOT-023,crying_baby,out_of_distribution,ood,True,speech,,,True
24,PILOT-024,siren,siren,positive,True,siren,siren,,False
25,PILOT-025,thunderstorm,thunderstorm,positive,False,waiting,,,False
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,False,waiting,,,False
27,PILOT-027,speech,speech,positive,True,dog_bark,dog_bark,dog_bark,True
28,PILOT-028,glass_breaking,glass_breaking,positive,False,waiting,,,False
29,PILOT-029,siren,siren,positive,True,siren,siren,,False
30,PILOT-030,glass_breaking,glass_breaking,positive,False,waiting,,,False
31,PILOT-031,dog_bark,dog_bark,positive,False,waiting,,,False
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,False,waiting,,,False
33,PILOT-033,thunderstorm,thunderstorm,positive,True,thunderstorm,thunderstorm,,False
34,PILOT-034,clock_tick,out_of_distribution,ood,True,waiting,,,False
35,PILOT-035,speech,speech,positive,True,speech,siren,siren,True
