trial_id,expected_class,true_category,output_class,confirmed_frames,seen_in_trial
P2-001,thunderstorm,thunderstorm,dog_bark,0,False
P2-001,thunderstorm,thunderstorm,glass_breaking,0,False
P2-001,thunderstorm,thunderstorm,gunshot_gunfire,0,False
P2-001,thunderstorm,thunderstorm,siren,0,False
P2-001,thunderstorm,thunderstorm,speech,0,False
P2-001,thunderstorm,thunderstorm,thunderstorm,7,True
P2-002,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-002,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-002,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-002,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-002,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-002,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-003,glass_breaking,glass_breaking,dog_bark,0,False
P2-003,glass_breaking,glass_breaking,glass_breaking,3,True
P2-003,glass_breaking,glass_breaking,gunshot_gunfire,0,False
P2-003,glass_breaking,glass_breaking,siren,0,False
P2-003,glass_breaking,glass_breaking,speech,0,False
P2-003,glass_breaking,glass_breaking,thunderstorm,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-004,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-005,dog_bark,dog_bark,dog_bark,0,False
P2-005,dog_bark,dog_bark,glass_breaking,0,False
P2-005,dog_bark,dog_bark,gunshot_gunfire,0,False
P2-005,dog_bark,dog_bark,siren,0,False
P2-005,dog_bark,dog_bark,speech,5,True
P2-005,dog_bark,dog_bark,thunderstorm,0,False
P2-006,thunderstorm,thunderstorm,dog_bark,0,False
P2-006,thunderstorm,thunderstorm,glass_breaking,0,False
P2-006,thunderstorm,thunderstorm,gunshot_gunfire,0,False
P2-006,thunderstorm,thunderstorm,siren,2,True
P2-006,thunderstorm,thunderstorm,speech,0,False
P2-006,thunderstorm,thunderstorm,thunderstorm,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-007,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-008,glass_breaking,glass_breaking,dog_bark,0,False
P2-008,glass_breaking,glass_breaking,glass_breaking,0,False
P2-008,glass_breaking,glass_breaking,gunshot_gunfire,0,False
P2-008,glass_breaking,glass_breaking,siren,0,False
P2-008,glass_breaking,glass_breaking,speech,0,False
P2-008,glass_breaking,glass_breaking,thunderstorm,0,False
P2-009,out_of_distribution,crying_baby,dog_bark,0,False
P2-009,out_of_distribution,crying_baby,glass_breaking,0,False
P2-009,out_of_distribution,crying_baby,gunshot_gunfire,0,False
P2-009,out_of_distribution,crying_baby,siren,0,False
P2-009,out_of_distribution,crying_baby,speech,2,True
P2-009,out_of_distribution,crying_baby,thunderstorm,0,False
P2-010,dog_bark,dog_bark,dog_bark,19,True
P2-010,dog_bark,dog_bark,glass_breaking,0,False
P2-010,dog_bark,dog_bark,gunshot_gunfire,0,False
P2-010,dog_bark,dog_bark,siren,0,False
P2-010,dog_bark,dog_bark,speech,0,False
P2-010,dog_bark,dog_bark,thunderstorm,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-011,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-012,dog_bark,dog_bark,dog_bark,3,True
P2-012,dog_bark,dog_bark,glass_breaking,0,False
P2-012,dog_bark,dog_bark,gunshot_gunfire,0,False
P2-012,dog_bark,dog_bark,siren,0,False
P2-012,dog_bark,dog_bark,speech,4,True
P2-012,dog_bark,dog_bark,thunderstorm,0,False
P2-013,out_of_distribution,clock_tick,dog_bark,0,False
P2-013,out_of_distribution,clock_tick,glass_breaking,0,False
P2-013,out_of_distribution,clock_tick,gunshot_gunfire,0,False
P2-013,out_of_distribution,clock_tick,siren,0,False
P2-013,out_of_distribution,clock_tick,speech,0,False
P2-013,out_of_distribution,clock_tick,thunderstorm,0,False
P2-014,glass_breaking,glass_breaking,dog_bark,0,False
P2-014,glass_breaking,glass_breaking,glass_breaking,10,True
P2-014,glass_breaking,glass_breaking,gunshot_gunfire,0,False
P2-014,glass_breaking,glass_breaking,siren,0,False
P2-014,glass_breaking,glass_breaking,speech,0,False
P2-014,glass_breaking,glass_breaking,thunderstorm,0,False
P2-015,out_of_distribution,rain,dog_bark,0,False
P2-015,out_of_distribution,rain,glass_breaking,0,False
P2-015,out_of_distribution,rain,gunshot_gunfire,0,False
P2-015,out_of_distribution,rain,siren,0,False
P2-015,out_of_distribution,rain,speech,0,False
P2-015,out_of_distribution,rain,thunderstorm,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-016,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-017,out_of_distribution,clapping,dog_bark,0,False
P2-017,out_of_distribution,clapping,glass_breaking,0,False
P2-017,out_of_distribution,clapping,gunshot_gunfire,0,False
P2-017,out_of_distribution,clapping,siren,0,False
P2-017,out_of_distribution,clapping,speech,0,False
P2-017,out_of_distribution,clapping,thunderstorm,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-018,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-019,dog_bark,dog_bark,dog_bark,17,True
P2-019,dog_bark,dog_bark,glass_breaking,0,False
P2-019,dog_bark,dog_bark,gunshot_gunfire,0,False
P2-019,dog_bark,dog_bark,siren,0,False
P2-019,dog_bark,dog_bark,speech,1,True
P2-019,dog_bark,dog_bark,thunderstorm,0,False
P2-020,glass_breaking,glass_breaking,dog_bark,0,False
P2-020,glass_breaking,glass_breaking,glass_breaking,2,True
P2-020,glass_breaking,glass_breaking,gunshot_gunfire,0,False
P2-020,glass_breaking,glass_breaking,siren,0,False
P2-020,glass_breaking,glass_breaking,speech,0,False
P2-020,glass_breaking,glass_breaking,thunderstorm,0,False
P2-021,thunderstorm,thunderstorm,dog_bark,0,False
P2-021,thunderstorm,thunderstorm,glass_breaking,0,False
P2-021,thunderstorm,thunderstorm,gunshot_gunfire,0,False
P2-021,thunderstorm,thunderstorm,siren,0,False
P2-021,thunderstorm,thunderstorm,speech,0,False
P2-021,thunderstorm,thunderstorm,thunderstorm,0,False
P2-022,out_of_distribution,door_wood_knock,dog_bark,0,False
P2-022,out_of_distribution,door_wood_knock,glass_breaking,0,False
P2-022,out_of_distribution,door_wood_knock,gunshot_gunfire,0,False
P2-022,out_of_distribution,door_wood_knock,siren,0,False
P2-022,out_of_distribution,door_wood_knock,speech,0,False
P2-022,out_of_distribution,door_wood_knock,thunderstorm,0,False
P2-023,thunderstorm,thunderstorm,dog_bark,0,False
P2-023,thunderstorm,thunderstorm,glass_breaking,0,False
P2-023,thunderstorm,thunderstorm,gunshot_gunfire,0,False
P2-023,thunderstorm,thunderstorm,siren,13,True
P2-023,thunderstorm,thunderstorm,speech,0,False
P2-023,thunderstorm,thunderstorm,thunderstorm,0,False
P2-024,glass_breaking,glass_breaking,dog_bark,0,False
P2-024,glass_breaking,glass_breaking,glass_breaking,0,False
P2-024,glass_breaking,glass_breaking,gunshot_gunfire,0,False
P2-024,glass_breaking,glass_breaking,siren,0,False
P2-024,glass_breaking,glass_breaking,speech,0,False
P2-024,glass_breaking,glass_breaking,thunderstorm,0,False
P2-025,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-025,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
