hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9560439560439561,0.9625925925925927,0.5761589403973509
0.005,1.0,1.0,1.0,0.0,1.0,0.0,0.9560439560439561,0.9625925925925927,0.5761589403973509
0.01,1.0,1.0,1.0,0.0,1.0,0.0,0.9560439560439561,0.9625925925925927,0.5761589403973509
0.015,1.0,1.0,1.0,0.0,1.0,0.0,0.9560439560439561,0.9625925925925927,0.5761589403973509
0.02,1.0,1.0,1.0,0.016666666666666666,0.9833333333333333,0.041666666666666664,0.9560439560439561,0.9625925925925927,0.5827814569536424
0.025,1.0,1.0,1.0,0.016666666666666666,0.9833333333333333,0.041666666666666664,0.9560439560439561,0.9625925925925927,0.5827814569536424
0.03,1.0,1.0,1.0,0.03333333333333333,0.9666666666666667,0.08333333333333333,0.9560439560439561,0.9625925925925927,0.5894039735099338
0.035,1.0,1.0,1.0,0.058333333333333334,0.9416666666666667,0.16666666666666666,0.9560439560439561,0.9625925925925927,0.5993377483443708
0.04,1.0,1.0,1.0,0.075,0.925,0.16666666666666666,0.9560439560439561,0.9625925925925927,0.6059602649006622
0.045,1.0,1.0,1.0,0.075,0.925,0.16666666666666666,0.9560439560439561,0.9625925925925927,0.6059602649006622
0.05,1.0,1.0,1.0,0.075,0.925,0.16666666666666666,0.9560439560439561,0.9625925925925927,0.6059602649006622
0.055,1.0,1.0,1.0,0.08333333333333333,0.9166666666666666,0.20833333333333334,0.9560439560439561,0.9625925925925927,0.609271523178808
0.06,1.0,1.0,1.0,0.09166666666666666,0.9083333333333333,0.25,0.9560439560439561,0.9625925925925927,0.6125827814569537
0.065,1.0,1.0,1.0,0.1,0.9,0.25,0.9560439560439561,0.9625925925925927,0.6158940397350994
0.07,1.0,1.0,1.0,0.10833333333333334,0.8916666666666667,0.2916666666666667,0.9560439560439561,0.9625925925925927,0.6192052980132451
0.075,1.0,1.0,1.0,0.11666666666666667,0.8833333333333333,0.3333333333333333,0.9560439560439561,0.9625925925925927,0.6225165562913907
0.08,1.0,1.0,1.0,0.11666666666666667,0.8833333333333333,0.3333333333333333,0.9560439560439561,0.9625925925925927,0.6225165562913907
0.085,1.0,1.0,1.0,0.14166666666666666,0.8583333333333333,0.375,0.9560439560439561,0.9625925925925927,0.6324503311258278
0.09,1.0,1.0,1.0,0.15,0.85,0.375,0.9560439560439561,0.9625925925925927,0.6357615894039735
0.095,1.0,1.0,1.0,0.15833333333333333,0.8416666666666667,0.375,0.9560439560439561,0.9625925925925927,0.6390728476821192
0.1,1.0,1.0,1.0,0.15833333333333333,0.8416666666666667,0.375,0.9560439560439561,0.9625925925925927,0.6390728476821192
0.105,1.0,1.0,1.0,0.175,0.825,0.375,0.9560439560439561,0.9625925925925927,0.6456953642384106
0.11,1.0,1.0,1.0,0.175,0.825,0.375,0.9560439560439561,0.9625925925925927,0.6456953642384106
0.115,1.0,1.0,1.0,0.175,0.825,0.375,0.9560439560439561,0.9625925925925927,0.6456953642384106
0.12,1.0,1.0,1.0,0.20833333333333334,0.7916666666666666,0.4583333333333333,0.9560439560439561,0.9625925925925927,0.6589403973509934
0.125,1.0,1.0,1.0,0.225,0.775,0.5,0.9560439560439561,0.9625925925925927,0.6655629139072847
0.13,1.0,1.0,1.0,0.23333333333333334,0.7666666666666667,0.5,0.9560439560439561,0.9625925925925927,0.6688741721854304
0.135,1.0,1.0,1.0,0.25,0.75,0.5,0.9560439560439561,0.9625925925925927,0.6754966887417219
0.14,1.0,1.0,1.0,0.26666666666666666,0.7333333333333333,0.5416666666666666,0.9560439560439561,0.9625925925925927,0.6821192052980133
0.145,1.0,1.0,1.0,0.275,0.725,0.5416666666666666,0.9560439560439561,0.9625925925925927,0.6854304635761589
0.15,1.0,1.0,1.0,0.275,0.725,0.5416666666666666,0.9560439560439561,0.9625925925925927,0.6854304635761589
0.155,1.0,1.0,1.0,0.2833333333333333,0.7166666666666667,0.5416666666666666,0.9560439560439561,0.9625925925925927,0.6887417218543046
0.16,1.0,1.0,1.0,0.3,0.7,0.5833333333333334,0.9560439560439561,0.9625925925925927,0.695364238410596
0.165,1.0,1.0,1.0,0.3,0.7,0.5833333333333334,0.9560439560439561,0.9625925925925927,0.695364238410596
0.17,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.175,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.18,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.185,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.19,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.195,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.2,1.0,1.0,1.0,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.205,0.9945054945054945,0.9949999999999999,0.975,0.30833333333333335,0.6916666666666667,0.625,0.9560439560439561,0.9625925925925927,0.6986754966887417
0.21,0.9945054945054945,0.9949999999999999,0.975,0.325,0.675,0.625,0.9560439560439561,0.9625925925925927,0.7052980132450332
0.215,0.9945054945054945,0.9949999999999999,0.975,0.325,0.675,0.625,0.9560439560439561,0.9625925925925927,0.7052980132450332
0.22,0.9945054945054945,0.9949999999999999,0.975,0.325,0.675,0.625,0.9560439560439561,0.9625925925925927,0.7052980132450332
0.225,0.989010989010989,0.9912962962962963,0.975,0.325,0.675,0.625,0.9505494505494505,0.9588888888888889,0.7019867549668874
0.23,0.989010989010989,0.9912962962962963,0.975,0.325,0.675,0.625,0.9505494505494505,0.9588888888888889,0.7019867549668874
0.235,0.989010989010989,0.9912962962962963,0.975,0.325,0.675,0.625,0.9505494505494505,0.9588888888888889,0.7019867549668874
0.24,0.989010989010989,0.9912962962962963,0.975,0.3333333333333333,0.6666666666666666,0.625,0.9505494505494505,0.9588888888888889,0.7052980132450332
