model,aggregation,class_name,recall
YAMNet-256,mean_all,dog_bark,0.8
YAMNet-256,mean_all,glass_breaking,0.9
YAMNet-256,mean_all,gunshot_gunfire,0.8518518518518519
YAMNet-256,mean_all,siren,0.9
YAMNet-256,mean_all,speech,0.7083333333333334
YAMNet-256,mean_all,thunderstorm,0.9833333333333333
YAMNet-256,mean_top_3,dog_bark,0.7833333333333333
YAMNet-256,mean_top_3,glass_breaking,0.8833333333333333
YAMNet-256,mean_top_3,gunshot_gunfire,0.8518518518518519
YAMNet-256,mean_top_3,siren,0.9
YAMNet-256,mean_top_3,speech,0.7083333333333334
YAMNet-256,mean_top_3,thunderstorm,0.9833333333333333
YAMNet-256,mean_top_2,dog_bark,0.7666666666666667
YAMNet-256,mean_top_2,glass_breaking,0.8833333333333333
YAMNet-256,mean_top_2,gunshot_gunfire,0.8518518518518519
YAMNet-256,mean_top_2,siren,0.9
YAMNet-256,mean_top_2,speech,0.6666666666666666
YAMNet-256,mean_top_2,thunderstorm,0.9833333333333333
YAMNet-256,maximum,dog_bark,0.7666666666666667
YAMNet-256,maximum,glass_breaking,0.8833333333333333
YAMNet-256,maximum,gunshot_gunfire,0.8333333333333334
YAMNet-256,maximum,siren,0.9
YAMNet-256,maximum,speech,0.625
YAMNet-256,maximum,thunderstorm,0.9833333333333333
YAMNet-1024,mean_all,dog_bark,0.8
YAMNet-1024,mean_all,glass_breaking,0.7666666666666667
YAMNet-1024,mean_all,gunshot_gunfire,0.9444444444444444
YAMNet-1024,mean_all,siren,1.0
YAMNet-1024,mean_all,speech,0.875
YAMNet-1024,mean_all,thunderstorm,0.9666666666666667
YAMNet-1024,mean_top_3,dog_bark,0.8333333333333334
YAMNet-1024,mean_top_3,glass_breaking,0.7666666666666667
YAMNet-1024,mean_top_3,gunshot_gunfire,0.9629629629629629
YAMNet-1024,mean_top_3,siren,1.0
YAMNet-1024,mean_top_3,speech,0.875
YAMNet-1024,mean_top_3,thunderstorm,0.9666666666666667
YAMNet-1024,mean_top_2,dog_bark,0.8333333333333334
YAMNet-1024,mean_top_2,glass_breaking,0.7666666666666667
YAMNet-1024,mean_top_2,gunshot_gunfire,0.9444444444444444
YAMNet-1024,mean_top_2,siren,1.0
YAMNet-1024,mean_top_2,speech,0.875
YAMNet-1024,mean_top_2,thunderstorm,0.9666666666666667
YAMNet-1024,maximum,dog_bark,0.8166666666666667
YAMNet-1024,maximum,glass_breaking,0.7666666666666667
YAMNet-1024,maximum,gunshot_gunfire,0.9629629629629629
YAMNet-1024,maximum,siren,1.0
YAMNet-1024,maximum,speech,0.875
YAMNet-1024,maximum,thunderstorm,0.9833333333333333
