review_order,review_id,expected_class,stimulus_file,stimulus_path,stimulus_sha256,source_dataset,source_group,score_stratum,peak_prominence,status
1,TER-001,glass_breaking,glass_breaking__fsd50k__dev__368345__0153__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__368345__0153__r0.wav,29c5fb98c670ab6e967f5800e9634af65fb4f46bebd7ef8476b69339d2ca9b4b,FSD50K,freesound:368345,low,3.933478,pending_blinded_listening_review
2,TER-002,glass_breaking,glass_breaking__fsd50k__dev__216299__0099__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__216299__0099__r0.wav,3ba21f4a64935465fbcb278c172d784ae093222155a881c10531e7557bdcbc9a,FSD50K,freesound:216299,high,4528008456.220248,pending_blinded_listening_review
3,TER-003,glass_breaking,glass_breaking__fsd50k__dev__42906__0079__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__42906__0079__r0.wav,50ac4257ee7ecb9e8bf337122c80f48b4c481778d39b2beb4f08748ee1091e01,FSD50K,freesound:42906,high,25.423597,pending_blinded_listening_review
4,TER-004,glass_breaking,glass_breaking__fsd50k__dev__164541__0136__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__164541__0136__r0.wav,c2eb1f0dc51b75a11d0600ef5cae903db41df85acfdae41e2af0c65b051573f9,FSD50K,freesound:164541,middle,14.433212,pending_blinded_listening_review
5,TER-005,glass_breaking,glass_breaking__fsd50k__dev__173601__0188__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__173601__0188__r0.wav,5a7097197afdfda4156da7edb622a4211f014d63af204133aa4bd594551cb9c5,FSD50K,freesound:173601,middle,10.065523,pending_blinded_listening_review
6,TER-006,glass_breaking,glass_breaking__esc50__fold_2__173607__0013__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__esc50__fold_2__173607__0013__r0.wav,59d3d03958673e0edd5d8ed62c996509a498d4172274c9ef01fddc1f7a740326,ESC-50,esc-50:173607,middle,15.972253,pending_blinded_listening_review
7,TER-007,glass_breaking,glass_breaking__fsd50k__dev__93299__0089__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__93299__0089__r0.wav,0d6a2ec8d497bc28bc0e808d32f38c46e18464dff2d077037e41f59644f767d0,FSD50K,freesound:93299,low,8.47386,pending_blinded_listening_review
8,TER-008,glass_breaking,glass_breaking__fsd50k__dev__344267__0147__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__344267__0147__r0.wav,6fc009d06503167121e66fb1d77877090520f0884c4303f9f6e9e953ccca28d9,FSD50K,freesound:344267,high,46.841544,pending_blinded_listening_review
9,TER-009,glass_breaking,glass_breaking__esc50__fold_3__203375__0019__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__esc50__fold_3__203375__0019__r0.wav,520e7fe1eac44d92b33895eb9585fefb6908baedad2079e427f97b1d27a64147,ESC-50,esc-50:203375,high,3621853396.277165,pending_blinded_listening_review
10,TER-010,glass_breaking,glass_breaking__fsd50k__dev__270515__0175__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__270515__0175__r0.wav,55697dbf2a6c124d617b94c0f0c3f97a5a2b2822b5bfb4a67eb5812741c62ead,FSD50K,freesound:270515,low,8.462598,pending_blinded_listening_review
11,TER-011,glass_breaking,glass_breaking__fsd50k__dev__256993__0152__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__256993__0152__r0.wav,b1579d1a29152700dfdcb858295d72340dfaa99867f6d7c42bbe7c100b7ea1f8,FSD50K,freesound:256993,low,8.710541,pending_blinded_listening_review
12,TER-012,glass_breaking,glass_breaking__fsd50k__dev__85107__0091__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__85107__0091__r0.wav,ce3651c82d8a4b4defe65f5d4692221319b15431fc9626848dc4d416b0dccf3c,FSD50K,freesound:85107,high,23.442117,pending_blinded_listening_review
13,TER-013,glass_breaking,glass_breaking__fsd50k__dev__434443__0190__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__434443__0190__r0.wav,8a71cbe267bd064edd002aadffdcadc4bd5b980588c3b0f3cd103a34939b9b6e,FSD50K,freesound:434443,low,7.462826,pending_blinded_listening_review
14,TER-014,glass_breaking,glass_breaking__fsd50k__dev__179235__0087__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__179235__0087__r0.wav,428e57ab3bb77625e99a37bec1396c5f5fe29920f0f5de4642d5e0bab5b88db0,FSD50K,freesound:179235,middle,16.178887,pending_blinded_listening_review
15,TER-015,glass_breaking,glass_breaking__fsd50k__dev__126877__0029__r0.wav,../ml-workspace/datasets/hazard5v4_shatter_event/audio/glass_breaking__fsd50k__dev__126877__0029__r0.wav,62c832afa8393d6e344068e6b39d1387e0c5c5e96061d17f38e425d24253ccc0,FSD50K,freesound:126877,middle,9.492255,pending_blinded_listening_review
