review_order,review_id,expected_class,stimulus_file,stimulus_path,stimulus_sha256,source_dataset,source_group,score_stratum,peak_prominence,status
1,TER-001,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__324585__0166__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/gunshot_gunfire__fsd50k__dev__324585__0166__r0.wav,b7685410aac9122b7597a1ae3690002eb2063cbff920a43acb15bafc14c9d603,FSD50K,freesound:324585,low,8.508744,pending_blinded_listening_review
2,TER-002,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__348671__0181__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/gunshot_gunfire__fsd50k__dev__348671__0181__r0.wav,a269fb7a054995c71fb804054d95b115d9697c7e2ce5349c96d05acdc9d25160,FSD50K,freesound:348671,low,10.704754,pending_blinded_listening_review
3,TER-003,glass_breaking,glass_breaking__fsd50k__dev__173580__0105__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__fsd50k__dev__173580__0105__r0.wav,3ce2886c7c9b714c5d1c6332fc2e704457841247bc52f6d2ad8a157f5e1b6886,FSD50K,freesound:173580,middle,29.469092,pending_blinded_listening_review
4,TER-004,glass_breaking,glass_breaking__fsd50k__dev__173559__0100__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__fsd50k__dev__173559__0100__r0.wav,88bf4cbe059971fae2febd572ad87b2b524ad4094bc2e9cb41275157b4991bf6,FSD50K,freesound:173559,high,35.049474,pending_blinded_listening_review
5,TER-005,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__319008__0161__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/gunshot_gunfire__fsd50k__dev__319008__0161__r0.wav,d0f7f078bd4901192b6990af8de91a83fefb784af94bc2f7d5154b10224f81d9,FSD50K,freesound:319008,high,69.241107,pending_blinded_listening_review
6,TER-006,glass_breaking,glass_breaking__fsd50k__dev__121366__0043__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__fsd50k__dev__121366__0043__r0.wav,c3b3cc830f7cd01fb71b416e13815e6154cd43fedac504bd46779b90b8a96648,FSD50K,freesound:121366,middle,20.075461,pending_blinded_listening_review
7,TER-007,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__165540__0075__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/gunshot_gunfire__fsd50k__dev__165540__0075__r0.wav,8bbae24f1c1af51e7058904e689bd0ec71aeef6d89b19865f99e73107ce0bb60,FSD50K,freesound:165540,high,23.870299,pending_blinded_listening_review
8,TER-008,glass_breaking,glass_breaking__esc50__fold_1__84705__0003__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__esc50__fold_1__84705__0003__r0.wav,206b1d14ad2196462178293e410fda9dd19658c06513583ac79501f44780a100,ESC-50,esc-50:84705,high,5913238814.83561,pending_blinded_listening_review
9,TER-009,glass_breaking,glass_breaking__fsd50k__dev__140613__0052__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__fsd50k__dev__140613__0052__r0.wav,bed81f3ac24bd11ae94045eda23c1ff2e92feefb8548bbb961513a799954345b,FSD50K,freesound:140613,low,18.093322,pending_blinded_listening_review
10,TER-010,glass_breaking,glass_breaking__fsd50k__dev__114371__0034__r0.wav,../ml-workspace/datasets/hazard5v3s_event_b1/audio/glass_breaking__fsd50k__dev__114371__0034__r0.wav,b51e7e2da996a8ff3b00c43c0e0adfb83d0ecb78ffdca0779c9d679424b81ca2,FSD50K,freesound:114371,low,18.806253,pending_blinded_listening_review
