order,calibration_id,role,true_category,expected_board_class,test_type,source_review_id,source_dataset,source_id,source_path,source_sha256,processing,excerpt_start_seconds,excerpt_max_seconds,energy_window_seconds,boundary_fade_ms,gain_change_db,leading_silence_seconds,trailing_silence_seconds,sample_rate_hz,duration_seconds,capture_duration_seconds,stimulus_file,stimulus_path,stimulus_sha256,review_note,purpose,status
1,V3TC-001,positive_thunder,thunderstorm,thunderstorm,positive,P2R-005,FSD50K,253763,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-005.wav,2dce5baf90e283758c74824da6900145d23f4804a6b3afbf599d602325bfc487,strongest_6s_excerpt,1.486168,6.0,0.5,10,0.0,1.0,1.0,44100,8.0,13,01_thunderstorm.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/01_thunderstorm.wav,d576496f5f622eda07de1ce66bb011906bbd6873db04d89d3c57a90a7add40af,Atypical but valid thunder; normal audibility; no high-pitched exclusion flag.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
2,V3TC-002,positive_thunder,thunderstorm,thunderstorm,positive,P2R-006,ESC-50,125072,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-006.wav,d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce,full_clip,0.0,,,0,0.0,1.0,1.0,44100,7.0,12,02_thunderstorm.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/02_thunderstorm.wav,d4a823cff54fee030081cc40ce1aaeecba13e8d9216528e7c2f0775844ab1644,Canonical thunder; normal audibility; rated great; no high-pitched exclusion flag.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
3,V3TC-003,positive_thunder,thunderstorm,thunderstorm,positive,P2R-024,FSD50K,259316,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-024.wav,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,strongest_6s_excerpt,0.0,6.0,0.5,10,0.0,1.0,1.0,44100,8.0,13,03_thunderstorm.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/03_thunderstorm.wav,0cad512b810128293ecf15d406ceb979f3262a385d3c3b61ab513b54617a4aed,Canonical thunder; normal audibility; rated great; no high-pitched exclusion flag.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
4,V3TC-004,positive_thunder,thunderstorm,thunderstorm,positive,P2R-037,FSD50K,328391,../ml-workspace/datasets/hazard6_pilot2_review/audio/P2R-037.wav,332b4657769e8f57a82a5090ad3a48a06fff4c33fd9a8a4d7aa2062b9416133d,strongest_6s_excerpt,9.69839,6.0,0.5,10,0.0,1.0,1.0,44100,8.0,13,04_thunderstorm.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/04_thunderstorm.wav,7bc6eeeda2730865b171607c3e33fb58b3183233c7aceb8b1b09976630067b75,Canonical thunder; normal audibility; previously harder to recognize; no high-pitched exclusion flag.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
5,V3TC-005,positive_thunder,thunderstorm,thunderstorm,positive,P2S-021,ESC-50,161519,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-021.wav,05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a,full_clip,0.0,,,0,0.0,1.0,1.0,44100,7.0,12,05_thunderstorm.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/05_thunderstorm.wav,4ffa9157c155835c302baf1bd27bd7cbbff850ecce42307eff8649885cc61126,Canonical thunder; normal audibility; rated great.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
6,V3TC-006,negative_known_class,speech,out_of_distribution,ood,V3S-001,V3 smoke set,speech,../ml-workspace/datasets/hazard6_v3_smoke_test/audio/01_speech.wav,7c7d84c219327ed755f02fe2b9c9e2a3b667029aee05e0e2c48f34823090f6c0,exact_copy,0.0,,,0,0.0,already_present,already_present,44100,6.462494,12,06_speech.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/06_speech.wav,7c7d84c219327ed755f02fe2b9c9e2a3b667029aee05e0e2c48f34823090f6c0,Known-class negative; board smoke result was correct.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
7,V3TC-007,negative_known_class,siren,out_of_distribution,ood,V3S-002,V3 smoke set,siren,../ml-workspace/datasets/hazard6_v3_smoke_test/audio/02_siren.wav,14a5d6214ecefbf5dd78259521cb9c3c109bc95ca1c1ae135a35333c33f7e658,exact_copy,0.0,,,0,0.0,already_present,already_present,44100,5.633469,11,07_siren.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/07_siren.wav,14a5d6214ecefbf5dd78259521cb9c3c109bc95ca1c1ae135a35333c33f7e658,Known-class negative; board smoke result was correct.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
8,V3TC-008,negative_known_class,dog_bark,out_of_distribution,ood,V3S-003,V3 smoke set,dog_bark,../ml-workspace/datasets/hazard6_v3_smoke_test/audio/03_dog_bark.wav,fca14e884860cb29df83d9194ae6b88f292658a19e352ccee716a5367544788f,exact_copy,0.0,,,0,0.0,already_present,already_present,44100,7.0,12,08_dog_bark.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/08_dog_bark.wav,fca14e884860cb29df83d9194ae6b88f292658a19e352ccee716a5367544788f,Known-class negative; board smoke result was correct.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
9,V3TC-009,negative_known_class,glass_breaking,out_of_distribution,ood,V3S-004,V3 smoke set,glass_breaking,../ml-workspace/datasets/hazard6_v3_smoke_test/audio/04_glass_breaking.wav,2b89c368ee9ac1240b6cfcdec0eeb344d9bb3ea4694bcd5b94acc626caf13611,exact_copy,0.0,,,0,0.0,already_present,already_present,44100,10.146667,16,09_glass_breaking.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/09_glass_breaking.wav,2b89c368ee9ac1240b6cfcdec0eeb344d9bb3ea4694bcd5b94acc626caf13611,Known-class negative; board smoke result was correct.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
10,V3TC-010,negative_known_class,gunshot_gunfire,out_of_distribution,ood,V3S-005,V3 smoke set,gunshot_gunfire,../ml-workspace/datasets/hazard6_v3_smoke_test/audio/05_gunshot_gunfire.wav,fb6a5cf46fd7d72b16c724321852cc0bc5210adbb29c3fcf69e1f443a1a69381,exact_copy,0.0,,,0,0.0,already_present,already_present,44100,8.074376,14,10_gunshot_gunfire.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/10_gunshot_gunfire.wav,fb6a5cf46fd7d72b16c724321852cc0bc5210adbb29c3fcf69e1f443a1a69381,Known-class negative; board smoke result was correct.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
11,V3TC-011,negative_ambient,rain,out_of_distribution,ood,P2A-001,ESC-50,4-163264-A-10,../ml-workspace/datasets/hazard6_pilot2_ambient_check/audio/P2A-001.wav,79d83e81b1554249e541242b90962d1d8cf51975b49f3a66187710c80d7c71db,full_clip_gain,0.0,,,0,-20.0,1.0,1.0,44100,7.0,12,11_rain.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/11_rain.wav,dc3a0afed1e735da52920f42ef8fff8fab3490d2998603e970a574c1a0a75245,Canonical rain; attenuated by 20 decibels because the reviewed render was too loud.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
12,V3TC-012,negative_ambient,wind,out_of_distribution,ood,P2A-002,ESC-50,4-163606-A-16,../ml-workspace/datasets/hazard6_pilot2_ambient_check/audio/P2A-002.wav,467bab689f12707c0257c132f377888a52e7827359fec09e79dfad375df21a4b,full_clip_gain,0.0,,,0,-20.0,1.0,1.0,44100,7.0,12,12_wind.wav,../ml-workspace/datasets/hazard6_v3_thunder_calibration/audio/12_wind.wav,30d1673fb747032d82cd68902c3ec686e4c578449ad0fa78248d939c545fdb7b,Canonical wind; attenuated by 20 decibels because the reviewed render was too loud.,preliminary board decision calibration; excluded from final evaluation,prepared_not_captured
