filename,category
siren__esc50__fold_1__31482__0000__r0.wav,siren
siren__esc50__fold_1__31482__0001__r0.wav,siren
siren__esc50__fold_1__54084__0002__r0.wav,siren
siren__esc50__fold_1__76831__0003__r0.wav,siren
siren__esc50__fold_1__76831__0004__r0.wav,siren
siren__esc50__fold_1__76831__0005__r0.wav,siren
siren__esc50__fold_1__76831__0006__r0.wav,siren
siren__esc50__fold_1__76831__0007__r0.wav,siren
siren__esc50__fold_2__43802__0008__r0.wav,siren
siren__esc50__fold_2__43806__0009__r0.wav,siren
siren__esc50__fold_2__70052__0010__r0.wav,siren
siren__esc50__fold_2__70052__0011__r0.wav,siren
siren__esc50__fold_2__70936__0012__r0.wav,siren
siren__esc50__fold_2__70938__0013__r0.wav,siren
siren__esc50__fold_2__70939__0014__r0.wav,siren
siren__esc50__fold_2__72688__0015__r0.wav,siren
siren__esc50__fold_3__51376__0016__r0.wav,siren
siren__esc50__fold_3__51731__0017__r0.wav,siren
siren__esc50__fold_3__51731__0018__r0.wav,siren
siren__esc50__fold_3__51909__0019__r0.wav,siren
siren__esc50__fold_3__51909__0020__r0.wav,siren
siren__esc50__fold_3__58772__0021__r0.wav,siren
siren__esc50__fold_3__62878__0022__r0.wav,siren
siren__esc50__fold_3__62878__0023__r0.wav,siren
siren__fsd50k__dev__108192__0024__r0.wav,siren
siren__fsd50k__dev__116664__0025__r0.wav,siren
siren__fsd50k__dev__128459__0026__r0.wav,siren
siren__fsd50k__dev__156868__0027__r0.wav,siren
siren__fsd50k__dev__159743__0028__r0.wav,siren
siren__fsd50k__dev__159745__0029__r0.wav,siren
siren__fsd50k__dev__159750__0030__r0.wav,siren
siren__fsd50k__dev__159753__0031__r0.wav,siren
siren__fsd50k__dev__159754__0032__r0.wav,siren
siren__fsd50k__dev__159755__0033__r0.wav,siren
siren__fsd50k__dev__162719__0034__r0.wav,siren
siren__fsd50k__dev__165166__0035__r0.wav,siren
siren__fsd50k__dev__168258__0036__r0.wav,siren
siren__fsd50k__dev__168621__0037__r0.wav,siren
siren__fsd50k__dev__184623__0038__r0.wav,siren
siren__fsd50k__dev__201611__0039__r0.wav,siren
siren__fsd50k__dev__201945__0040__r0.wav,siren
siren__fsd50k__dev__202418__0041__r0.wav,siren
siren__fsd50k__dev__203720__0042__r0.wav,siren
siren__fsd50k__dev__208652__0043__r0.wav,siren
siren__fsd50k__dev__223824__0044__r0.wav,siren
siren__fsd50k__dev__23750__0045__r0.wav,siren
siren__fsd50k__dev__256469__0046__r0.wav,siren
siren__fsd50k__dev__258169__0047__r0.wav,siren
siren__fsd50k__dev__261589__0048__r0.wav,siren
siren__fsd50k__dev__261593__0049__r0.wav,siren
chainsaw__esc50__fold_1__116765__0000__r0.wav,chainsaw
chainsaw__esc50__fold_1__19898__0001__r0.wav,chainsaw
chainsaw__esc50__fold_1__19898__0002__r0.wav,chainsaw
chainsaw__esc50__fold_1__19898__0003__r0.wav,chainsaw
chainsaw__esc50__fold_1__47250__0004__r0.wav,chainsaw
chainsaw__esc50__fold_1__47250__0005__r0.wav,chainsaw
chainsaw__esc50__fold_1__64398__0006__r0.wav,chainsaw
chainsaw__esc50__fold_1__64398__0007__r0.wav,chainsaw
chainsaw__esc50__fold_2__50667__0008__r0.wav,chainsaw
chainsaw__esc50__fold_2__50667__0009__r0.wav,chainsaw
chainsaw__esc50__fold_2__50668__0010__r0.wav,chainsaw
chainsaw__esc50__fold_2__50668__0011__r0.wav,chainsaw
chainsaw__esc50__fold_2__68391__0012__r0.wav,chainsaw
chainsaw__esc50__fold_2__68391__0013__r0.wav,chainsaw
chainsaw__esc50__fold_2__77945__0014__r0.wav,chainsaw
chainsaw__esc50__fold_2__77945__0015__r0.wav,chainsaw
chainsaw__esc50__fold_3__118656__0016__r0.wav,chainsaw
chainsaw__esc50__fold_3__118657__0017__r0.wav,chainsaw
chainsaw__esc50__fold_3__118657__0018__r0.wav,chainsaw
chainsaw__esc50__fold_3__118658__0019__r0.wav,chainsaw
chainsaw__esc50__fold_3__118658__0020__r0.wav,chainsaw
chainsaw__esc50__fold_3__118972__0021__r0.wav,chainsaw
chainsaw__esc50__fold_3__118972__0022__r0.wav,chainsaw
chainsaw__esc50__fold_3__165856__0023__r0.wav,chainsaw
gunshot_gunfire__fsd50k__dev__100144__0000__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__101961__0001__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__101962__0002__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__103626__0003__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108043__0004__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108044__0005__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108045__0006__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108046__0007__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108047__0008__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__118450__0009__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__127846__0010__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128293__0011__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128294__0012__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128296__0013__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128297__0014__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128298__0015__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128299__0016__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128301__0017__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__132551__0018__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__136766__0019__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__139028__0020__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145206__0021__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145580__0022__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145609__0023__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148828__0024__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148831__0025__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148832__0026__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148836__0027__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148837__0028__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148838__0029__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__151065__0030__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__151066__0031__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__151069__0032__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__151072__0033__r0.wav,gunshot_gunfire
