filename,category
siren__esc50__fold_1__31482__0000__r0.wav,siren
siren__esc50__fold_1__31482__0001__r0.wav,siren
siren__esc50__fold_1__54084__0002__r0.wav,siren
siren__esc50__fold_1__76831__0003__r0.wav,siren
siren__esc50__fold_1__76831__0004__r0.wav,siren
siren__esc50__fold_1__76831__0005__r0.wav,siren
siren__esc50__fold_1__76831__0006__r0.wav,siren
siren__esc50__fold_1__76831__0007__r0.wav,siren
siren__esc50__fold_2__43802__0008__r0.wav,siren
siren__esc50__fold_2__43806__0009__r0.wav,siren
siren__esc50__fold_2__70052__0010__r0.wav,siren
siren__esc50__fold_2__70052__0011__r0.wav,siren
siren__esc50__fold_2__70936__0012__r0.wav,siren
siren__esc50__fold_2__70938__0013__r0.wav,siren
siren__esc50__fold_2__70939__0014__r0.wav,siren
siren__esc50__fold_2__72688__0015__r0.wav,siren
siren__esc50__fold_3__51376__0016__r0.wav,siren
siren__esc50__fold_3__51731__0017__r0.wav,siren
siren__esc50__fold_3__51731__0018__r0.wav,siren
siren__esc50__fold_3__51909__0019__r0.wav,siren
siren__esc50__fold_3__51909__0020__r0.wav,siren
siren__esc50__fold_3__58772__0021__r0.wav,siren
siren__esc50__fold_3__62878__0022__r0.wav,siren
siren__esc50__fold_3__62878__0023__r0.wav,siren
siren__fsd50k__dev__108192__0024__r0.wav,siren
siren__fsd50k__dev__116664__0025__r0.wav,siren
siren__fsd50k__dev__128459__0026__r0.wav,siren
siren__fsd50k__dev__156868__0027__r0.wav,siren
siren__fsd50k__dev__159743__0028__r0.wav,siren
siren__fsd50k__dev__159745__0029__r0.wav,siren
siren__fsd50k__dev__159750__0030__r0.wav,siren
siren__fsd50k__dev__159753__0031__r0.wav,siren
siren__fsd50k__dev__159754__0032__r0.wav,siren
siren__fsd50k__dev__159755__0033__r0.wav,siren
siren__fsd50k__dev__162719__0034__r0.wav,siren
siren__fsd50k__dev__165166__0035__r0.wav,siren
siren__fsd50k__dev__168258__0036__r0.wav,siren
siren__fsd50k__dev__168621__0037__r0.wav,siren
siren__fsd50k__dev__184623__0038__r0.wav,siren
siren__fsd50k__dev__201611__0039__r0.wav,siren
siren__fsd50k__dev__201945__0040__r0.wav,siren
siren__fsd50k__dev__202418__0041__r0.wav,siren
siren__fsd50k__dev__203720__0042__r0.wav,siren
siren__fsd50k__dev__208652__0043__r0.wav,siren
siren__fsd50k__dev__223824__0044__r0.wav,siren
siren__fsd50k__dev__23750__0045__r0.wav,siren
siren__fsd50k__dev__256469__0046__r0.wav,siren
siren__fsd50k__dev__258169__0047__r0.wav,siren
siren__fsd50k__dev__261589__0048__r0.wav,siren
siren__fsd50k__dev__261593__0049__r0.wav,siren
siren__fsd50k__dev__262278__0050__r0.wav,siren
siren__fsd50k__dev__268809__0051__r0.wav,siren
siren__fsd50k__dev__273750__0052__r0.wav,siren
siren__fsd50k__dev__277508__0053__r0.wav,siren
siren__fsd50k__dev__28426__0054__r0.wav,siren
siren__fsd50k__dev__31482__0055__r0.wav,siren
siren__fsd50k__dev__315758__0056__r0.wav,siren
siren__fsd50k__dev__319751__0057__r0.wav,siren
siren__fsd50k__dev__322205__0058__r0.wav,siren
siren__fsd50k__dev__324579__0059__r0.wav,siren
siren__fsd50k__dev__326074__0060__r0.wav,siren
siren__fsd50k__dev__332918__0061__r0.wav,siren
siren__fsd50k__dev__336894__0062__r0.wav,siren
siren__fsd50k__dev__338973__0063__r0.wav,siren
siren__fsd50k__dev__34280__0064__r0.wav,siren
siren__fsd50k__dev__364911__0065__r0.wav,siren
siren__fsd50k__dev__372251__0066__r0.wav,siren
siren__fsd50k__dev__377125__0067__r0.wav,siren
siren__fsd50k__dev__377126__0068__r0.wav,siren
siren__fsd50k__dev__381957__0069__r0.wav,siren
siren__fsd50k__dev__392801__0070__r0.wav,siren
siren__fsd50k__dev__393662__0071__r0.wav,siren
siren__fsd50k__dev__393665__0072__r0.wav,siren
siren__fsd50k__dev__393666__0073__r0.wav,siren
siren__fsd50k__dev__393667__0074__r0.wav,siren
siren__fsd50k__dev__410825__0075__r0.wav,siren
siren__fsd50k__dev__46092__0076__r0.wav,siren
siren__fsd50k__dev__65152__0077__r0.wav,siren
siren__fsd50k__dev__65929__0078__r0.wav,siren
siren__fsd50k__dev__67358__0079__r0.wav,siren
siren__fsd50k__dev__67359__0080__r0.wav,siren
siren__fsd50k__dev__87393__0081__r0.wav,siren
siren__fsd50k__dev__88121__0082__r0.wav,siren
siren__fsd50k__dev__89682__0083__r0.wav,siren
siren__fsd50k__dev__89683__0084__r0.wav,siren
siren__fsd50k__dev__93639__0085__r0.wav,siren
siren__fsd50k__dev__93643__0086__r0.wav,siren
siren__fsd50k__dev__93676__0087__r0.wav,siren
siren__fsd50k__dev__98536__0088__r0.wav,siren
siren__esc50__fold_1__31482__0089__r1.wav,siren
siren__esc50__fold_1__31482__0090__r1.wav,siren
siren__esc50__fold_1__54084__0091__r1.wav,siren
siren__esc50__fold_1__76831__0092__r1.wav,siren
siren__esc50__fold_1__76831__0093__r1.wav,siren
siren__esc50__fold_1__76831__0094__r1.wav,siren
siren__esc50__fold_1__76831__0095__r1.wav,siren
siren__esc50__fold_1__76831__0096__r1.wav,siren
siren__esc50__fold_2__43802__0097__r1.wav,siren
siren__esc50__fold_2__43806__0098__r1.wav,siren
siren__esc50__fold_2__70052__0099__r1.wav,siren
siren__esc50__fold_2__70052__0100__r1.wav,siren
siren__esc50__fold_2__70936__0101__r1.wav,siren
siren__esc50__fold_2__70938__0102__r1.wav,siren
siren__esc50__fold_2__70939__0103__r1.wav,siren
siren__esc50__fold_2__72688__0104__r1.wav,siren
siren__esc50__fold_3__51376__0105__r1.wav,siren
siren__esc50__fold_3__51731__0106__r1.wav,siren
siren__esc50__fold_3__51731__0107__r1.wav,siren
siren__esc50__fold_3__51909__0108__r1.wav,siren
siren__esc50__fold_3__51909__0109__r1.wav,siren
siren__esc50__fold_3__58772__0110__r1.wav,siren
siren__esc50__fold_3__62878__0111__r1.wav,siren
siren__esc50__fold_3__62878__0112__r1.wav,siren
siren__fsd50k__dev__108192__0113__r1.wav,siren
siren__fsd50k__dev__116664__0114__r1.wav,siren
siren__fsd50k__dev__128459__0115__r1.wav,siren
siren__fsd50k__dev__156868__0116__r1.wav,siren
siren__fsd50k__dev__159743__0117__r1.wav,siren
siren__fsd50k__dev__159745__0118__r1.wav,siren
siren__fsd50k__dev__159750__0119__r1.wav,siren
siren__fsd50k__dev__159753__0120__r1.wav,siren
siren__fsd50k__dev__159754__0121__r1.wav,siren
siren__fsd50k__dev__159755__0122__r1.wav,siren
siren__fsd50k__dev__162719__0123__r1.wav,siren
siren__fsd50k__dev__165166__0124__r1.wav,siren
siren__fsd50k__dev__168258__0125__r1.wav,siren
siren__fsd50k__dev__168621__0126__r1.wav,siren
siren__fsd50k__dev__184623__0127__r1.wav,siren
siren__fsd50k__dev__201611__0128__r1.wav,siren
siren__fsd50k__dev__201945__0129__r1.wav,siren
siren__fsd50k__dev__202418__0130__r1.wav,siren
