filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0006.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0007.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0008.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0009.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0010.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0011.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0012.wav,background_other
background_other__esc50__fold_2__2-61311-A-12__0013.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0014.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0015.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0016.wav,background_other
background_other__esc50__fold_1__1-97392-A-0__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_3__3-203374-A-39__0025.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0026.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0027.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0028.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0029.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0030.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0031.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0032.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0033.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0034.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0035.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0036.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0037.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0038.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0039.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0040.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0041.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0042.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0043.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0044.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0045.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0046.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0047.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0048.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0049.wav,background_other
chainsaw__esc50__fold_1__116765__0000__r0.wav,chainsaw
chainsaw__esc50__fold_1__19898__0001__r0.wav,chainsaw
chainsaw__esc50__fold_1__47250__0004__r0.wav,chainsaw
chainsaw__esc50__fold_1__64398__0006__r0.wav,chainsaw
chainsaw__esc50__fold_2__50667__0008__r0.wav,chainsaw
chainsaw__esc50__fold_2__50668__0010__r0.wav,chainsaw
chainsaw__esc50__fold_2__68391__0012__r0.wav,chainsaw
chainsaw__esc50__fold_2__77945__0014__r0.wav,chainsaw
chainsaw__esc50__fold_3__118656__0016__r0.wav,chainsaw
chainsaw__esc50__fold_3__118657__0017__r0.wav,chainsaw
chainsaw__esc50__fold_3__118658__0019__r0.wav,chainsaw
chainsaw__esc50__fold_3__118972__0021__r0.wav,chainsaw
chainsaw__esc50__fold_3__165856__0023__r0.wav,chainsaw
gunshot_gunfire__fsd50k__dev__100144__0000__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__101961__0001__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__101962__0002__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__103626__0003__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108043__0004__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108044__0005__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108045__0006__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108046__0007__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__108047__0008__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__118450__0009__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__127846__0010__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128293__0011__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128294__0012__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128296__0013__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128297__0014__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128298__0015__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128299__0016__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128301__0017__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__132551__0018__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__136766__0019__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__139028__0020__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145206__0021__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145580__0022__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__145609__0023__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148828__0024__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148831__0025__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148832__0026__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148836__0027__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148837__0028__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__148838__0029__r0.wav,gunshot_gunfire
