filename,category
crackling_fire__esc50__fold_1__17150__0000__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17565__0001__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17742__0002__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17808__0003__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17808__0004__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__4211__0005__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__46272__0006__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__7057__0007__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__18766__0008__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__18766__0009__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__28314__0010__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__28314__0011__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__30322__0012__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__30322__0013__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__61311__0014__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__65747__0015__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104632__0016__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104958__0017__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__120644__0018__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__145774__0019__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__147965__0020__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__157187__0021__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__158476__0022__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__65748__0023__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__102709__0024__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__108842__0025__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__114393__0026__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__123632__0027__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__124372__0028__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__125325__0029__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130053__0030__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130247__0031__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130787__0032__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131205__0033__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131206__0034__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131309__0035__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132625__0036__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132630__0037__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133052__0038__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133846__0039__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__134963__0040__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__135676__0041__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140715__0042__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140720__0043__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__141148__0044__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143128__0045__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143954__0046__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__144906__0047__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147252__0048__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147378__0049__r0.wav,crackling_fire
glass_breaking__esc50__fold_1__20133__0000__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__84536__0001__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__84704__0002__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__84705__0003__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__85168__0004__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__85184__0005__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__88807__0006__r0.wav,glass_breaking
glass_breaking__esc50__fold_1__977__0007__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__106881__0008__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__112213__0009__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__112213__0010__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__141563__0011__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__173559__0012__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__173607__0013__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__173618__0014__r0.wav,glass_breaking
glass_breaking__esc50__fold_2__250710__0015__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__203371__0016__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__203373__0017__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__203374__0018__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__203375__0019__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__203377__0020__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__216280__0021__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__216281__0022__r0.wav,glass_breaking
glass_breaking__esc50__fold_3__216284__0023__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__100733__0024__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__100738__0025__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__104670__0026__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__104815__0027__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__108408__0028__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__110459__0029__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__112546__0030__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__113777__0031__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__114193__0032__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__114203__0033__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__114371__0034__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__114374__0035__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__11585__0036__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__118198__0037__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__118199__0038__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__118520__0039__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__119133__0040__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__119917__0041__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__120528__0042__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__121366__0043__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__123008__0044__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__124030__0045__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__126531__0046__r0.wav,glass_breaking
glass_breaking__fsd50k__dev__126877__0047__r0.wav,glass_breaking
