filename,category
crackling_fire__esc50__fold_1__17150__0000__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17565__0001__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17742__0002__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17808__0003__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17808__0004__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__4211__0005__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__46272__0006__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__7057__0007__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__18766__0008__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__18766__0009__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__28314__0010__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__28314__0011__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__30322__0012__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__30322__0013__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__61311__0014__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__65747__0015__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104632__0016__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104958__0017__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__120644__0018__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__145774__0019__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__147965__0020__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__157187__0021__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__158476__0022__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__65748__0023__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__102709__0024__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__108842__0025__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__114393__0026__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__123632__0027__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__124372__0028__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__125325__0029__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130053__0030__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130247__0031__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130787__0032__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131205__0033__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131206__0034__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131309__0035__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132625__0036__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132630__0037__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133052__0038__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133846__0039__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__134963__0040__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__135676__0041__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140715__0042__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140720__0043__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__141148__0044__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143128__0045__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143954__0046__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__144906__0047__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147252__0048__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147378__0049__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149012__0050__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149106__0051__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149459__0052__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149830__0053__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149831__0054__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__150359__0055__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__150864__0056__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__152676__0057__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__152677__0058__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__157185__0059__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__157186__0060__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__157187__0061__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__158476__0062__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__160485__0063__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__161044__0064__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__164471__0065__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__164671__0066__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__164672__0067__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__164939__0068__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__166544__0069__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__166550__0070__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__167250__0071__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__170824__0072__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__171089__0073__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__171693__0074__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__172717__0075__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__172721__0076__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__172722__0077__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17294__0078__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17298__0079__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__173304__0080__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__173305__0081__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__174007__0082__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__174461__0083__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__174493__0084__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__174494__0085__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__174999__0086__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17513__0087__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17514__0088__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17515__0089__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17516__0090__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17556__0091__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__176016__0092__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17605__0093__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17656__0094__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__176724__0095__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__17782__0096__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__177888__0097__r0.wav,crackling_fire
