filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_2__2-50667-A-41__0006.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0007.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0008.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0009.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0010.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0011.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0012.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0013.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0014.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0015.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0016.wav,background_other
background_other__esc50__fold_1__1-97392-A-0__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0025.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0026.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0027.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0028.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0029.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0030.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0031.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0032.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0033.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0034.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0035.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0036.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0037.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0038.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0039.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0040.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0041.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0042.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0043.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0044.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0045.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0046.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0047.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0048.wav,background_other
background_other__esc50__fold_2__2-85471-A-34__0049.wav,background_other
crackling_fire__esc50__fold_1__17150__0000__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17565__0001__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17742__0002__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__17808__0003__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__4211__0005__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__46272__0006__r0.wav,crackling_fire
crackling_fire__esc50__fold_1__7057__0007__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__18766__0008__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__28314__0010__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__30322__0012__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__61311__0014__r0.wav,crackling_fire
crackling_fire__esc50__fold_2__65747__0015__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104632__0016__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__104958__0017__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__120644__0018__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__145774__0019__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__147965__0020__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__157187__0021__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__158476__0022__r0.wav,crackling_fire
crackling_fire__esc50__fold_3__65748__0023__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__102709__0024__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__108842__0025__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__114393__0026__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__123632__0027__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__124372__0028__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__125325__0029__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130053__0030__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130247__0031__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__130787__0032__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131205__0033__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131206__0034__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__131309__0035__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132625__0036__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__132630__0037__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133052__0038__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__133846__0039__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__134963__0040__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__135676__0041__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140715__0042__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__140720__0043__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__141148__0044__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143128__0045__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__143954__0046__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__144906__0047__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147252__0048__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__147378__0049__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149012__0050__r0.wav,crackling_fire
crackling_fire__fsd50k__dev__149106__0051__r0.wav,crackling_fire
