dataset_role,filename,category,background_group,source_dataset,source_partition,source_id,source_filename,source_labels
train,dog_bark__esc50__fold_1__100032__0000__r0.wav,dog_bark,,ESC-50,fold_1,100032,1-100032-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__110389__0001__r0.wav,dog_bark,,ESC-50,fold_1,110389,1-110389-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__30226__0002__r0.wav,dog_bark,,ESC-50,fold_1,30226,1-30226-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__30344__0003__r0.wav,dog_bark,,ESC-50,fold_1,30344,1-30344-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__32318__0004__r0.wav,dog_bark,,ESC-50,fold_1,32318,1-32318-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__59513__0005__r0.wav,dog_bark,,ESC-50,fold_1,59513,1-59513-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__85362__0006__r0.wav,dog_bark,,ESC-50,fold_1,85362,1-85362-A-0.wav,dog_bark
train,dog_bark__esc50__fold_1__97392__0007__r0.wav,dog_bark,,ESC-50,fold_1,97392,1-97392-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__114280__0008__r0.wav,dog_bark,,ESC-50,fold_2,114280,2-114280-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__114587__0009__r0.wav,dog_bark,,ESC-50,fold_2,114587,2-114587-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__116400__0010__r0.wav,dog_bark,,ESC-50,fold_2,116400,2-116400-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__117271__0011__r0.wav,dog_bark,,ESC-50,fold_2,117271,2-117271-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__118072__0012__r0.wav,dog_bark,,ESC-50,fold_2,118072,2-118072-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__118964__0013__r0.wav,dog_bark,,ESC-50,fold_2,118964,2-118964-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__122104__0014__r0.wav,dog_bark,,ESC-50,fold_2,122104,2-122104-A-0.wav,dog_bark
train,dog_bark__esc50__fold_2__122104__0015__r0.wav,dog_bark,,ESC-50,fold_2,122104,2-122104-B-0.wav,dog_bark
train,dog_bark__esc50__fold_3__136288__0016__r0.wav,dog_bark,,ESC-50,fold_3,136288,3-136288-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__144028__0017__r0.wav,dog_bark,,ESC-50,fold_3,144028,3-144028-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__155312__0018__r0.wav,dog_bark,,ESC-50,fold_3,155312,3-155312-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__157695__0019__r0.wav,dog_bark,,ESC-50,fold_3,157695,3-157695-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__163459__0020__r0.wav,dog_bark,,ESC-50,fold_3,163459,3-163459-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__170015__0021__r0.wav,dog_bark,,ESC-50,fold_3,170015,3-170015-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__180256__0022__r0.wav,dog_bark,,ESC-50,fold_3,180256,3-180256-A-0.wav,dog_bark
train,dog_bark__esc50__fold_3__180977__0023__r0.wav,dog_bark,,ESC-50,fold_3,180977,3-180977-A-0.wav,dog_bark
train,dog_bark__fsd50k__dev__114280__0024__r0.wav,dog_bark,,FSD50K,dev,114280,114280.wav,dog_bark
train,dog_bark__fsd50k__dev__118961__0025__r0.wav,dog_bark,,FSD50K,dev,118961,118961.wav,dog_bark
train,dog_bark__fsd50k__dev__118962__0026__r0.wav,dog_bark,,FSD50K,dev,118962,118962.wav,dog_bark
train,dog_bark__fsd50k__dev__118963__0027__r0.wav,dog_bark,,FSD50K,dev,118963,118963.wav,dog_bark
train,dog_bark__fsd50k__dev__118964__0028__r0.wav,dog_bark,,FSD50K,dev,118964,118964.wav,dog_bark
train,dog_bark__fsd50k__dev__125554__0029__r0.wav,dog_bark,,FSD50K,dev,125554,125554.wav,dog_bark
train,dog_bark__fsd50k__dev__125574__0030__r0.wav,dog_bark,,FSD50K,dev,125574,125574.wav,dog_bark
train,dog_bark__fsd50k__dev__130030__0031__r0.wav,dog_bark,,FSD50K,dev,130030,130030.wav,dog_bark
train,dog_bark__fsd50k__dev__137803__0032__r0.wav,dog_bark,,FSD50K,dev,137803,137803.wav,dog_bark
train,dog_bark__fsd50k__dev__155309__0033__r0.wav,dog_bark,,FSD50K,dev,155309,155309.wav,dog_bark
train,dog_bark__fsd50k__dev__155311__0034__r0.wav,dog_bark,,FSD50K,dev,155311,155311.wav,dog_bark
train,dog_bark__fsd50k__dev__155312__0035__r0.wav,dog_bark,,FSD50K,dev,155312,155312.wav,dog_bark
train,dog_bark__fsd50k__dev__155317__0036__r0.wav,dog_bark,,FSD50K,dev,155317,155317.wav,dog_bark
train,dog_bark__fsd50k__dev__156418__0037__r0.wav,dog_bark,,FSD50K,dev,156418,156418.wav,dog_bark
train,dog_bark__fsd50k__dev__157322__0038__r0.wav,dog_bark,,FSD50K,dev,157322,157322.wav,dog_bark
train,dog_bark__fsd50k__dev__160092__0039__r0.wav,dog_bark,,FSD50K,dev,160092,160092.wav,dog_bark
train,dog_bark__fsd50k__dev__160093__0040__r0.wav,dog_bark,,FSD50K,dev,160093,160093.wav,dog_bark
train,dog_bark__fsd50k__dev__160094__0041__r0.wav,dog_bark,,FSD50K,dev,160094,160094.wav,dog_bark
train,dog_bark__fsd50k__dev__164311__0042__r0.wav,dog_bark,,FSD50K,dev,164311,164311.wav,dog_bark
train,dog_bark__fsd50k__dev__164488__0043__r0.wav,dog_bark,,FSD50K,dev,164488,164488.wav,dog_bark
train,dog_bark__fsd50k__dev__179096__0044__r0.wav,dog_bark,,FSD50K,dev,179096,179096.wav,dog_bark
train,dog_bark__fsd50k__dev__183992__0045__r0.wav,dog_bark,,FSD50K,dev,183992,183992.wav,dog_bark
train,dog_bark__fsd50k__dev__184725__0046__r0.wav,dog_bark,,FSD50K,dev,184725,184725.wav,dog_bark
train,dog_bark__fsd50k__dev__193394__0047__r0.wav,dog_bark,,FSD50K,dev,193394,193394.wav,dog_bark
train,dog_bark__fsd50k__dev__194753__0048__r0.wav,dog_bark,,FSD50K,dev,194753,194753.wav,dog_bark
train,dog_bark__fsd50k__dev__194754__0049__r0.wav,dog_bark,,FSD50K,dev,194754,194754.wav,dog_bark
train,dog_bark__fsd50k__dev__234030__0050__r0.wav,dog_bark,,FSD50K,dev,234030,234030.wav,dog_bark
train,dog_bark__fsd50k__dev__235864__0051__r0.wav,dog_bark,,FSD50K,dev,235864,235864.wav,dog_bark
