filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_2__2-50667-A-41__0006.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0007.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0008.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0009.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0010.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0011.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0012.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0013.wav,background_other
background_other__esc50__fold_2__2-61311-A-12__0014.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0015.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0016.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0025.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0026.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0027.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0028.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0029.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0030.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0031.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0032.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0033.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0034.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0035.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0036.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0037.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0038.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0039.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0040.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0041.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0042.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0043.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0044.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0045.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0046.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0047.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0048.wav,background_other
background_other__esc50__fold_2__2-85471-A-34__0049.wav,background_other
background_other__fsd50k__train__speech__100966__0000.wav,speech
background_other__fsd50k__train__speech__108875__0001.wav,speech
background_other__fsd50k__train__speech__125130__0002.wav,speech
background_other__fsd50k__train__speech__349317__0003.wav,speech
background_other__fsd50k__train__speech__93872__0004.wav,speech
background_other__fsd50k__train__speech__256779__0005.wav,speech
background_other__fsd50k__train__speech__187294__0006.wav,speech
background_other__fsd50k__train__speech__76648__0007.wav,speech
background_other__fsd50k__train__speech__351337__0008.wav,speech
background_other__fsd50k__train__speech__278895__0009.wav,speech
background_other__fsd50k__train__speech__219653__0010.wav,speech
background_other__fsd50k__train__speech__58797__0011.wav,speech
background_other__fsd50k__train__speech__76621__0012.wav,speech
background_other__fsd50k__train__speech__377264__0013.wav,speech
background_other__fsd50k__train__speech__139046__0014.wav,speech
background_other__fsd50k__train__speech__18286__0015.wav,speech
background_other__fsd50k__train__speech__96543__0016.wav,speech
background_other__fsd50k__train__speech__236454__0017.wav,speech
background_other__fsd50k__train__speech__236556__0018.wav,speech
background_other__fsd50k__train__speech__113238__0019.wav,speech
background_other__fsd50k__train__speech__248047__0020.wav,speech
background_other__fsd50k__train__speech__256337__0021.wav,speech
background_other__fsd50k__train__speech__93375__0022.wav,speech
background_other__fsd50k__train__speech__34420__0023.wav,speech
background_other__fsd50k__train__speech__236382__0024.wav,speech
background_other__fsd50k__train__speech__316411__0025.wav,speech
background_other__fsd50k__train__speech__180299__0026.wav,speech
background_other__fsd50k__train__speech__30597__0027.wav,speech
background_other__fsd50k__train__speech__149919__0028.wav,speech
background_other__fsd50k__train__speech__92953__0029.wav,speech
background_other__fsd50k__train__speech__223521__0030.wav,speech
background_other__fsd50k__train__speech__76613__0031.wav,speech
background_other__fsd50k__train__speech__416694__0032.wav,speech
background_other__fsd50k__train__speech__235048__0033.wav,speech
background_other__fsd50k__train__speech__80651__0034.wav,speech
background_other__fsd50k__train__speech__86402__0035.wav,speech
background_other__fsd50k__train__speech__92915__0036.wav,speech
background_other__fsd50k__train__speech__316443__0037.wav,speech
background_other__fsd50k__train__speech__207860__0038.wav,speech
background_other__fsd50k__train__speech__196865__0039.wav,speech
background_other__fsd50k__train__speech__61219__0040.wav,speech
background_other__fsd50k__train__speech__165236__0041.wav,speech
background_other__fsd50k__train__speech__219663__0042.wav,speech
background_other__fsd50k__train__speech__249722__0043.wav,speech
background_other__fsd50k__train__speech__236660__0044.wav,speech
background_other__fsd50k__train__speech__86451__0045.wav,speech
background_other__fsd50k__train__speech__421872__0046.wav,speech
background_other__fsd50k__train__speech__379969__0047.wav,speech
background_other__fsd50k__train__speech__236547__0048.wav,speech
background_other__fsd50k__train__speech__120653__0049.wav,speech
dog_bark__esc50__fold_1__100032__0000__r0.wav,dog_bark
dog_bark__esc50__fold_1__110389__0001__r0.wav,dog_bark
dog_bark__esc50__fold_1__30226__0002__r0.wav,dog_bark
dog_bark__esc50__fold_1__30344__0003__r0.wav,dog_bark
dog_bark__esc50__fold_1__32318__0004__r0.wav,dog_bark
dog_bark__esc50__fold_1__59513__0005__r0.wav,dog_bark
dog_bark__esc50__fold_1__85362__0006__r0.wav,dog_bark
dog_bark__esc50__fold_1__97392__0007__r0.wav,dog_bark
dog_bark__esc50__fold_2__114280__0008__r0.wav,dog_bark
dog_bark__esc50__fold_2__114587__0009__r0.wav,dog_bark
