dataset_role,filename,category,source_dataset,source_partition,source_id,source_group,source_filename,source_duration_s,sample_rate_hz,event_time_s,window_duration_s,event_offset_s,peak_score,peak_prominence,peak_frame_rms_dbfs,recording_max_frame_rms_dbfs,left_padding_samples,right_padding_samples,source_sha256,derived_sha256,algorithm_version,seed,amplitude_policy
train,glass_breaking__esc50__fold_1__20133__0000__r0.wav,glass_breaking,ESC-50,fold_1,20133,esc-50:20133,1-20133-A-39.wav,5.0,44100,0.157166,1.0,0.348163,4.880787,19.759919,-16.2913,-7.2547,8423,0,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,04427d0370b52157b3cfced5f304b457aa50730d589c21c11f52a195555e0a5d,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84536__0001__r0.wav,glass_breaking,ESC-50,fold_1,84536,esc-50:84536,1-84536-A-39.wav,5.0,44100,0.58619,1.0,0.44712,6.041231,66.128403,-21.4909,-5.1754,0,0,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,6653c9e26b2ef5ffe47d77c4ca4a2ed1773f473da30b446a7016b058016c787f,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84704__0002__r0.wav,glass_breaking,ESC-50,fold_1,84704,esc-50:84704,1-84704-A-39.wav,5.0,44100,0.092313,1.0,0.360726,6.582098,6582097540.178223,-44.9798,-4.4424,11837,0,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,dbd2dff769132becb511745ce379460f5b26096bf9d8f859c1321a17049c4cb4,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84705__0003__r0.wav,glass_breaking,ESC-50,fold_1,84705,esc-50:84705,1-84705-A-39.wav,5.0,44100,0.566236,1.0,0.405533,5.913239,5913238814.83561,-40.9973,-3.0218,0,0,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,206b1d14ad2196462178293e410fda9dd19658c06513583ac79501f44780a100,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__85168__0004__r0.wav,glass_breaking,ESC-50,fold_1,85168,esc-50:85168,1-85168-A-39.wav,5.0,44100,0.705918,1.0,0.400952,3.909382,72.290947,-28.234,-2.1481,0,0,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,3b8cadd39e938bc80c9251f154c85a64820f170b3b910f9abf366403235153d0,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__85184__0005__r0.wav,glass_breaking,ESC-50,fold_1,85184,esc-50:85184,1-85184-A-39.wav,5.0,44100,0.461474,1.0,0.281769,6.39907,6399069646.422758,-25.0006,-4.7389,0,0,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,2098857cfab1b0dd30b588d896aa8daa622fb48e95d67eb417d474d78e6bfef7,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__88807__0006__r0.wav,glass_breaking,ESC-50,fold_1,88807,esc-50:88807,1-88807-A-39.wav,5.0,44100,2.032902,1.0,0.265488,5.79665,151.886494,-49.4231,-15.8772,0,0,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,1a5df7e52543d4ce1f5c87b4541377fd594809ddbfa939c491ec08e9f74af769,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__977__0007__r0.wav,glass_breaking,ESC-50,fold_1,977,esc-50:977,1-977-A-39.wav,5.0,44100,0.536304,1.0,0.1961,5.866727,5866727159.767361,-50.9393,-9.1469,0,0,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,a3e79c0b59c2ce1f67e32b793f3b7785fdeca2dac48d8ce4ce9d5cc04256f7c8,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_2__106881__0008__r0.wav,glass_breaking,ESC-50,fold_2,106881,esc-50:106881,2-106881-A-39.wav,5.0,44100,0.311814,1.0,0.375215,5.799785,11.736981,-29.7914,-7.1218,2796,0,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,695b6f0224972b796e985807c304a57403efba1e4a62ca542ec9e848a5608049,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_2__112213__0009__r0.wav,glass_breaking,ESC-50,fold_2,112213,esc-50:112213,2-112213-A-39.wav,5.0,44100,2.422018,1.0,0.302404,7.09211,15.54567,-52.2945,-9.4537,0,0,a6b60fb2268d7f0ceda0ff6f798d2d51b4ceb08218b3ac5ca91980a42d9c706b,164df75dcb27dcd0bafcc0fe2c9f9006db09049bda7abfe3e98a84fa416597b1,energy-spectral-flux-v1,421,source_amplitude_preserved_no_normalization
