filename,category,source_dataset,source_id,source_group,source_filename,source_sha256,derived_sha256,variant_index,event_time_s,previous_event_time_s,event_detector,sample_rate_hz,duration_s,seed,transform_name,event_offset_s,source_left_padding_samples,source_right_padding_samples,boundary_policy,gain_db,speed_factor,highpass_hz,lowpass_hz,compression_drive,signal_to_noise_db,background_scale,background_file,background_category,background_source_group,limiter_gain,output_peak_dbfs,output_rms_dbfs
glass_breaking__esc50__fold_1__20133__0000__r0__aug0.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,a3fc8a9a404e4c3b5980b4a60df8283dfdc4aa81e0e7241676f3a6bd89a01aa4,0,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.21836,2699,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-10.5274
glass_breaking__esc50__fold_1__20133__0000__r0__aug1.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,11e955b66197bc3852fc2a6e5a0e080b25f30530a2c00bab5716abe7f4da191c,1,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.217688,2669,0,zero_pad_without_source_sample_loss,-3.3091,1.0,,,1.0,,,,,,1.0,-3.3091,-12.835
glass_breaking__esc50__fold_1__20133__0000__r0__aug2.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,17093c7f19a53509de2c40f306e922607f5598c303a98f8f46e2320328f9e216,2,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.275061,5199,0,zero_pad_without_source_sample_loss,1.2416,1.0,,,1.0,18.0811,0.69196204,3-112557-A-23.wav,breathing,esc50:112557,0.73385817,-1.0,-11.1139
glass_breaking__esc50__fold_1__20133__0000__r0__aug3.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,313b4342291c4235af782db77823d6893f29cbeddc1dea8b3a3072853e178fbd,3,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.336049,7889,0,zero_pad_without_source_sample_loss,1.4909,1.0,83.042,6223.279,1.0,10.4109,0.27699536,2-102567-D-35.wav,washing_machine,esc50:102567,0.76732826,-1.0,-12.6254
glass_breaking__esc50__fold_1__20133__0000__r0__aug4.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,cf02a847a5e37ce4cdc59fe7ced97dccab3569df1648e826c7af3b13f38cfc8b,4,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.197234,1767,0,zero_pad_without_source_sample_loss,-0.0638,0.986824,,,1.0,,,,,,0.72741791,-1.0,-12.2733
glass_breaking__esc50__fold_1__20133__0000__r0__aug5.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,142262e7a0dc393f960faab8abd1916b325fb4249815248feab90a3bb6cb00a6,5,0.157166,0.157166,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.34719,8380,0,zero_pad_without_source_sample_loss,-10.7646,1.0,,,1.7986,12.8058,0.79666243,3-155570-A-32.wav,keyboard_typing,esc50:155570,1.0,-4.8523,-15.4436
glass_breaking__esc50__fold_1__84536__0001__r0__aug0.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,0239591cb9e59bd8718c4ad9209e0bb10a6cc15dbe1366b3a208afa403f466da,0,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.288783,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-11.9106
glass_breaking__esc50__fold_1__84536__0001__r0__aug1.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,e34a5c9e57113e15d7506aeb1ca298cad17a77c1d4d940f3ef252d2c6a042aa5,1,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.163638,0,0,zero_pad_without_source_sample_loss,4.4911,1.0,,,1.0,,,,,,0.53142576,-1.0,-11.8315
glass_breaking__esc50__fold_1__84536__0001__r0__aug2.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,d3bdb131dfbc0d7f9806bc8a66ec90f28f4dc4638d3a39cbfd3f4e81cc26d3e0,2,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.154615,0,0,zero_pad_without_source_sample_loss,-3.1399,1.0,,,1.0,13.8842,3.60723103,3-150363-A-38.wav,clock_tick,esc50:150363,1.0,-2.5831,-13.8004
glass_breaking__esc50__fold_1__84536__0001__r0__aug3.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,be1fdb2f8a875e312cbb1d559fb0ee53bfbf09c40f7c99ce5b67d257452f8522,3,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.131866,0,0,zero_pad_without_source_sample_loss,-5.1173,1.0,120.315,6420.124,1.0,16.6038,0.09662115,1-21896-A-35.wav,washing_machine,esc50:21896,1.0,-4.7121,-20.154
