dataset_role,filename,category,source_dataset,source_partition,source_id,source_group,source_filename,source_duration_s,sample_rate_hz,event_time_s,window_duration_s,event_offset_s,peak_score,peak_prominence,peak_frame_rms_dbfs,recording_max_frame_rms_dbfs,left_padding_samples,right_padding_samples,source_sha256,derived_sha256,algorithm_version,seed,amplitude_policy
train,glass_breaking__esc50__fold_1__20133__0000__r0.wav,glass_breaking,ESC-50,fold_1,20133,esc-50:20133,1-20133-A-39.wav,5.0,44100,0.157166,1.0,0.200975,2.898649,7.609432,-16.2913,-7.2547,1932,0,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,5ecc566b468ca3d6c2149ed2e4844384f3656eb1214cef36caabcd8bb53ca6ab,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84536__0001__r0.wav,glass_breaking,ESC-50,fold_1,84536,esc-50:84536,1-84536-A-39.wav,5.0,44100,0.58619,1.0,0.248617,3.494556,49.165409,-21.4909,-5.1754,0,0,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,fbd746b3383b0457a778cec60c52d201f5e0795f2d868e8317392dcc4efcb2a1,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84704__0002__r0.wav,glass_breaking,ESC-50,fold_1,84704,esc-50:84704,1-84704-A-39.wav,5.0,44100,0.092313,1.0,0.207029,4.517897,4517896680.032234,-44.9798,-4.4424,5059,0,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,aad8ad262c462317dd551b6dda9c36a928b54f65f3b7936987bffb3f90c385ae,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__84705__0003__r0.wav,glass_breaking,ESC-50,fold_1,84705,esc-50:84705,1-84705-A-39.wav,5.0,44100,0.212041,1.0,0.228594,4.48752,4487519953.616809,-24.579,-3.0218,730,0,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,8f7075aaed53815822abb69484290ca6782e2511b72f5d35c96ec7c8de4d5e6e,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__85168__0004__r0.wav,glass_breaking,ESC-50,fold_1,85168,esc-50:85168,1-85168-A-39.wav,5.0,44100,0.705918,1.0,0.226372,2.521642,68.059606,-28.234,-2.1481,0,0,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,affef128b52b9081c890327bf81f4eda49ac029fde93d45e6e97f57bb235606a,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__85184__0005__r0.wav,glass_breaking,ESC-50,fold_1,85184,esc-50:85184,1-85184-A-39.wav,5.0,44100,0.461474,1.0,0.169002,4.829386,4829385757.71369,-25.0006,-4.7389,0,0,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,4caa45351d2b9ba1bfba5c0f77a7f9a4b7e4b43524c03ef9d7386e715df8be9f,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__88807__0006__r0.wav,glass_breaking,ESC-50,fold_1,88807,esc-50:88807,1-88807-A-39.wav,5.0,44100,2.032902,1.0,0.161156,3.5904,161.453528,-49.4231,-15.8772,0,0,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,bb252614d9bd370e212a241fa9f73c5e66ab859bd4628a10ff4e766323e5a806,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_1__977__0007__r0.wav,glass_breaking,ESC-50,fold_1,977,esc-50:977,1-977-A-39.wav,5.0,44100,0.536304,1.0,0.127755,4.277276,4277276450.902139,-50.9393,-9.1469,0,0,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,051e9df6f026d35ce64a288d7f06935dfaa3b22895e84c10b571ad671aacad07,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_2__106881__0008__r0.wav,glass_breaking,ESC-50,fold_2,106881,esc-50:106881,2-106881-A-39.wav,5.0,44100,0.311814,1.0,0.213991,3.435465,7.363413,-29.7914,-7.1218,0,0,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,f49a602c714573d4eeb3bf66068df5011c9170e5e851e518c89f9ff842db9fb7,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
train,glass_breaking__esc50__fold_2__112213__0009__r0.wav,glass_breaking,ESC-50,fold_2,112213,esc-50:112213,2-112213-A-39.wav,5.0,44100,2.422018,1.0,0.178934,3.90066,9.112313,-52.2945,-9.4537,0,0,a6b60fb2268d7f0ceda0ff6f798d2d51b4ceb08218b3ac5ca91980a42d9c706b,0a8fc47d9e3ef9fde039637305c7fb6c2b8f4b47ae26308cb10d2fe62152a920,energy-spectral-flux-glass-tail-v2,421,source_amplitude_preserved_no_normalization
