filename,category
dog_bark__esc50__fold_1__100032__0000__r0.wav,dog_bark
dog_bark__esc50__fold_1__110389__0001__r0.wav,dog_bark
dog_bark__esc50__fold_1__30226__0002__r0.wav,dog_bark
dog_bark__esc50__fold_1__30344__0003__r0.wav,dog_bark
dog_bark__esc50__fold_1__32318__0004__r0.wav,dog_bark
dog_bark__esc50__fold_1__59513__0005__r0.wav,dog_bark
dog_bark__esc50__fold_1__85362__0006__r0.wav,dog_bark
dog_bark__esc50__fold_1__97392__0007__r0.wav,dog_bark
dog_bark__esc50__fold_2__114280__0008__r0.wav,dog_bark
dog_bark__esc50__fold_2__114587__0009__r0.wav,dog_bark
dog_bark__esc50__fold_2__116400__0010__r0.wav,dog_bark
dog_bark__esc50__fold_2__117271__0011__r0.wav,dog_bark
dog_bark__esc50__fold_2__118072__0012__r0.wav,dog_bark
dog_bark__esc50__fold_2__118964__0013__r0.wav,dog_bark
dog_bark__esc50__fold_2__122104__0014__r0.wav,dog_bark
dog_bark__esc50__fold_2__122104__0015__r0.wav,dog_bark
dog_bark__esc50__fold_3__136288__0016__r0.wav,dog_bark
dog_bark__esc50__fold_3__144028__0017__r0.wav,dog_bark
dog_bark__esc50__fold_3__155312__0018__r0.wav,dog_bark
dog_bark__esc50__fold_3__157695__0019__r0.wav,dog_bark
dog_bark__esc50__fold_3__163459__0020__r0.wav,dog_bark
dog_bark__esc50__fold_3__170015__0021__r0.wav,dog_bark
dog_bark__esc50__fold_3__180256__0022__r0.wav,dog_bark
dog_bark__esc50__fold_3__180977__0023__r0.wav,dog_bark
dog_bark__fsd50k__dev__114280__0024__r0.wav,dog_bark
dog_bark__fsd50k__dev__118961__0025__r0.wav,dog_bark
dog_bark__fsd50k__dev__118962__0026__r0.wav,dog_bark
dog_bark__fsd50k__dev__118963__0027__r0.wav,dog_bark
dog_bark__fsd50k__dev__118964__0028__r0.wav,dog_bark
dog_bark__fsd50k__dev__125554__0029__r0.wav,dog_bark
dog_bark__fsd50k__dev__125574__0030__r0.wav,dog_bark
dog_bark__fsd50k__dev__130030__0031__r0.wav,dog_bark
dog_bark__fsd50k__dev__137803__0032__r0.wav,dog_bark
dog_bark__fsd50k__dev__155309__0033__r0.wav,dog_bark
dog_bark__fsd50k__dev__155311__0034__r0.wav,dog_bark
dog_bark__fsd50k__dev__155312__0035__r0.wav,dog_bark
dog_bark__fsd50k__dev__155317__0036__r0.wav,dog_bark
dog_bark__fsd50k__dev__156418__0037__r0.wav,dog_bark
dog_bark__fsd50k__dev__157322__0038__r0.wav,dog_bark
dog_bark__fsd50k__dev__160092__0039__r0.wav,dog_bark
dog_bark__fsd50k__dev__160093__0040__r0.wav,dog_bark
dog_bark__fsd50k__dev__160094__0041__r0.wav,dog_bark
dog_bark__fsd50k__dev__164311__0042__r0.wav,dog_bark
dog_bark__fsd50k__dev__164488__0043__r0.wav,dog_bark
dog_bark__fsd50k__dev__179096__0044__r0.wav,dog_bark
dog_bark__fsd50k__dev__183992__0045__r0.wav,dog_bark
dog_bark__fsd50k__dev__184725__0046__r0.wav,dog_bark
dog_bark__fsd50k__dev__193394__0047__r0.wav,dog_bark
dog_bark__fsd50k__dev__194753__0048__r0.wav,dog_bark
dog_bark__fsd50k__dev__194754__0049__r0.wav,dog_bark
dog_bark__fsd50k__dev__234030__0050__r0.wav,dog_bark
dog_bark__fsd50k__dev__235864__0051__r0.wav,dog_bark
dog_bark__fsd50k__dev__235865__0052__r0.wav,dog_bark
dog_bark__fsd50k__dev__235867__0053__r0.wav,dog_bark
dog_bark__fsd50k__dev__235869__0054__r0.wav,dog_bark
dog_bark__fsd50k__dev__235871__0055__r0.wav,dog_bark
dog_bark__fsd50k__dev__235872__0056__r0.wav,dog_bark
dog_bark__fsd50k__dev__235884__0057__r0.wav,dog_bark
dog_bark__fsd50k__dev__235885__0058__r0.wav,dog_bark
dog_bark__fsd50k__dev__235886__0059__r0.wav,dog_bark
dog_bark__fsd50k__dev__235890__0060__r0.wav,dog_bark
dog_bark__fsd50k__dev__236011__0061__r0.wav,dog_bark
dog_bark__fsd50k__dev__236013__0062__r0.wav,dog_bark
dog_bark__fsd50k__dev__236016__0063__r0.wav,dog_bark
dog_bark__fsd50k__dev__236017__0064__r0.wav,dog_bark
dog_bark__fsd50k__dev__236018__0065__r0.wav,dog_bark
dog_bark__fsd50k__dev__236019__0066__r0.wav,dog_bark
dog_bark__fsd50k__dev__236020__0067__r0.wav,dog_bark
dog_bark__fsd50k__dev__236021__0068__r0.wav,dog_bark
dog_bark__fsd50k__dev__236022__0069__r0.wav,dog_bark
dog_bark__fsd50k__dev__236025__0070__r0.wav,dog_bark
dog_bark__fsd50k__dev__236026__0071__r0.wav,dog_bark
dog_bark__fsd50k__dev__236027__0072__r0.wav,dog_bark
dog_bark__fsd50k__dev__236028__0073__r0.wav,dog_bark
dog_bark__fsd50k__dev__236029__0074__r0.wav,dog_bark
dog_bark__fsd50k__dev__236030__0075__r0.wav,dog_bark
dog_bark__fsd50k__dev__236031__0076__r0.wav,dog_bark
dog_bark__fsd50k__dev__236032__0077__r0.wav,dog_bark
dog_bark__fsd50k__dev__236034__0078__r0.wav,dog_bark
dog_bark__fsd50k__dev__236035__0079__r0.wav,dog_bark
dog_bark__fsd50k__dev__236037__0080__r0.wav,dog_bark
dog_bark__fsd50k__dev__236038__0081__r0.wav,dog_bark
dog_bark__fsd50k__dev__236039__0082__r0.wav,dog_bark
dog_bark__fsd50k__dev__236040__0083__r0.wav,dog_bark
dog_bark__fsd50k__dev__236041__0084__r0.wav,dog_bark
dog_bark__fsd50k__dev__236042__0085__r0.wav,dog_bark
dog_bark__fsd50k__dev__236043__0086__r0.wav,dog_bark
dog_bark__fsd50k__dev__236044__0087__r0.wav,dog_bark
dog_bark__fsd50k__dev__236045__0088__r0.wav,dog_bark
dog_bark__fsd50k__dev__236046__0089__r0.wav,dog_bark
dog_bark__fsd50k__dev__236047__0090__r0.wav,dog_bark
dog_bark__fsd50k__dev__236048__0091__r0.wav,dog_bark
dog_bark__fsd50k__dev__236049__0092__r0.wav,dog_bark
dog_bark__fsd50k__dev__236050__0093__r0.wav,dog_bark
dog_bark__fsd50k__dev__236051__0094__r0.wav,dog_bark
dog_bark__fsd50k__dev__236052__0095__r0.wav,dog_bark
dog_bark__fsd50k__dev__236053__0096__r0.wav,dog_bark
dog_bark__fsd50k__dev__236054__0097__r0.wav,dog_bark
dog_bark__fsd50k__dev__236055__0098__r0.wav,dog_bark
dog_bark__fsd50k__dev__236056__0099__r0.wav,dog_bark
dog_bark__fsd50k__dev__236057__0100__r0.wav,dog_bark
dog_bark__fsd50k__dev__236058__0101__r0.wav,dog_bark
dog_bark__fsd50k__dev__236059__0102__r0.wav,dog_bark
dog_bark__fsd50k__dev__236060__0103__r0.wav,dog_bark
dog_bark__fsd50k__dev__236061__0104__r0.wav,dog_bark
dog_bark__fsd50k__dev__236062__0105__r0.wav,dog_bark
dog_bark__fsd50k__dev__236064__0106__r0.wav,dog_bark
dog_bark__fsd50k__dev__236065__0107__r0.wav,dog_bark
dog_bark__fsd50k__dev__236066__0108__r0.wav,dog_bark
dog_bark__fsd50k__dev__236067__0109__r0.wav,dog_bark
dog_bark__fsd50k__dev__236068__0110__r0.wav,dog_bark
dog_bark__fsd50k__dev__236071__0111__r0.wav,dog_bark
dog_bark__fsd50k__dev__236074__0112__r0.wav,dog_bark
dog_bark__fsd50k__dev__236075__0113__r0.wav,dog_bark
dog_bark__fsd50k__dev__236076__0114__r0.wav,dog_bark
dog_bark__fsd50k__dev__236077__0115__r0.wav,dog_bark
dog_bark__fsd50k__dev__236078__0116__r0.wav,dog_bark
dog_bark__fsd50k__dev__236084__0117__r0.wav,dog_bark
dog_bark__fsd50k__dev__236085__0118__r0.wav,dog_bark
dog_bark__fsd50k__dev__236086__0119__r0.wav,dog_bark
dog_bark__fsd50k__dev__236087__0120__r0.wav,dog_bark
dog_bark__fsd50k__dev__236088__0121__r0.wav,dog_bark
dog_bark__fsd50k__dev__236089__0122__r0.wav,dog_bark
dog_bark__fsd50k__dev__236090__0123__r0.wav,dog_bark
