dataset_role,filename,category,background_group,source_dataset,source_partition,source_id,source_filename,source_labels,source_title,source_uploader,license_url,selection_reason,source_group,baseline_hardest_class,baseline_hardness_score,candidate_filename,excerpt_start_s,excerpt_duration_s
train,dog_bark__esc50__fold_1__100032__0000__r0.wav,dog_bark,,ESC-50,fold_1,100032,1-100032-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:100032,,,,,
train,dog_bark__esc50__fold_1__110389__0001__r0.wav,dog_bark,,ESC-50,fold_1,110389,1-110389-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:110389,,,,,
train,dog_bark__esc50__fold_1__30226__0002__r0.wav,dog_bark,,ESC-50,fold_1,30226,1-30226-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:30226,,,,,
train,dog_bark__esc50__fold_1__30344__0003__r0.wav,dog_bark,,ESC-50,fold_1,30344,1-30344-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:30344,,,,,
train,dog_bark__esc50__fold_1__32318__0004__r0.wav,dog_bark,,ESC-50,fold_1,32318,1-32318-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:32318,,,,,
train,dog_bark__esc50__fold_1__59513__0005__r0.wav,dog_bark,,ESC-50,fold_1,59513,1-59513-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:59513,,,,,
train,dog_bark__esc50__fold_1__85362__0006__r0.wav,dog_bark,,ESC-50,fold_1,85362,1-85362-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:85362,,,,,
train,dog_bark__esc50__fold_1__97392__0007__r0.wav,dog_bark,,ESC-50,fold_1,97392,1-97392-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:97392,,,,,
train,dog_bark__esc50__fold_2__114280__0008__r0.wav,dog_bark,,ESC-50,fold_2,114280,2-114280-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:114280,,,,,
train,dog_bark__esc50__fold_2__114587__0009__r0.wav,dog_bark,,ESC-50,fold_2,114587,2-114587-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:114587,,,,,
train,dog_bark__esc50__fold_2__116400__0010__r0.wav,dog_bark,,ESC-50,fold_2,116400,2-116400-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:116400,,,,,
train,dog_bark__esc50__fold_2__117271__0011__r0.wav,dog_bark,,ESC-50,fold_2,117271,2-117271-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:117271,,,,,
train,dog_bark__esc50__fold_2__118072__0012__r0.wav,dog_bark,,ESC-50,fold_2,118072,2-118072-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:118072,,,,,
train,dog_bark__esc50__fold_2__118964__0013__r0.wav,dog_bark,,ESC-50,fold_2,118964,2-118964-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:118964,,,,,
train,dog_bark__esc50__fold_2__122104__0014__r0.wav,dog_bark,,ESC-50,fold_2,122104,2-122104-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:122104,,,,,
train,dog_bark__esc50__fold_2__122104__0015__r0.wav,dog_bark,,ESC-50,fold_2,122104,2-122104-B-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:122104,,,,,
train,dog_bark__esc50__fold_3__136288__0016__r0.wav,dog_bark,,ESC-50,fold_3,136288,3-136288-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:136288,,,,,
train,dog_bark__esc50__fold_3__144028__0017__r0.wav,dog_bark,,ESC-50,fold_3,144028,3-144028-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:144028,,,,,
train,dog_bark__esc50__fold_3__155312__0018__r0.wav,dog_bark,,ESC-50,fold_3,155312,3-155312-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:155312,,,,,
train,dog_bark__esc50__fold_3__157695__0019__r0.wav,dog_bark,,ESC-50,fold_3,157695,3-157695-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:157695,,,,,
train,dog_bark__esc50__fold_3__163459__0020__r0.wav,dog_bark,,ESC-50,fold_3,163459,3-163459-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:163459,,,,,
train,dog_bark__esc50__fold_3__170015__0021__r0.wav,dog_bark,,ESC-50,fold_3,170015,3-170015-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:170015,,,,,
train,dog_bark__esc50__fold_3__180256__0022__r0.wav,dog_bark,,ESC-50,fold_3,180256,3-180256-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:180256,,,,,
train,dog_bark__esc50__fold_3__180977__0023__r0.wav,dog_bark,,ESC-50,fold_3,180977,3-180977-A-0.wav,dog_bark,,,,unchanged_from_hazard5v3s,esc-50:180977,,,,,
train,dog_bark__fsd50k__dev__114280__0024__r0.wav,dog_bark,,FSD50K,dev,114280,114280.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:114280,,,,,
train,dog_bark__fsd50k__dev__118961__0025__r0.wav,dog_bark,,FSD50K,dev,118961,118961.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:118961,,,,,
train,dog_bark__fsd50k__dev__118962__0026__r0.wav,dog_bark,,FSD50K,dev,118962,118962.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:118962,,,,,
train,dog_bark__fsd50k__dev__118963__0027__r0.wav,dog_bark,,FSD50K,dev,118963,118963.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:118963,,,,,
train,dog_bark__fsd50k__dev__118964__0028__r0.wav,dog_bark,,FSD50K,dev,118964,118964.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:118964,,,,,
train,dog_bark__fsd50k__dev__125554__0029__r0.wav,dog_bark,,FSD50K,dev,125554,125554.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:125554,,,,,
train,dog_bark__fsd50k__dev__125574__0030__r0.wav,dog_bark,,FSD50K,dev,125574,125574.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:125574,,,,,
train,dog_bark__fsd50k__dev__130030__0031__r0.wav,dog_bark,,FSD50K,dev,130030,130030.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:130030,,,,,
train,dog_bark__fsd50k__dev__137803__0032__r0.wav,dog_bark,,FSD50K,dev,137803,137803.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:137803,,,,,
train,dog_bark__fsd50k__dev__155309__0033__r0.wav,dog_bark,,FSD50K,dev,155309,155309.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:155309,,,,,
train,dog_bark__fsd50k__dev__155311__0034__r0.wav,dog_bark,,FSD50K,dev,155311,155311.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:155311,,,,,
train,dog_bark__fsd50k__dev__155312__0035__r0.wav,dog_bark,,FSD50K,dev,155312,155312.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:155312,,,,,
train,dog_bark__fsd50k__dev__155317__0036__r0.wav,dog_bark,,FSD50K,dev,155317,155317.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:155317,,,,,
train,dog_bark__fsd50k__dev__156418__0037__r0.wav,dog_bark,,FSD50K,dev,156418,156418.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:156418,,,,,
train,dog_bark__fsd50k__dev__157322__0038__r0.wav,dog_bark,,FSD50K,dev,157322,157322.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:157322,,,,,
train,dog_bark__fsd50k__dev__160092__0039__r0.wav,dog_bark,,FSD50K,dev,160092,160092.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:160092,,,,,
train,dog_bark__fsd50k__dev__160093__0040__r0.wav,dog_bark,,FSD50K,dev,160093,160093.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:160093,,,,,
train,dog_bark__fsd50k__dev__160094__0041__r0.wav,dog_bark,,FSD50K,dev,160094,160094.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:160094,,,,,
train,dog_bark__fsd50k__dev__164311__0042__r0.wav,dog_bark,,FSD50K,dev,164311,164311.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:164311,,,,,
train,dog_bark__fsd50k__dev__164488__0043__r0.wav,dog_bark,,FSD50K,dev,164488,164488.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:164488,,,,,
train,dog_bark__fsd50k__dev__179096__0044__r0.wav,dog_bark,,FSD50K,dev,179096,179096.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:179096,,,,,
train,dog_bark__fsd50k__dev__183992__0045__r0.wav,dog_bark,,FSD50K,dev,183992,183992.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:183992,,,,,
train,dog_bark__fsd50k__dev__184725__0046__r0.wav,dog_bark,,FSD50K,dev,184725,184725.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:184725,,,,,
train,dog_bark__fsd50k__dev__193394__0047__r0.wav,dog_bark,,FSD50K,dev,193394,193394.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:193394,,,,,
train,dog_bark__fsd50k__dev__194753__0048__r0.wav,dog_bark,,FSD50K,dev,194753,194753.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:194753,,,,,
train,dog_bark__fsd50k__dev__194754__0049__r0.wav,dog_bark,,FSD50K,dev,194754,194754.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:194754,,,,,
train,dog_bark__fsd50k__dev__234030__0050__r0.wav,dog_bark,,FSD50K,dev,234030,234030.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:234030,,,,,
train,dog_bark__fsd50k__dev__235864__0051__r0.wav,dog_bark,,FSD50K,dev,235864,235864.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235864,,,,,
train,dog_bark__fsd50k__dev__235865__0052__r0.wav,dog_bark,,FSD50K,dev,235865,235865.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235865,,,,,
train,dog_bark__fsd50k__dev__235867__0053__r0.wav,dog_bark,,FSD50K,dev,235867,235867.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235867,,,,,
train,dog_bark__fsd50k__dev__235869__0054__r0.wav,dog_bark,,FSD50K,dev,235869,235869.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235869,,,,,
train,dog_bark__fsd50k__dev__235871__0055__r0.wav,dog_bark,,FSD50K,dev,235871,235871.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235871,,,,,
train,dog_bark__fsd50k__dev__235872__0056__r0.wav,dog_bark,,FSD50K,dev,235872,235872.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235872,,,,,
train,dog_bark__fsd50k__dev__235884__0057__r0.wav,dog_bark,,FSD50K,dev,235884,235884.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235884,,,,,
train,dog_bark__fsd50k__dev__235885__0058__r0.wav,dog_bark,,FSD50K,dev,235885,235885.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235885,,,,,
train,dog_bark__fsd50k__dev__235886__0059__r0.wav,dog_bark,,FSD50K,dev,235886,235886.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235886,,,,,
train,dog_bark__fsd50k__dev__235890__0060__r0.wav,dog_bark,,FSD50K,dev,235890,235890.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:235890,,,,,
train,dog_bark__fsd50k__dev__236011__0061__r0.wav,dog_bark,,FSD50K,dev,236011,236011.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236011,,,,,
train,dog_bark__fsd50k__dev__236013__0062__r0.wav,dog_bark,,FSD50K,dev,236013,236013.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236013,,,,,
train,dog_bark__fsd50k__dev__236016__0063__r0.wav,dog_bark,,FSD50K,dev,236016,236016.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236016,,,,,
train,dog_bark__fsd50k__dev__236017__0064__r0.wav,dog_bark,,FSD50K,dev,236017,236017.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236017,,,,,
train,dog_bark__fsd50k__dev__236018__0065__r0.wav,dog_bark,,FSD50K,dev,236018,236018.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236018,,,,,
train,dog_bark__fsd50k__dev__236019__0066__r0.wav,dog_bark,,FSD50K,dev,236019,236019.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236019,,,,,
train,dog_bark__fsd50k__dev__236020__0067__r0.wav,dog_bark,,FSD50K,dev,236020,236020.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236020,,,,,
train,dog_bark__fsd50k__dev__236021__0068__r0.wav,dog_bark,,FSD50K,dev,236021,236021.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236021,,,,,
train,dog_bark__fsd50k__dev__236022__0069__r0.wav,dog_bark,,FSD50K,dev,236022,236022.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236022,,,,,
train,dog_bark__fsd50k__dev__236025__0070__r0.wav,dog_bark,,FSD50K,dev,236025,236025.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236025,,,,,
train,dog_bark__fsd50k__dev__236026__0071__r0.wav,dog_bark,,FSD50K,dev,236026,236026.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236026,,,,,
train,dog_bark__fsd50k__dev__236027__0072__r0.wav,dog_bark,,FSD50K,dev,236027,236027.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236027,,,,,
train,dog_bark__fsd50k__dev__236028__0073__r0.wav,dog_bark,,FSD50K,dev,236028,236028.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236028,,,,,
train,dog_bark__fsd50k__dev__236029__0074__r0.wav,dog_bark,,FSD50K,dev,236029,236029.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236029,,,,,
train,dog_bark__fsd50k__dev__236030__0075__r0.wav,dog_bark,,FSD50K,dev,236030,236030.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236030,,,,,
train,dog_bark__fsd50k__dev__236031__0076__r0.wav,dog_bark,,FSD50K,dev,236031,236031.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236031,,,,,
train,dog_bark__fsd50k__dev__236032__0077__r0.wav,dog_bark,,FSD50K,dev,236032,236032.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236032,,,,,
train,dog_bark__fsd50k__dev__236034__0078__r0.wav,dog_bark,,FSD50K,dev,236034,236034.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236034,,,,,
train,dog_bark__fsd50k__dev__236035__0079__r0.wav,dog_bark,,FSD50K,dev,236035,236035.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236035,,,,,
train,dog_bark__fsd50k__dev__236037__0080__r0.wav,dog_bark,,FSD50K,dev,236037,236037.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236037,,,,,
train,dog_bark__fsd50k__dev__236038__0081__r0.wav,dog_bark,,FSD50K,dev,236038,236038.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236038,,,,,
train,dog_bark__fsd50k__dev__236039__0082__r0.wav,dog_bark,,FSD50K,dev,236039,236039.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236039,,,,,
train,dog_bark__fsd50k__dev__236040__0083__r0.wav,dog_bark,,FSD50K,dev,236040,236040.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236040,,,,,
train,dog_bark__fsd50k__dev__236041__0084__r0.wav,dog_bark,,FSD50K,dev,236041,236041.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236041,,,,,
train,dog_bark__fsd50k__dev__236042__0085__r0.wav,dog_bark,,FSD50K,dev,236042,236042.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236042,,,,,
train,dog_bark__fsd50k__dev__236043__0086__r0.wav,dog_bark,,FSD50K,dev,236043,236043.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236043,,,,,
train,dog_bark__fsd50k__dev__236044__0087__r0.wav,dog_bark,,FSD50K,dev,236044,236044.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236044,,,,,
train,dog_bark__fsd50k__dev__236045__0088__r0.wav,dog_bark,,FSD50K,dev,236045,236045.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236045,,,,,
train,dog_bark__fsd50k__dev__236046__0089__r0.wav,dog_bark,,FSD50K,dev,236046,236046.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236046,,,,,
train,dog_bark__fsd50k__dev__236047__0090__r0.wav,dog_bark,,FSD50K,dev,236047,236047.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236047,,,,,
train,dog_bark__fsd50k__dev__236048__0091__r0.wav,dog_bark,,FSD50K,dev,236048,236048.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236048,,,,,
train,dog_bark__fsd50k__dev__236049__0092__r0.wav,dog_bark,,FSD50K,dev,236049,236049.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236049,,,,,
train,dog_bark__fsd50k__dev__236050__0093__r0.wav,dog_bark,,FSD50K,dev,236050,236050.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236050,,,,,
train,dog_bark__fsd50k__dev__236051__0094__r0.wav,dog_bark,,FSD50K,dev,236051,236051.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236051,,,,,
train,dog_bark__fsd50k__dev__236052__0095__r0.wav,dog_bark,,FSD50K,dev,236052,236052.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236052,,,,,
train,dog_bark__fsd50k__dev__236053__0096__r0.wav,dog_bark,,FSD50K,dev,236053,236053.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236053,,,,,
train,dog_bark__fsd50k__dev__236054__0097__r0.wav,dog_bark,,FSD50K,dev,236054,236054.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236054,,,,,
train,dog_bark__fsd50k__dev__236055__0098__r0.wav,dog_bark,,FSD50K,dev,236055,236055.wav,dog_bark,,,,unchanged_from_hazard5v3s,freesound:236055,,,,,
