dataset_role,other_group,source_dataset,source_partition,source_id,source_filename,source_labels,filename,stimulus_sha256,patch_count,hardness_score,hardest_predicted_class,hardest_patch_within_clip,mean_top_class,mean_top_score,mean_score_dog_bark,mean_score_glass_breaking,mean_score_gunshot_gunfire,mean_score_siren,mean_score_speech,mean_score_thunderstorm,selection_tier,candidate_filename,excerpt_start_s,excerpt_duration_s
train,high_tonal_non_siren,FSD50K,train,189784,189784.wav,Bell,other__fsd50k__train__189784__hard3s.wav,3830cd9dc6a181c9a072fda8978c01216b09b9ed5caee7c408b3bf931f0909a9,13,0.9981227517127991,glass_breaking,1,glass_breaking,0.8311319947242737,0.0021164061035960913,0.8311319947242737,0.09844708442687988,0.007955050095915794,0.015087416395545006,0.045262012630701065,hard_negative,other_candidate__fsd50k__train__189784__0130.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,234178,234178.wav,Squeak,other__fsd50k__train__234178__hard3s.wav,14ba665e35a461591da60679f3dca1216dd472156689c0553e64af2608254989,10,0.9311307072639465,gunshot_gunfire,9,gunshot_gunfire,0.3668283522129059,0.1093524843454361,0.08521374315023422,0.3668283522129059,0.14688655734062195,0.19554537534713745,0.09617345035076141,hard_negative,other_candidate__fsd50k__train__234178__0118.wav,4.722676,3.000
train,high_tonal_non_siren,FSD50K,train,104096,104096.wav,Squeak,other__fsd50k__train__104096__hard3s.wav,d9f8f37bb242ff7ed7a0c4debe6960d080b0d0e30a00518e42af6fb07e7f1252,3,0.9981107711791992,siren,1,siren,0.525733232498169,0.12077629566192627,0.02554362080991268,0.016007449477910995,0.525733232498169,0.29301801323890686,0.018921399489045143,hard_negative,other_candidate__fsd50k__train__104096__0030.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,122770,122770.wav,"Squeak,Door,Domestic_sounds_and_home_sounds",other__fsd50k__train__122770__hard3s.wav,a0c90859d8f8d71e0612a18ffa6b4f11e11d775f5ad9d3da82f60696925f2a90,8,0.942444920539856,speech,4,speech,0.42964255809783936,0.1954563856124878,0.036284420639276505,0.012701205909252167,0.31794464588165283,0.42964255809783936,0.007970836013555527,hard_negative,other_candidate__fsd50k__train__122770__0170.wav,1.880000,3.000
train,high_tonal_non_siren,FSD50K,train,346154,346154.wav,"Squeak,Slam,Wood,Door,Domestic_sounds_and_home_sounds",other__fsd50k__train__346154__hard3s.wav,719d031c54a3d42a53442e0f9972a9930898cb066b4eb8fc75fb2dc7cf991121,10,0.9553054571151733,thunderstorm,7,glass_breaking,0.31288519501686096,0.03111753799021244,0.31288519501686096,0.14012542366981506,0.04787103086709976,0.24575772881507874,0.22224311530590057,hard_negative,other_candidate__fsd50k__train__346154__0121.wav,4.040000,3.000
train,high_tonal_non_siren,FSD50K,train,131012,131012.wav,"Wind_chime,Chime,Bell",other__fsd50k__train__131012__hard3s.wav,961916d851e1e7d100d7739a4ed8c8c079cb03ea8b5622f2bf5beac3d1a918ab,6,0.9957590699195862,glass_breaking,0,glass_breaking,0.9484438300132751,0.0031573872547596693,0.9484438300132751,0.0021311724558472633,0.03055448830127716,0.013144942931830883,0.002568227471783757,hard_negative,other_candidate__fsd50k__train__131012__0198.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,13840,13840.wav,Squeak,other__fsd50k__train__13840__hard3s.wav,d722305791f7d94820fb8ae76968dfee93817d45b3f1d5c23f61ced2de479746,10,0.8743720054626465,gunshot_gunfire,8,speech,0.317243367433548,0.09045485407114029,0.158875972032547,0.17394296824932098,0.023905497044324875,0.317243367433548,0.2355773001909256,hard_negative,other_candidate__fsd50k__train__13840__0006.wav,4.760000,3.000
train,high_tonal_non_siren,FSD50K,train,261092,261092.wav,Squeak,other__fsd50k__train__261092__hard3s.wav,7c78b59a6063d86fdae82b1c9ebf4d082a755cefe32979dc411b5638880951a0,10,0.9914512038230896,siren,6,siren,0.5637869238853455,0.12525708973407745,0.11037631332874298,0.03476894646883011,0.5637869238853455,0.11211569607257843,0.05369510129094124,hard_negative,other_candidate__fsd50k__train__261092__0050.wav,3.320000,3.000
train,high_tonal_non_siren,FSD50K,train,151589,151589.wav,"Squeak,Door,Domestic_sounds_and_home_sounds",other__fsd50k__train__151589__hard3s.wav,5a7fa05b1c0a0601be9e9b59d8b08b802aea194199cf4677bc8dcee2183defc3,8,0.8896239995956421,speech,1,speech,0.515661895275116,0.03122800402343273,0.09393592178821564,0.19152382016181946,0.12182863056659698,0.515661895275116,0.04582174867391586,hard_negative,other_candidate__fsd50k__train__151589__0142.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,81736,81736.wav,"Dishes_and_pots_and_pans,Bell,Domestic_sounds_and_home_sounds",other__fsd50k__train__81736__hard3s.wav,809908a7afc644148d70d91b5343154257e0cec8ede6dd5b401f2ef00f241356,8,0.8467510938644409,thunderstorm,7,thunderstorm,0.34119224548339844,0.08140106499195099,0.18155968189239502,0.09368938952684402,0.22270499169826508,0.07945267111063004,0.34119224548339844,hard_negative,other_candidate__fsd50k__train__81736__0069.wav,3.665057,3.000
