candidate_class,acoustic_family,esc50_train,esc50_validation,esc50_reserved_test,fsd50k_train,fsd50k_validation,fsd50k_reserved_test,audio_files_available,catalog_records,source_status
siren,modulated_tonal,24,8,8,65,12,55,117,172,available
chainsaw,continuous_mechanical,24,8,8,0,0,0,40,40,available
glass_breaking,brittle_transient,24,8,8,858,116,267,1014,1281,available
screaming,voiced_distress,0,0,0,214,40,123,254,377,available
gunshot_gunfire,explosive_impulse,0,0,0,294,54,134,348,482,available
fire_alarm,periodic_alarm,0,0,0,0,0,0,0,0,missing_public_source
thunderstorm,environmental_rumble,24,8,8,403,66,132,509,641,available
crackling_fire,stochastic_crackle,24,8,8,357,28,124,425,549,available
dog_bark,animal_warning,24,8,8,352,62,122,454,576,available
vehicle_horn,traffic_warning,24,8,8,95,20,68,155,223,available
