filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0006.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0007.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0008.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0009.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0010.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0011.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0012.wav,background_other
background_other__esc50__fold_2__2-61311-A-12__0013.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0014.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0015.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0016.wav,background_other
background_other__esc50__fold_1__1-97392-A-0__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_3__3-203374-A-39__0025.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0026.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0027.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0028.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0029.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0030.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0031.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0032.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0033.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0034.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0035.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0036.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0037.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0038.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0039.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0040.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0041.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0042.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0043.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0044.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0045.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0046.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0047.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0048.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0049.wav,background_other
chainsaw__esc50__fold_1__47250__0005__r0.wav,hazard_any
chainsaw__esc50__fold_3__165856__0119__r4.wav,hazard_any
chainsaw__esc50__fold_1__19898__0170__r7.wav,hazard_any
chainsaw__esc50__fold_3__118658__0188__r7.wav,hazard_any
chainsaw__esc50__fold_3__118657__0162__r6.wav,hazard_any
chainsaw__esc50__fold_2__50667__0080__r3.wav,hazard_any
chainsaw__esc50__fold_3__118972__0021__r0.wav,hazard_any
chainsaw__esc50__fold_2__50668__0058__r2.wav,hazard_any
chainsaw__esc50__fold_2__77945__0110__r4.wav,hazard_any
chainsaw__esc50__fold_3__118656__0184__r7.wav,hazard_any
gunshot_gunfire__fsd50k__dev__127846__0010__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__233323__0123__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__346904__0174__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__182806__0085__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__165391__0071__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__205011__0096__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__162258__0055__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__160355__0049__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__332479__0171__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__233321__0121__r0.wav,hazard_any
screaming__fsd50k__dev__381895__0178__r0.wav,hazard_any
screaming__fsd50k__dev__166154__0025__r0.wav,hazard_any
screaming__fsd50k__dev__110141__0010__r0.wav,hazard_any
screaming__fsd50k__dev__219660__0066__r0.wav,hazard_any
screaming__fsd50k__dev__104029__0001__r0.wav,hazard_any
screaming__fsd50k__dev__30276__0120__r0.wav,hazard_any
screaming__fsd50k__dev__270474__0116__r0.wav,hazard_any
screaming__fsd50k__dev__223745__0104__r0.wav,hazard_any
screaming__fsd50k__dev__187793__0056__r0.wav,hazard_any
screaming__fsd50k__dev__110142__0011__r0.wav,hazard_any
siren__fsd50k__dev__324579__0148__r1.wav,hazard_any
siren__esc50__fold_1__76831__0185__r2.wav,hazard_any
siren__fsd50k__dev__377126__0068__r0.wav,hazard_any
siren__fsd50k__dev__322205__0058__r0.wav,hazard_any
siren__fsd50k__dev__159754__0121__r1.wav,hazard_any
siren__fsd50k__dev__156868__0116__r1.wav,hazard_any
siren__esc50__fold_1__31482__0001__r0.wav,hazard_any
siren__esc50__fold_2__72688__0104__r1.wav,hazard_any
siren__esc50__fold_3__62878__0111__r1.wav,hazard_any
siren__fsd50k__dev__168621__0037__r0.wav,hazard_any
thunderstorm__fsd50k__dev__251629__0191__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151192__0059__r0.wav,hazard_any
thunderstorm__fsd50k__dev__158982__0071__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151191__0058__r0.wav,hazard_any
thunderstorm__fsd50k__dev__199956__0126__r0.wav,hazard_any
thunderstorm__fsd50k__dev__22933__0148__r0.wav,hazard_any
thunderstorm__fsd50k__dev__22929__0144__r0.wav,hazard_any
thunderstorm__fsd50k__dev__216255__0137__r0.wav,hazard_any
thunderstorm__fsd50k__dev__194842__0104__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151194__0061__r0.wav,hazard_any
