filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0006.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0007.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0008.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0009.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0010.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0011.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0012.wav,background_other
background_other__esc50__fold_2__2-61311-A-12__0013.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0014.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0015.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0016.wav,background_other
background_other__esc50__fold_1__1-97392-A-0__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_3__3-203374-A-39__0025.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0026.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0027.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0028.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0029.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0030.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0031.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0032.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0033.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0034.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0035.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0036.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0037.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0038.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0039.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0040.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0041.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0042.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0043.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0044.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0045.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0046.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0047.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0048.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0049.wav,background_other
background_other__esc50__fold_2__2-85471-A-34__0050.wav,background_other
background_other__esc50__fold_1__1-19026-A-43__0051.wav,background_other
background_other__esc50__fold_1__1-56380-B-5__0052.wav,background_other
background_other__esc50__fold_1__1-38559-A-14__0053.wav,background_other
background_other__esc50__fold_3__3-111102-B-46__0054.wav,background_other
background_other__esc50__fold_2__2-25292-A-22__0055.wav,background_other
background_other__esc50__fold_3__3-120526-B-37__0056.wav,background_other
background_other__esc50__fold_3__3-170383-A-38__0057.wav,background_other
background_other__esc50__fold_2__2-108017-A-24__0058.wav,background_other
background_other__esc50__fold_1__1-58277-A-3__0059.wav,background_other
background_other__esc50__fold_2__2-65747-A-12__0060.wav,background_other
background_other__esc50__fold_2__2-110613-A-13__0061.wav,background_other
background_other__esc50__fold_2__2-108767-B-9__0062.wav,background_other
background_other__esc50__fold_2__2-80482-A-20__0063.wav,background_other
background_other__fsd50k__train__speech__100966__0000.wav,background_other
background_other__fsd50k__train__speech__108875__0001.wav,background_other
background_other__fsd50k__train__speech__349317__0002.wav,background_other
background_other__fsd50k__train__speech__93872__0003.wav,background_other
background_other__fsd50k__train__speech__256779__0004.wav,background_other
background_other__fsd50k__train__speech__76648__0005.wav,background_other
background_other__fsd50k__train__speech__76621__0006.wav,background_other
background_other__fsd50k__train__speech__377264__0007.wav,background_other
background_other__fsd50k__train__speech__139046__0008.wav,background_other
background_other__fsd50k__train__speech__18286__0009.wav,background_other
background_other__fsd50k__train__speech__96543__0010.wav,background_other
background_other__fsd50k__train__speech__236454__0011.wav,background_other
background_other__fsd50k__train__speech__236556__0012.wav,background_other
background_other__fsd50k__train__speech__113238__0013.wav,background_other
background_other__fsd50k__train__speech__248047__0014.wav,background_other
background_other__fsd50k__train__speech__256337__0015.wav,background_other
background_other__fsd50k__train__speech__93375__0016.wav,background_other
background_other__fsd50k__train__speech__34420__0017.wav,background_other
background_other__fsd50k__train__speech__236382__0018.wav,background_other
background_other__fsd50k__train__speech__30597__0019.wav,background_other
background_other__fsd50k__train__speech__92953__0020.wav,background_other
background_other__fsd50k__train__speech__76613__0021.wav,background_other
background_other__fsd50k__train__speech__416694__0022.wav,background_other
background_other__fsd50k__train__speech__235048__0023.wav,background_other
background_other__fsd50k__train__speech__80651__0024.wav,background_other
background_other__fsd50k__train__speech__86402__0025.wav,background_other
background_other__fsd50k__train__speech__92915__0026.wav,background_other
background_other__fsd50k__train__speech__316443__0027.wav,background_other
background_other__fsd50k__train__speech__196865__0028.wav,background_other
background_other__fsd50k__train__speech__165236__0029.wav,background_other
background_other__fsd50k__train__speech__249722__0030.wav,background_other
background_other__fsd50k__train__speech__236660__0031.wav,background_other
background_other__fsd50k__train__speech__86451__0032.wav,background_other
background_other__fsd50k__train__speech__236547__0033.wav,background_other
background_other__fsd50k__train__speech__120653__0034.wav,background_other
background_other__fsd50k__train__speech__77447__0035.wav,background_other
background_other__fsd50k__train__speech__109871__0036.wav,background_other
background_other__fsd50k__train__speech__27970__0037.wav,background_other
background_other__fsd50k__train__speech__82710__0038.wav,background_other
background_other__fsd50k__train__speech__422909__0039.wav,background_other
background_other__fsd50k__train__speech__21137__0040.wav,background_other
background_other__fsd50k__train__speech__86418__0041.wav,background_other
background_other__fsd50k__train__speech__236455__0042.wav,background_other
background_other__fsd50k__train__speech__93364__0043.wav,background_other
