filename,category
background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other
background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other
background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other
background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other
background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other
background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other
background_other__esc50__fold_2__2-50667-A-41__0006.wav,background_other
background_other__esc50__fold_3__3-155583-A-14__0007.wav,background_other
background_other__esc50__fold_1__1-40154-A-46__0008.wav,background_other
background_other__esc50__fold_1__1-110537-A-22__0009.wav,background_other
background_other__esc50__fold_3__3-139958-A-37__0010.wav,background_other
background_other__esc50__fold_2__2-131943-A-38__0011.wav,background_other
background_other__esc50__fold_2__2-98676-A-24__0012.wav,background_other
background_other__esc50__fold_1__1-77241-A-3__0013.wav,background_other
background_other__esc50__fold_2__2-61311-A-12__0014.wav,background_other
background_other__esc50__fold_3__3-146033-A-13__0015.wav,background_other
background_other__esc50__fold_1__1-75162-A-9__0016.wav,background_other
background_other__esc50__fold_1__1-211527-A-20__0017.wav,background_other
background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other
background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other
background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other
background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other
background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other
background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other
background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other
background_other__esc50__fold_2__2-51630-B-49__0025.wav,background_other
background_other__esc50__fold_2__2-37806-B-40__0026.wav,background_other
background_other__esc50__fold_3__3-171281-A-6__0027.wav,background_other
background_other__esc50__fold_1__1-75189-A-7__0028.wav,background_other
background_other__esc50__fold_2__2-118459-A-32__0029.wav,background_other
background_other__esc50__fold_3__3-152997-A-26__0030.wav,background_other
background_other__esc50__fold_2__2-146877-A-31__0031.wav,background_other
background_other__esc50__fold_1__1-260640-A-2__0032.wav,background_other
background_other__esc50__fold_3__3-142349-A-17__0033.wav,background_other
background_other__esc50__fold_1__1-17367-A-10__0034.wav,background_other
background_other__esc50__fold_2__2-95258-A-1__0035.wav,background_other
background_other__esc50__fold_2__2-137162-A-11__0036.wav,background_other
background_other__esc50__fold_3__3-20861-A-8__0037.wav,background_other
background_other__esc50__fold_3__3-144692-A-21__0038.wav,background_other
background_other__esc50__fold_1__1-47923-A-28__0039.wav,background_other
background_other__esc50__fold_2__2-85945-A-18__0040.wav,background_other
background_other__esc50__fold_2__2-122066-B-45__0041.wav,background_other
background_other__esc50__fold_3__3-152020-A-36__0042.wav,background_other
background_other__esc50__fold_3__3-156391-A-35__0043.wav,background_other
background_other__esc50__fold_1__1-23094-B-15__0044.wav,background_other
background_other__esc50__fold_3__3-117504-A-16__0045.wav,background_other
background_other__esc50__fold_2__2-74361-A-47__0046.wav,background_other
background_other__esc50__fold_2__2-54961-A-23__0047.wav,background_other
background_other__esc50__fold_2__2-86160-A-27__0048.wav,background_other
background_other__esc50__fold_2__2-85471-A-34__0049.wav,background_other
dog_bark__fsd50k__dev__236165__0185__r0.wav,hazard_any
dog_bark__fsd50k__dev__118961__0025__r0.wav,hazard_any
dog_bark__fsd50k__dev__236167__0187__r0.wav,hazard_any
dog_bark__fsd50k__dev__236157__0179__r0.wav,hazard_any
dog_bark__fsd50k__dev__236119__0145__r0.wav,hazard_any
dog_bark__fsd50k__dev__236042__0085__r0.wav,hazard_any
dog_bark__fsd50k__dev__236019__0066__r0.wav,hazard_any
dog_bark__fsd50k__dev__236085__0118__r0.wav,hazard_any
dog_bark__esc50__fold_2__117271__0011__r0.wav,hazard_any
dog_bark__esc50__fold_1__30226__0002__r0.wav,hazard_any
glass_breaking__fsd50k__dev__108408__0028__r0.wav,hazard_any
glass_breaking__fsd50k__dev__152754__0069__r0.wav,hazard_any
glass_breaking__fsd50k__dev__179237__0157__r0.wav,hazard_any
glass_breaking__fsd50k__dev__118199__0038__r0.wav,hazard_any
glass_breaking__esc50__fold_1__84704__0002__r0.wav,hazard_any
glass_breaking__fsd50k__dev__164539__0093__r0.wav,hazard_any
glass_breaking__fsd50k__dev__159003__0081__r0.wav,hazard_any
glass_breaking__fsd50k__dev__179172__0142__r0.wav,hazard_any
glass_breaking__fsd50k__dev__140613__0052__r0.wav,hazard_any
glass_breaking__fsd50k__dev__178582__0140__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__255272__0148__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__127846__0010__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__182806__0085__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__165391__0071__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__257364__0149__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__162258__0055__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__160355__0049__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__205011__0095__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__239137__0139__r0.wav,hazard_any
gunshot_gunfire__fsd50k__dev__349217__0183__r0.wav,hazard_any
siren__esc50__fold_1__76831__0006__r0.wav,hazard_any
siren__fsd50k__dev__65152__0164__r1.wav,hazard_any
siren__esc50__fold_2__70939__0190__r2.wav,hazard_any
siren__esc50__fold_1__31482__0001__r0.wav,hazard_any
siren__esc50__fold_3__62878__0111__r1.wav,hazard_any
siren__fsd50k__dev__168621__0037__r0.wav,hazard_any
siren__fsd50k__dev__381957__0156__r1.wav,hazard_any
siren__fsd50k__dev__184623__0038__r0.wav,hazard_any
siren__fsd50k__dev__159743__0028__r0.wav,hazard_any
siren__fsd50k__dev__319751__0144__r1.wav,hazard_any
thunderstorm__fsd50k__dev__251629__0191__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151192__0059__r0.wav,hazard_any
thunderstorm__fsd50k__dev__158982__0071__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151191__0058__r0.wav,hazard_any
thunderstorm__fsd50k__dev__199956__0126__r0.wav,hazard_any
thunderstorm__fsd50k__dev__22933__0148__r0.wav,hazard_any
thunderstorm__fsd50k__dev__22929__0144__r0.wav,hazard_any
thunderstorm__fsd50k__dev__216255__0137__r0.wav,hazard_any
thunderstorm__fsd50k__dev__194842__0104__r0.wav,hazard_any
thunderstorm__fsd50k__dev__151194__0061__r0.wav,hazard_any
