dataset_role,filename,category,original_category,background_group,source_dataset,source_partition,source_id,source_filename,source_labels
train,background_other__esc50__fold_1__1-53467-A-47__0000.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,53467-A,1-53467-A-47.wav,airplane
train,background_other__esc50__fold_3__3-108160-A-23__0001.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,108160-A,3-108160-A-23.wav,breathing
train,background_other__esc50__fold_2__2-82071-A-27__0002.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,82071-A,2-82071-A-27.wav,brushing_teeth
train,background_other__esc50__fold_3__3-166546-B-34__0003.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,166546-B,3-166546-B-34.wav,can_opening
train,background_other__esc50__fold_3__3-155234-A-43__0004.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,155234-A,3-155234-A-43.wav,car_horn
train,background_other__esc50__fold_2__2-69131-A-5__0005.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,69131-A,2-69131-A-5.wav,cat
train,background_other__esc50__fold_2__2-50667-A-41__0006.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,50667-A,2-50667-A-41.wav,chainsaw
train,background_other__esc50__fold_3__3-155583-A-14__0007.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,155583-A,3-155583-A-14.wav,chirping_birds
train,background_other__esc50__fold_1__1-40154-A-46__0008.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,40154-A,1-40154-A-46.wav,church_bells
train,background_other__esc50__fold_1__1-110537-A-22__0009.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,110537-A,1-110537-A-22.wav,clapping
train,background_other__esc50__fold_3__3-139958-A-37__0010.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,139958-A,3-139958-A-37.wav,clock_alarm
train,background_other__esc50__fold_2__2-131943-A-38__0011.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,131943-A,2-131943-A-38.wav,clock_tick
train,background_other__esc50__fold_2__2-98676-A-24__0012.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,98676-A,2-98676-A-24.wav,coughing
